Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank
1,BTC-USD,Coin,6251.1,67.7,-0.6,8.2,3.4,13.9,24.2,79.0,130.4,186.5,446.8,5265.4,9245.8,-11.4,1.3,8199.3,2310.7,6325.0,1.0,1.0,3.0,8.0,0,4.2
2,NVDA,Technology,2119.0,49.9,-2.2,-1.2,-4.8,-8.9,-4.5,50.3,179.7,325.7,747.6,3334.9,4253.4,-10.6,1.2,5035.0,1321.1,2192.1,3.0,3.0,5.0,13.0,14,21.4
3,TSLA,Technology,1055.9,65.0,-7.5,-1.0,-14.5,-9.0,6.1,-0.8,-8.6,4.1,278.2,556.0,1653.5,-55.1,1.4,1395.9,517.2,1129.0,6.0,6.0,9.0,16.0,17,27.6
4,LLY,Healthcare,319.5,69.1,-1.8,-2.3,1.0,0.1,-4.4,11.1,38.6,127.2,240.2,416.4,473.7,-25.7,1.2,468.2,111.1,392.7,14.0,15.0,17.0,33.0,8,30.4
5,AVGO,Technology,326.2,62.1,0.0,-3.5,-8.6,-3.6,5.0,33.6,78.0,153.6,252.2,473.8,537.4,-20.3,1.1,435.9,89.0,399.3,13.0,13.0,18.0,36.0,11,34.2
6,WM,Industrials,97.0,92.7,-4.8,6.5,12.4,14.1,13.0,15.2,14.3,26.7,33.4,70.6,105.5,-10.7,1.2,71.3,17.0,170.1,36.0,38.0,48.0,52.0,-10,35.2
7,COST,Consumer Defensive,209.6,92.7,0.5,5.8,5.9,9.0,13.4,29.7,38.1,65.8,109.1,202.1,227.4,-15.5,1.2,151.6,27.6,282.8,20.0,21.0,36.0,50.0,0,35.4
8,DOGE-USD,Coin,3881.2,25.6,-1.6,3.1,-14.6,-1.6,15.7,57.0,61.8,988.5,2412.0,2576.0,15239.2,-31.5,2.2,12110.3,5886.7,3929.8,2.0,2.0,2.0,3.0,36,38.4
9,AAPL,Technology,167.6,63.3,-20.0,-10.2,-8.7,-8.4,-6.0,-10.1,-9.3,-1.0,48.1,150.9,276.6,-20.5,1.1,343.4,126.9,240.7,25.0,24.0,21.0,28.0,15,40.2
10,PANW,Technology,183.7,65.7,0.4,-2.2,-1.2,-2.5,0.2,3.8,17.2,66.5,114.9,194.2,300.9,-40.9,1.2,294.3,79.9,256.9,23.0,23.0,24.0,39.0,11,40.6
11,NTRA,Healthcare,236.5,36.3,0.8,9.4,1.8,7.1,21.2,79.6,116.0,89.3,200.7,445.1,724.2,-40.9,1.9,420.6,152.6,310.0,19.0,20.0,19.0,24.0,20,41.2
12,ISRG,Healthcare,111.0,68.2,-0.9,2.6,-1.1,1.3,7.2,18.7,34.3,36.1,46.5,146.8,166.1,-7.3,1.3,137.6,32.4,184.2,32.0,32.0,37.0,48.0,3,42.4
13,ETN,Industrials,117.8,61.0,5.2,1.0,-2.9,-7.5,-10.4,-2.3,12.8,39.5,72.0,110.6,204.7,-18.2,1.2,223.0,58.4,191.0,30.0,31.0,28.0,43.0,12,47.0
14,MSFT,Technology,121.5,56.0,1.4,3.4,2.7,1.0,-4.3,-7.0,-1.4,3.9,37.2,163.0,225.7,-11.1,1.2,295.0,113.8,194.6,28.0,29.0,23.0,32.0,19,47.8
15,ENPH,Energy,757.3,10.6,-0.7,6.4,5.7,-6.0,-24.2,-46.7,-66.0,-74.2,80.0,891.3,7857.0,-83.3,1.6,16830.4,27865.9,828.3,8.0,8.0,1.0,1.0,47,50.8
16,AMD,Technology,578.7,34.0,-5.5,-6.4,-10.4,-19.1,-28.5,-36.3,-32.8,-36.6,20.8,565.9,1761.4,-31.6,1.3,3156.9,1717.0,651.9,9.0,9.0,7.0,9.0,45,53.6
17,XRP-USD,Coin,320.4,40.0,-0.3,4.1,2.2,90.6,182.2,225.7,275.9,319.4,354.0,348.5,896.2,-63.1,3.1,318.9,91.0,369.1,15.0,14.0,22.0,35.0,30,54.2
18,MSTR,Financials,967.2,49.8,-3.9,1.6,0.8,11.7,55.3,284.9,519.9,651.6,962.4,1075.5,2010.3,-68.1,1.6,1142.7,162.1,1040.3,7.0,7.0,11.0,23.0,40,54.2
19,LIN,Basic Materials,29.1,67.4,6.3,5.5,11.2,9.6,6.0,2.8,6.8,18.2,35.4,72.5,48.7,-11.5,1.3,33.5,14.0,100.1,59.0,58.0,58.0,54.0,0,56.6
20,AMAT,Technology,118.8,37.4,-2.4,-0.6,-4.8,-9.1,-18.9,-20.4,-13.6,-3.6,30.3,112.1,356.2,-23.0,1.4,538.6,260.0,191.9,29.0,30.0,15.0,20.0,35,57.8
21,NFLX,Communication Services,132.4,76.0,-2.2,6.5,5.7,13.4,26.4,55.4,105.6,75.1,73.0,212.1,199.2,-78.7,1.7,65.2,2.1,205.6,27.0,27.0,50.0,61.0,20,65.2
22,WMT,Consumer Defensive,108.2,87.8,2.9,4.1,2.6,6.9,18.2,31.4,39.3,44.0,54.3,79.1,128.1,-35.3,1.3,46.8,5.0,181.3,33.0,33.0,54.0,58.0,20,67.2
23,ASML,Technology,81.1,24.7,2.8,-0.7,-0.3,-0.6,-13.7,-20.0,-18.4,-17.0,20.8,115.1,376.3,-15.6,1.5,724.7,512.8,154.2,40.0,41.0,13.0,17.0,45,70.6
