Date,rate_PM_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,65.87,0.0
2019-03-01,18.72,4.45,14.27,91.64,18.67
2019-04-29,15.66,7.58,8.08,80.46,-12.23
2019-06-25,8.55,7.2,1.35,68.31,-10.94
2019-08-21,13.5,7.24,6.26,77.18,-0.3
2019-10-17,9.75,8.87,0.88,67.46,18.0
2019-12-13,15.39,13.19,2.2,69.84,-1.18
2020-02-12,19.17,18.03,1.14,67.93,-3.65
2020-04-09,6.43,3.89,2.54,70.46,-3.65
2020-06-08,9.5,14.68,-5.18,56.52,0.06
2020-08-04,8.72,16.26,-7.54,52.26,2.73
2020-09-30,5.98,17.41,-11.43,45.23,-1.83
2020-11-25,8.45,24.05,-15.6,37.7,0.54
2021-01-26,15.08,29.15,-14.07,40.47,-7.63
2021-03-24,23.61,30.35,-6.74,53.7,3.61
2021-05-20,35.14,36.67,-1.53,63.11,6.7
2021-07-19,35.8,38.99,-3.19,60.11,-7.37
2021-09-14,41.04,43.6,-2.56,61.25,0.18
2021-11-09,30.26,49.14,-18.88,31.78,-19.03
2022-01-06,35.13,49.24,-14.11,40.39,18.41
2022-03-07,29.65,37.68,-8.03,51.37,-11.78
2022-05-03,37.18,36.93,0.25,66.32,23.78
2022-06-30,36.85,27.61,9.24,82.56,-2.58
2022-08-26,34.01,34.27,-0.26,65.4,1.53
2022-10-24,21.84,27.92,-6.08,54.89,-12.5
2022-12-20,39.69,28.33,11.36,86.38,15.56
2023-02-17,40.86,34.71,6.15,76.98,-4.93
2023-04-18,40.22,36.36,3.86,72.84,3.63
2023-06-14,29.47,41.83,-12.36,43.55,-13.46
2023-08-11,33.5,43.86,-10.36,47.17,-6.24
2023-10-09,28.5,40.69,-12.19,43.86,1.79
2023-12-05,28.79,46.52,-17.73,33.86,-5.43
2024-02-02,29.38,55.53,-26.15,18.65,-17.93
2024-04-02,27.86,61.42,-33.56,5.27,0.68
2024-05-29,37.97,63.18,-25.21,20.35,0.49
2024-07-26,55.86,67.5,-11.64,44.85,29.34
