Date,rate_BLK_5D,rate_VOO_20D
2015-01,-5.9645,-3.5197
2015-02,2.8782,1.8045
2015-03,0.8061,-0.0031
2015-04,-0.2081,0.6581
2015-05,-0.1271,1.4146
2015-06,-4.3269,-0.516
2015-07,-6.514,1.3305
2015-08,-12.3611,-4.829
2015-09,-12.6688,-6.1229
2015-10,4.2468,2.1368
2015-11,7.2765,2.2508
2015-12,1.4216,-0.7697
2016-01,-3.8269,-5.1087
2016-02,-4.266,-4.9945
2016-03,5.8885,2.077
2016-04,10.1169,2.2452
2016-05,11.682,3.8
2016-06,5.7728,4.3147
2016-07,12.6585,7.8708
2016-08,15.3083,7.6189
2016-09,11.4301,7.5735
2016-10,4.7555,5.3233
2016-11,13.4271,8.9495
2016-12,17.0701,11.3964
2017-01,14.3361,12.8026
2017-02,17.7676,16.5977
2017-03,17.2161,16.5388
2017-04,16.9377,17.1241
2017-05,23.8247,18.1609
2017-06,28.349,18.7033
2017-07,28.565,20.4948
2017-08,26.8665,20.1994
2017-09,34.4035,22.5091
2017-10,40.45,24.6677
2017-11,48.1989,27.7179
2017-12,51.8095,29.0685
2018-01,64.3311,35.396
2018-02,53.4078,26.9229
2018-03,47.668,23.6573
2018-04,43.3399,22.7302
2018-05,45.7821,25.1199
2018-06,36.4972,25.8899
2018-07,36.6177,29.6764
2018-08,29.5182,33.1231
2018-09,28.3349,33.6259
2018-10,11.5388,26.1165
2018-11,15.7495,27.1982
2018-12,7.3991,15.9173
2019-01,13.3487,24.7234
2019-02,20.7295,28.2547
2019-03,17.6487,30.6683
2019-04,33.0819,35.3004
2019-05,13.5411,26.226
2019-06,29.4885,34.9077
2019-07,28.5006,36.2153
2019-08,15.8749,33.3823
2019-09,23.6642,35.9202
2019-10,27.7444,38.2379
2019-11,36.374,42.5558
2019-12,39.5247,46.5754
2020-01,45.5725,45.7587
2020-02,27.1945,33.2756
2020-03,9.8272,19.141
2020-04,26.2619,34.7485
2020-05,32.592,40.6205
2020-06,37.5439,43.116
2020-07,44.6934,50.7796
2020-08,48.7975,60.4647
2020-09,41.9915,54.114
2020-10,50.0675,49.4304
2020-11,62.8422,60.0665
2020-12,68.8084,65.6694
2021-01,62.1596,62.5842
2021-02,60.706,61.2061
2021-03,69.8142,68.1099
2021-04,83.4885,76.0477
2021-05,95.1804,71.8332
2021-06,95.1061,75.2154
2021-07,92.1701,78.5219
2021-08,107.7471,82.7653
2021-09,85.0517,73.7144
2021-10,106.9139,84.9315
2021-11,97.1913,82.5507
2021-12,99.9596,85.108
2022-01,78.7265,74.4822
2022-02,60.8017,66.0339
2022-03,63.8184,71.1823
2022-04,44.6191,61.0689
2022-05,57.5777,64.0634
2022-06,35.1397,45.415
2022-07,41.5462,58.2127
2022-08,43.6582,54.5835
2022-09,34.0765,48.8478
2022-10,52.6339,54.573
2022-11,68.7256,62.484
2022-12,68.0999,54.6459
2023-01,76.3938,61.6847
2023-02,66.0515,57.2889
2023-03,65.0816,61.458
2023-04,64.9459,63.3951
2023-05,57.58,63.5421
2023-06,67.1052,73.9848
2023-07,77.8886,78.9586
2023-08,72.7881,73.6879
2023-09,60.8114,65.2467
2023-10,51.7964,61.0426
2023-11,85.5686,75.1358
2023-12,101.9643,82.9537
2024-01,95.0285,80.0638
2024-02,98.6884,88.6459
2024-03,99.3461,94.4293
2024-04,84.2998,87.49
2024-05,84.927,92.8062
2024-06,86.8185,99.3221
2024-07,107.0982,97.6544
2024-08,105.5606,102.2951
2024-09,117.633,99.3244
2024-10,121.9569,96.6173
2024-11,121.4869,101.2942
2024-12,114.4416,94.8735
2025-01,125.4579,95.6692
2025-02,104.5857,91.8634
2025-03,96.9809,86.066
2025-04,84.9697,78.9286
