Date,rate_CE_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,56.41,0.0
2019-03-01,5.02,4.45,0.57,57.25,3.69
2019-04-29,8.94,7.58,1.36,58.41,6.65
2019-06-25,6.29,7.2,-0.91,55.06,1.3
2019-08-21,13.11,7.24,5.87,65.07,4.19
2019-10-17,19.96,8.87,11.09,72.78,-1.46
2019-12-13,21.92,13.19,8.73,69.29,-4.85
2020-02-12,11.74,18.03,-6.29,47.12,-11.62
2020-04-09,-11.17,3.89,-15.06,34.17,3.1
2020-06-08,2.31,14.68,-12.37,38.15,10.62
2020-08-04,1.18,16.26,-15.08,34.15,7.0
2020-09-30,10.25,17.41,-7.16,45.84,9.35
2020-11-25,33.51,24.05,9.46,70.37,16.18
2021-01-26,26.81,29.15,-2.34,52.95,-10.88
2021-03-24,42.52,30.35,12.17,74.37,3.33
2021-05-20,61.96,36.67,25.29,93.74,12.65
2021-07-19,46.8,38.99,7.81,67.94,-1.46
2021-09-14,48.7,43.6,5.1,63.94,-12.19
2021-11-09,69.82,49.14,20.68,86.94,6.49
2022-01-06,68.72,49.24,19.48,85.16,16.59
2022-03-07,34.06,37.68,-3.62,51.06,-20.43
2022-05-03,49.28,36.93,12.35,74.64,23.61
2022-06-30,19.49,27.61,-8.12,44.42,-39.16
2022-08-26,16.11,34.27,-18.16,29.6,-2.45
2022-10-24,-2.81,27.92,-30.73,11.04,2.55
2022-12-20,4.73,28.33,-23.6,21.57,7.44
2023-02-17,20.67,34.71,-14.04,35.68,-7.63
2023-04-18,12.09,36.36,-24.27,20.58,2.01
2023-06-14,18.35,41.83,-23.48,21.74,8.72
2023-08-11,27.13,43.86,-16.73,31.71,9.58
2023-10-09,22.55,40.69,-18.14,29.63,-1.03
2023-12-05,39.87,46.52,-6.65,46.59,19.38
2024-02-02,46.21,55.53,-9.32,42.65,-13.27
2024-04-02,66.24,61.42,4.82,63.52,16.59
2024-05-29,47.47,63.18,-15.71,33.22,-15.6
2024-07-26,39.03,67.5,-28.47,14.38,5.54
