Date,rate_GS_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,25.09,0.0
2019-03-01,-0.24,4.45,-4.69,18.65,-3.35
2019-04-29,2.03,7.58,-5.55,17.47,1.65
2019-06-25,0.76,7.2,-6.44,16.25,0.56
2019-08-21,2.56,7.24,-4.68,18.66,-8.51
2019-10-17,4.81,8.87,-4.06,19.51,-4.08
2019-12-13,12.04,13.19,-1.15,23.51,0.44
2020-02-12,17.37,18.03,-0.66,24.18,-7.03
2020-04-09,-3.84,3.89,-7.73,14.48,7.56
2020-06-08,10.41,14.68,-4.27,19.23,8.83
2020-08-04,2.93,16.26,-13.33,6.79,-4.15
2020-09-30,2.67,17.41,-14.74,4.86,3.43
2020-11-25,16.55,24.05,-7.5,14.79,13.21
2021-01-26,34.18,29.15,5.03,31.99,8.83
2021-03-24,52.47,30.35,22.12,55.44,-0.08
2021-05-20,64.61,36.67,27.94,63.43,14.49
2021-07-19,62.64,38.99,23.65,57.54,0.36
2021-09-14,81.73,43.6,38.13,77.41,-1.59
2021-11-09,82.38,49.14,33.24,70.7,-0.98
2022-01-06,79.1,49.24,29.86,66.06,0.37
2022-03-07,49.83,37.68,12.15,41.76,-14.88
2022-05-03,47.01,36.93,10.08,38.92,5.98
2022-06-30,40.13,27.61,12.52,42.27,-2.73
2022-08-26,55.49,34.27,21.22,54.21,3.85
2022-10-24,52.49,27.92,24.57,58.8,14.05
2022-12-20,58.65,28.33,30.32,66.69,-14.47
2023-02-17,68.01,34.71,33.3,70.78,10.52
2023-04-18,54.52,36.36,18.16,50.01,6.84
2023-06-14,56.28,41.83,14.45,44.92,0.64
2023-08-11,57.18,43.86,13.32,43.36,8.98
2023-10-09,46.21,40.69,5.52,32.66,-1.14
2023-12-05,57.58,46.52,11.06,40.26,2.62
2024-02-02,75.56,55.53,20.03,52.57,-6.25
2024-04-02,84.25,61.42,22.83,56.42,7.41
2024-05-29,102.59,63.18,39.41,79.17,8.36
2024-07-26,118.92,67.5,51.42,95.65,29.67
