Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank
1,NVDA,Technology,1915.2,64.7,9.4,15.6,12.0,7.7,9.8,77.8,263.8,441.4,1038.0,4625.3,2965.6,-10.6,1.2,2918.9,709.6,1999.3,4.0,4.0,6.0,16.0,-10,-0.8
2,BTC-USD,Coin,7314.4,81.2,0.1,7.6,11.9,9.5,32.2,96.0,167.8,217.9,546.5,6449.0,9008.0,-11.4,1.3,7040.4,1636.0,7397.4,1.0,1.0,3.0,8.0,0,4.2
3,TSLA,Technology,3174.5,100.0,11.7,25.0,16.2,6.5,34.2,30.5,25.1,32.9,446.6,885.6,3174.5,-60.4,1.2,1836.1,323.2,3258.6,3.0,3.0,8.0,20.0,0,10.8
4,ETN,Industrials,125.3,84.0,5.1,6.3,10.4,2.5,-0.2,8.2,29.4,65.3,110.8,168.3,153.0,-19.7,1.2,128.0,28.7,209.5,28.0,31.0,38.0,52.0,-7,33.2
5,AMD,Technology,771.3,44.2,5.9,17.2,11.2,0.6,-15.1,-27.2,-20.4,-23.9,48.3,826.6,1784.8,-31.6,1.2,2458.3,1295.4,855.5,9.0,9.0,7.0,12.0,24,33.8
6,DOGE-USD,Coin,4945.9,34.2,8.0,25.1,10.5,-12.7,33.2,87.6,99.0,1126.9,3086.1,3347.1,14535.2,-31.9,2.1,9313.8,3810.5,4996.8,2.0,2.0,2.0,6.0,33,36.6
7,AVGO,Technology,160.1,87.0,10.0,13.6,15.5,19.6,30.2,72.3,142.6,252.1,406.2,752.1,188.0,-26.4,1.2,109.3,19.0,244.3,26.0,25.0,41.0,56.0,0,40.8
8,AAPL,Technology,219.5,72.4,5.8,-5.8,-9.8,-9.5,-9.3,-12.0,-11.0,-3.6,51.7,173.8,311.5,-21.3,1.1,333.4,105.7,302.4,18.0,21.0,21.0,37.0,15,41.8
9,LLY,Healthcare,162.5,55.9,-1.8,-10.5,-13.1,-7.9,-15.5,-5.4,21.9,111.2,222.2,408.4,312.7,-27.7,1.2,389.5,121.5,246.7,24.0,24.0,19.0,33.0,17,43.6
10,MSTR,Financials,1268.3,65.0,-3.6,6.8,25.5,19.2,91.3,418.1,814.3,959.9,1446.2,1647.1,1990.6,-72.8,1.5,996.6,118.1,1352.5,7.0,7.0,11.0,34.0,30,48.6
11,NFLX,Communication Services,203.1,89.0,3.2,4.8,14.7,23.9,47.1,87.4,162.6,125.7,126.2,323.9,228.7,-3.2,1.6,113.8,19.3,287.2,20.0,23.0,40.0,55.0,10,48.6
12,COST,Consumer Defensive,225.9,96.2,-0.9,-5.2,-1.5,3.4,7.9,25.9,37.0,66.7,112.4,218.2,235.3,-14.2,1.1,162.4,30.1,310.0,17.0,19.0,32.0,50.0,18,51.6
13,XRP-USD,Coin,454.6,52.5,3.2,6.9,5.1,38.1,190.4,250.6,321.0,355.9,409.0,400.4,919.3,-60.0,2.6,420.0,92.5,505.4,12.0,12.0,17.0,40.0,30,54.2
