Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank
1,NVDA,Technology,2282.3,76.9,0.1,2.2,16.4,30.3,32.4,98.0,316.7,545.0,1347.4,6001.1,2972.5,-10.6,1.2,2587.8,555.1,2383.2,5.0,5.0,5.0,19.0,-10,0.6
2,BTC-USD,Unknown,7494.7,83.2,-4.2,-3.3,1.3,10.7,30.5,85.4,173.1,206.5,586.6,7184.3,9014.3,-11.6,1.2,8167.0,1935.9,7595.6,1.0,1.0,4.0,9.0,5,9.8
3,TSLA,Consumer Cyclical,2779.2,84.6,2.9,3.2,-1.6,2.2,6.8,16.1,13.0,2.6,367.3,824.3,3296.9,-60.2,1.2,2332.9,505.9,2880.0,3.0,3.0,6.0,20.0,3,13.4
4,AMD,Technology,851.9,48.5,0.2,4.4,28.6,44.3,29.2,13.6,26.5,25.9,118.3,1323.7,1791.0,-31.6,1.3,2133.6,1103.9,952.8,7.0,7.0,7.0,15.0,10,20.2
5,AVGO,Technology,178.9,94.7,-0.5,3.9,13.1,30.8,46.6,96.8,182.9,302.8,474.0,828.4,190.0,-19.8,1.2,104.2,16.2,279.8,14.0,16.0,29.0,47.0,0,30.6
6,COST,Consumer Defensive,196.2,84.4,0.3,-2.2,-8.5,-11.9,-7.9,3.1,13.5,36.9,70.0,154.2,232.7,-0.6,1.1,200.0,43.2,282.4,13.0,15.0,21.0,43.0,4,31.0
7,MSFT,Technology,67.1,37.7,-0.6,0.5,6.6,11.6,10.8,7.3,16.1,25.4,67.7,238.6,196.5,-11.1,1.2,186.6,117.0,166.7,23.5,25.5,22.5,30.5,10,36.5
8,MSFT,Technology,67.1,37.7,-0.6,0.5,6.6,11.6,10.8,7.3,16.1,25.4,67.7,238.6,196.5,-11.1,1.2,186.6,117.0,166.7,23.5,25.5,22.5,30.5,10,36.5
9,DOGE-USD,Unknown,5795.9,40.0,-2.5,-1.7,9.0,7.9,22.4,62.8,81.4,715.9,2901.2,3264.2,14535.2,-32.8,1.6,10974.9,4087.4,5875.4,2.0,2.0,2.0,6.0,35,38.6
10,LLY,Healthcare,109.9,40.5,1.3,-11.9,-14.2,-22.1,-25.8,-26.6,-5.3,66.1,146.1,297.2,311.6,-27.3,1.2,528.3,231.8,210.8,18.0,19.0,12.0,25.0,20,39.8
11,SOL-USD,Unknown,2568.7,31.3,-2.1,2.4,7.1,12.9,5.6,108.3,301.7,1054.2,0.0,0.0,8255.5,-24.9,1.2,10511.2,5404.9,2568.7,4.0,4.0,3.0,3.0,40,43.4
12,ETN,Industrials,95.7,74.4,-2.5,-6.9,-3.0,5.0,1.2,2.6,21.7,54.1,98.7,146.8,132.3,-10.4,1.2,132.1,35.8,181.9,20.0,23.0,26.0,45.0,18,49.8
13,ETH-USD,Unknown,570.9,34.1,-3.6,17.4,54.7,76.1,59.8,54.4,73.0,127.3,717.1,697.8,1807.5,-67.9,1.3,1248.2,786.8,650.3,9.0,9.0,9.0,17.0,40,52.2
14,MSTR,Technology,1233.8,63.4,-2.2,-10.4,-10.5,0.1,37.1,249.8,580.4,709.8,1204.7,1448.7,1984.7,-66.9,1.4,1248.3,175.6,1334.6,6.0,6.0,8.0,27.0,38,52.8
15,ENPH,Technology,625.6,7.5,0.4,-8.2,-19.0,-33.7,-53.1,-77.4,-99.0,-113.7,-59.4,417.8,8418.5,-1.9,1.4,30766.2,50121.7,711.8,8.0,8.0,1.0,1.0,50,53.8
16,XRP-USD,Unknown,542.8,59.6,-1.4,-6.7,21.6,24.0,150.7,282.0,371.5,404.9,538.9,520.6,950.8,-59.2,2.0,547.3,116.5,622.2,10.0,10.0,11.0,32.0,35,54.0
17,WMT,Consumer Defensive,55.3,66.1,-8.2,0.5,-3.7,-5.7,2.4,21.5,31.2,40.7,46.3,70.0,93.5,-19.3,1.4,51.3,8.1,141.5,30.0,29.0,38.0,49.0,16,55.0
18,GS,Financial Services,66.8,90.4,-1.7,0.1,5.9,8.8,17.3,38.4,43.7,59.3,81.3,80.1,78.5,-42.8,1.1,39.7,5.0,167.6,22.0,27.0,42.0,51.0,20,58.6
19,NTRA,Healthcare,48.5,13.1,0.6,14.8,0.3,-1.7,2.4,54.5,96.8,82.6,177.5,503.1,631.9,-39.3,1.6,257.0,110.6,149.7,27.0,30.0,17.0,33.0,33,61.0
20,VST,Utilities,238.1,75.6,-0.8,-1.4,9.4,25.0,48.1,181.1,352.7,560.9,592.2,655.6,337.1,-68.6,1.3,184.4,12.8,324.4,11.0,12.0,24.0,48.0,35,63.6
21,AVAV,Industrials,64.8,68.0,-2.9,-6.4,16.5,40.7,30.2,45.9,69.5,95.4,113.7,257.1,129.9,-73.4,1.4,40.3,1.3,151.0,26.0,28.0,41.0,53.0,25,65.2
22,NFLX,Communication Services,75.3,79.1,-2.8,-3.8,-6.3,1.1,22.8,61.7,117.2,119.8,122.3,326.2,104.5,-35.2,1.6,51.5,4.8,161.6,25.0,24.0,37.0,52.0,28,66.0
23,AMZN,Consumer Cyclical,-3.5,1.0,-0.5,2.1,3.2,2.9,4.4,8.5,24.1,10.3,14.1,136.8,182.3,-5.4,1.5,0.0,3923.6,97.4,45.0,51.0,74.5,7.0,30,66.9
24,TMDX,Healthcare,176.0,66.6,-1.9,6.3,-4.8,30.2,21.5,27.5,32.9,179.6,234.6,234.6,296.4,-64.2,1.4,207.6,54.3,248.4,17.0,17.0,19.0,40.0,43,69.6
25,AMAT,Technology,15.1,14.1,-11.6,-14.6,-10.4,-7.5,-15.7,-26.4,-20.6,-13.9,28.7,120.3,253.7,-24.1,1.5,676.9,658.8,115.9,41.0,43.0,10.0,18.0,45,71.0
26,WM,Industrials,8.9,21.0,-6.5,-3.1,-6.9,-10.2,-7.2,-7.7,-11.1,-3.0,-2.2,23.0,68.6,-7.0,1.4,200.9,154.7,95.1,46.0,45.0,20.0,28.0,40,73.4
27,MA,Financial Services,31.6,37.0,5.0,2.0,-4.1,-5.0,-0.8,0.4,2.5,4.6,6.8,87.5,103.8,-10.8,1.2,111.9,71.9,132.4,32.0,35.5,27.0,39.0,39,73.5
28,GOOG,Communication Services,27.3,31.0,4.4,5.7,10.0,9.5,7.4,6.6,16.6,20.2,47.2,115.1,97.5,-4.2,1.5,107.8,79.7,128.1,33.0,37.0,28.0,35.0,40,73.6
29,ISRG,Healthcare,12.5,14.3,-1.2,-6.7,-15.6,-18.5,-17.5,-6.1,5.8,10.4,21.0,127.3,127.7,-6.8,1.2,365.1,256.3,113.4,42.0,44.0,15.0,24.0,47,76.8
30,LIN,Basic Materials,-4.3,3.7,-3.1,-1.0,-3.9,-6.2,-7.3,-13.2,-13.5,-5.2,7.4,37.1,55.1,-6.6,1.5,0.0,933.2,81.9,51.0,52.0,74.5,16.0,35,76.9
31,ASML,Technology,-13.1,2.5,1.0,2.1,-5.3,-3.8,-9.1,-22.8,-25.3,-26.5,13.2,123.5,250.6,-20.0,1.8,0.0,4378.8,87.7,49.0,55.0,74.5,5.0,40,77.7
32,PANW,Technology,16.6,30.6,-0.5,-7.0,-13.0,-14.5,-13.2,-9.8,4.5,48.3,112.3,218.0,146.5,-40.8,1.4,259.4,147.5,117.4,38.0,42.0,16.0,29.0,47,77.8
33,MELI,Consumer Cyclical,26.5,9.5,-0.7,-5.6,-13.3,-4.9,0.7,11.4,28.0,27.3,92.2,436.4,344.1,-6.8,1.4,426.9,330.6,112.7,43.0,38.0,14.0,22.0,51,78.8
