Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Period_Penalty,Alpha_Penalty,Penalty_Raw,Penalty,Penalty_N,Penalty_Rank,IsCrypto,Penalty_N2,Average_Rank
1,LLY,Healthcare,190.7,83.9,0.6,2.5,28.4,23.5,17.5,9.0,35.3,159.0,111.4,190.7,233.3,-31.1,1.3,183.6,47.3,281.7,18.0,20.0,29.0,39.0,,,,0,,,,,29.0
2,TSLA,Consumer Cyclical,941.1,65.5,-8.6,1.1,-4.0,11.8,-27.4,-17.8,94.4,23.9,884.4,941.1,1461.7,-49.3,1.3,1198.2,410.1,1032.1,5.0,5.0,14.0,19.0,,,,19,,,,,31.4
3,BTC-USD,Unknown,1849.1,67.3,0.2,-4.2,-29.7,-30.9,-37.5,-0.2,98.1,-2.0,384.7,1849.1,2751.4,-4.2,1.1,3423.9,1084.2,1940.5,4.0,4.0,9.0,11.0,,,,32,,,,,39.8
4,NVDA,Technology,565.5,79.0,-0.2,3.2,-8.0,-0.9,-10.8,75.8,222.7,166.6,399.3,565.5,719.2,-11.6,1.2,677.3,140.3,656.5,8.0,8.0,17.0,26.0,,,,29,,,,,46.0
5,TRX-USD,Unknown,405.7,5.7,0.2,3.0,-18.4,-16.4,-38.1,4.7,20.1,123.4,27.7,405.7,7354.5,-12.6,1.2,8324.5,6228.4,478.6,10.0,11.0,5.0,5.0,,,,39,,,,,46.2
6,AVGO,Technology,169.5,72.9,-0.8,-9.4,-0.1,-1.0,-7.6,30.6,78.9,54.1,97.9,169.5,237.6,-13.6,1.2,175.6,36.6,260.5,21.0,22.0,31.0,45.0,,,,14,,,,,46.8
7,SMCI,Technology,247.2,16.7,0.3,-6.7,-43.3,-52.9,-29.9,-54.5,0.7,219.8,509.2,247.2,1823.9,-70.0,1.7,4223.0,2804.4,338.2,13.0,14.0,8.0,9.0,,,,37,,,,,47.6
8,ANET,Technology,210.2,59.1,2.4,4.2,-15.3,0.4,-29.1,-11.7,32.7,131.5,100.8,210.2,365.8,-14.3,1.2,418.2,139.5,301.2,17.0,19.0,18.0,27.0,,,,29,,,,,50.6
9,COST,Consumer Defensive,75.3,51.4,2.2,-6.0,-9.7,-22.1,-19.1,-11.7,-6.3,45.1,53.8,75.3,162.4,-17.0,1.2,222.9,78.7,166.7,33.0,34.0,25.0,32.0,,,,20,,,,,51.2
10,XRP-USD,Unknown,685.0,35.3,3.0,-9.5,-37.1,-21.6,-63.5,33.3,92.0,289.8,651.0,685.0,2038.6,-55.0,1.6,2766.4,1071.2,757.9,7.0,7.0,10.0,12.0,,,,44,,,,,53.6
