Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,rate_vs,shares_vs,Close_vs
2017-11-09,0.0014149999478831887,0.0012069999938830733,0.0014149999478831887,0.0011810000287368894,0.0014149999478831887,6259550,2000.0,0,2000.0,0.0,0.0,0.0,2000,Monthly invest,0.0,0.0,0.0,0.0,0.0,0.0,0.0014149999478831887,0.0,DOGE-USD,0.0,0.0,210.6106109619141
2017-11-10,0.0011630000080913305,0.001420999993570149,0.0014309999532997608,0.0011249999515712261,0.0011630000080913305,4246520,2000.0,0,2000.0,0.0,0.0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0014149999478831887,-1.1517,DOGE-USD,-0.0721796671549555,0.0,210.4862823486328
2017-11-13,0.0012110000243410468,0.0010460000485181808,0.0012120000319555402,0.0010189999593421817,0.0012110000243410468,2481270,1990.0497516950004,0,9.06950904209225e-05,1990.04966099991,1643311.0,-0.4975124152499788,2000,Buy all cash ,0.0,0.0012,0.0,0.0,0.0,0.0,0.0014149999478831887,-2.3586,DOGE-USD,0.07218852572970036,0.0,210.7349548339844
2017-11-14,0.0011840000515803695,0.0012009999481961131,0.0012390000047162175,0.0011309999972581863,0.0011840000515803695,2660340,1945.680399457679,0,9.06950904209225e-05,1945.6803087625885,1643311.0,-2.7159800271160495,2000,,0.0,0.0012,0.0,0.0,0.0,0.0,0.0014149999478831887,-2.1547,DOGE-USD,-0.2268149481879469,0.0,210.2199249267578
2017-11-15,0.0013389999512583017,0.0011889999732375145,0.0013510000426322222,0.0011790000135079026,0.0013389999512583017,2840180,2200.3934395973215,0,9.06950904209225e-05,2200.393348902231,1643311.0,10.019671979866086,2000,,0.0,0.0012,0.0,0.0,0.0,0.0,0.0014149999478831887,-1.1242,DOGE-USD,-0.8506092071533153,0.0,209.14544677734372
2017-11-16,0.0013899999903514981,0.001348000019788742,0.001424000016413629,0.0012860000133514404,0.0013899999903514981,3423010,2284.202364839601,0,9.06950904209225e-05,2284.2022741445107,1643311.0,14.210118241980062,2000,,0.0,0.0012,0.0,0.0,0.0,0.0,0.0014149999478831887,-0.1436,DOGE-USD,0.18557828267413612,0.0,210.9302673339844
2017-11-17,0.0013129999861121178,0.0013810000382363796,0.0013940000208094716,0.0012740000383928418,0.0013129999861121178,2787480,2157.667410872981,0,9.06950904209225e-05,2157.6673201778904,1643311.0,7.883370543649049,2000,,0.0,0.0013,0.0,0.0,0.0,0.0,0.0014149999478831887,0.1265,DOGE-USD,-0.14435047573513415,0.0,210.36196899414065
2017-11-20,0.0013940000208094716,0.001373999984934926,0.0014280000468716025,0.001348000019788742,0.0013940000208094716,2141360,2290.775658891524,0,9.06950904209225e-05,2290.7755681964336,1643311.0,14.538782944576202,2000,,0.0,0.0014,0.0,0.0,0.0,0.0,0.0014149999478831887,1.1652,DOGE-USD,0.015502505832245106,0.0,210.63731384277344
2017-11-21,0.0013889999827370048,0.0014100000262260437,0.0014459999511018395,0.0013020000187680125,0.0013889999827370048,3047660,2282.5590413266204,0,9.06950904209225e-05,2282.55895063153,1643311.0,14.127952066331018,2000,,0.0,0.0014,0.0,0.0,0.0,0.0,0.0014149999478831887,1.2557,DOGE-USD,0.8299775865342944,0.0,212.0402374267578
2017-11-22,0.0018230000277981162,0.0014009999576956034,0.002053000032901764,0.0013729999773204327,0.0018230000277981162,18841700,2995.7560893760406,0,9.06950904209225e-05,2995.75599868095,1643311.0,49.78780446880202,2000,,64.01099261338342,0.0015,0.0,0.0,0.0,0.0,0.0018230000277981162,3.2674,DOGE-USD,0.7423839992946952,0.0,211.8893585205078
