Date,rate_ADSK_5D,rate_VOO_20D
2015-01,-7.7373,-3.5196
2015-02,10.3371,1.8045
2015-03,-1.6592,-0.4336
2015-04,-5.4517,0.3137
2015-05,-9.7024,1.1276
2015-06,-15.4588,-1.1499
2015-07,-13.4586,0.7758
2015-08,-16.1232,-5.2144
2015-09,-19.6712,-6.8385
2015-10,2.1115,1.456
2015-11,16.8344,1.6267
2015-12,11.1059,-1.5469
2016-01,0.1333,-5.7531
2016-02,2.3152,-5.5897
2016-03,14.4561,1.0514
2016-04,16.4074,1.2766
2016-05,12.3324,2.8694
2016-06,3.7424,3.0125
2016-07,13.5509,6.6033
2016-08,27.9279,6.4108
2016-09,35.8925,6.0754
2016-10,34.2421,3.9171
2016-11,33.3402,7.5494
2016-12,34.1205,9.4609
2017-01,45.6551,10.9259
2017-02,52.5717,14.726
2017-03,50.8696,14.3056
2017-04,55.307,14.9549
2017-05,90.2744,16.0331
2017-06,68.9769,16.1995
2017-07,83.0921,18.0191
2017-08,86.515,17.7917
2017-09,80.4423,19.633
2017-10,98.1575,21.8061
2017-11,71.5587,24.8473
2017-12,62.1958,25.7591
2018-01,76.9895,31.9951
2018-02,70.3571,23.8183
2018-03,81.8884,20.2635
2018-04,70.6552,19.4213
2018-05,68.3042,21.8063
2018-06,69.134,22.1657
2018-07,64.1061,25.9246
2018-08,95.3278,29.3314
2018-09,95.4553,29.4255
2018-10,76.331,22.2068
2018-11,90.304,23.3167
2018-12,69.2475,11.9431
2019-01,91.3696,20.5081
2019-02,109.8832,23.9911
2019-03,98.6997,25.8605
2019-04,124.8576,30.3858
2019-05,101.1447,21.7197
2019-06,101.6857,29.6454
2019-07,91.5482,30.9765
2019-08,73.8369,28.3144
2019-09,78.4652,30.3463
2019-10,76.6878,32.6432
2019-11,115.2798,36.8628
2019-12,116.4434,40.2808
2020-01,130.0713,39.5678
2020-02,120.2466,27.6738
2020-03,105.9354,13.7983
2020-04,150.2207,28.8259
2020-05,178.8193,34.4952
2020-06,213.8727,36.4312
2020-07,207.1598,43.8393
2020-08,216.0023,53.1513
2020-09,194.1664,46.6896
2020-10,201.7132,42.3008
2020-11,234.7603,52.4801
2020-12,261.2281,57.4142
2021-01,224.9704,54.5505
2021-02,224.7602,53.2934
2021-03,222.8704,59.5159
2021-04,236.9661,67.1173
2021-05,227.0247,63.1968
2021-06,231.0057,66.0543
2021-07,260.9491,69.2542
2021-08,245.4241,73.3422
2021-09,214.9882,64.4042
2021-10,247.9241,75.0902
2021-11,176.1207,72.8856
2021-12,203.0562,74.9009
2022-01,159.8059,64.895
2022-02,124.8832,56.9858
2022-03,121.9915,61.5358
2022-04,100.4356,52.057
2022-05,113.6838,54.9384
2022-06,66.8503,36.9453
2022-07,108.8917,49.0698
2022-08,101.5466,45.7104
2022-09,94.7224,40.1987
2022-10,110.9734,45.6601
2022-11,81.2153,53.1737
2022-12,75.4638,45.6599
2023-01,96.5011,52.3475
2023-02,90.5343,48.2542
2023-03,92.7524,51.8024
2023-04,79.5208,53.6829
2023-05,82.9448,53.8786
2023-06,86.8795,63.3157
2023-07,85.5339,68.0453
2023-08,83.7064,63.1618
2023-09,73.1924,54.8586
2023-10,62.7417,50.9761
2023-11,66.9497,64.2516
2023-12,85.025,71.1453
2024-01,80.9625,68.5021
2024-02,81.5344,76.5945
2024-03,78.8571,81.6555
2024-04,58.2767,75.2279
2024-05,47.3734,80.2558
2024-06,80.2775,85.9352
2024-07,76.707,84.4489
2024-08,83.3825,88.839
2024-09,94.747,85.735
2024-10,92.1421,83.2677
2024-11,86.4434,87.6882
2024-12,86.6411,81.6348
2025-01,94.0782,82.4329
2025-02,78.9628,78.9338
2025-03,72.368,73.1645
2025-04,62.2406,66.3595
