Date,rate_LYB_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,89.54,0.0
2019-03-01,-1.36,4.45,-5.81,80.35,-7.04
2019-04-29,2.31,7.58,-5.27,81.21,2.96
2019-06-25,0.84,7.2,-6.36,79.48,11.22
2019-08-21,-13.14,7.24,-20.38,57.33,-18.38
2019-10-17,0.67,8.87,-8.2,76.58,-2.87
2019-12-13,7.13,13.19,-6.06,79.96,-8.28
2020-02-12,-0.16,18.03,-18.19,60.79,-14.16
2020-04-09,-24.81,3.89,-28.7,44.18,14.04
2020-06-08,-4.38,14.68,-19.06,59.41,25.21
2020-08-04,-17.93,16.26,-34.19,35.5,-11.13
2020-09-30,-11.28,17.41,-28.69,44.19,10.48
2020-11-25,10.76,24.05,-13.29,68.53,23.37
2021-01-26,9.08,29.15,-20.07,57.82,-10.63
2021-03-24,25.74,30.35,-4.61,82.25,-8.49
2021-05-20,34.71,36.67,-1.96,86.44,13.29
2021-07-19,14.22,38.99,-24.77,50.39,-18.13
2021-09-14,16.03,43.6,-27.57,45.96,-16.69
2021-11-09,14.83,49.14,-34.31,35.31,-20.21
2022-01-06,19.38,49.24,-29.86,42.34,12.12
2022-03-07,17.14,37.68,-20.54,57.07,0.99
2022-05-03,36.02,36.93,-0.91,88.1,30.79
2022-06-30,8.57,27.61,-19.04,59.44,-37.49
2022-08-26,7.88,34.27,-26.39,47.83,-1.58
2022-10-24,1.35,27.92,-26.57,47.54,11.98
2022-12-20,0.72,28.33,-27.61,45.9,0.71
2023-02-17,20.11,34.71,-14.6,66.46,4.96
2023-04-18,19.91,36.36,-16.45,63.54,11.35
2023-06-14,11.93,41.83,-29.9,42.28,-6.21
2023-08-11,22.26,43.86,-21.6,55.4,16.49
2023-10-09,15.0,40.69,-25.69,48.93,-7.51
2023-12-05,14.84,46.52,-31.68,39.47,-6.86
2024-02-02,14.89,55.53,-40.64,25.3,-16.19
2024-04-02,28.13,61.42,-33.29,36.92,2.15
2024-05-29,19.52,63.18,-43.66,20.53,-14.98
2024-07-26,20.04,67.5,-47.46,14.53,4.1
