Date,rate_TGT_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,2.8,0.0
2019-03-01,2.76,4.45,-1.69,1.99,-1.15
2019-04-29,8.45,7.58,0.87,3.21,-2.66
2019-06-25,17.69,7.2,10.49,7.8,1.38
2019-08-21,37.93,7.24,30.69,17.44,8.78
2019-10-17,50.93,8.87,42.06,22.86,3.53
2019-12-13,69.12,13.19,55.93,29.47,9.1
2020-02-12,57.28,18.03,39.25,21.52,-5.57
2020-04-09,39.19,3.89,35.3,19.64,3.56
2020-06-08,62.82,14.68,48.14,25.76,0.54
2020-08-04,73.32,16.26,57.06,30.01,5.82
2020-09-30,108.38,17.41,90.97,46.19,6.29
2020-11-25,137.5,24.05,113.45,56.91,11.15
2021-01-26,147.74,29.15,118.59,59.36,6.06
2021-03-24,148.5,30.35,118.15,59.15,1.08
2021-05-20,192.06,36.67,155.39,76.91,9.71
2021-07-19,230.19,38.99,191.2,93.99,11.79
2021-09-14,218.65,43.6,175.05,86.29,-12.65
2021-11-09,235.44,49.14,186.3,91.65,11.61
2022-01-06,204.49,49.24,155.25,76.84,-4.92
2022-03-07,178.09,37.68,140.41,69.77,1.48
2022-05-03,206.04,36.93,169.11,83.45,15.84
2022-06-30,87.33,27.61,59.72,31.28,-5.81
2022-08-26,112.54,34.27,78.27,40.13,-0.93
2022-10-24,114.1,27.92,86.18,43.9,6.67
2022-12-20,89.96,28.33,61.63,32.19,-7.54
2023-02-17,128.92,34.71,94.21,47.73,5.52
2023-04-18,114.85,36.36,78.49,40.23,-2.69
2023-06-14,76.93,41.83,35.1,19.54,-17.74
2023-08-11,74.1,43.86,30.24,17.22,0.5
2023-10-09,41.22,40.69,0.53,3.05,-8.64
2023-12-05,76.48,46.52,29.96,17.09,11.13
2024-02-02,92.87,55.53,37.34,20.61,0.17
2024-04-02,132.85,61.42,71.43,36.87,15.22
2024-05-29,95.8,63.18,32.62,18.36,-10.97
2024-07-26,97.43,67.5,29.93,17.07,1.85
