Date,rate_WM_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,24.03,0.0
2019-03-01,6.08,4.45,1.63,26.51,3.43
2019-04-29,11.04,7.58,3.46,29.28,-0.57
2019-06-25,20.12,7.2,12.92,43.65,7.05
2019-08-21,22.2,7.24,14.96,46.74,7.25
2019-10-17,19.99,8.87,11.12,40.91,2.82
2019-12-13,16.11,13.19,2.92,28.47,-2.85
2020-02-12,28.48,18.03,10.45,39.9,6.79
2020-04-09,5.04,3.89,1.15,25.78,-8.61
2020-06-08,17.49,14.68,2.81,28.3,6.15
2020-08-04,13.2,16.26,-3.06,19.39,-0.12
2020-09-30,17.16,17.41,-0.25,23.65,5.8
2020-11-25,23.05,24.05,-1.0,22.51,4.44
2021-01-26,17.87,29.15,-11.28,6.91,-9.59
2021-03-24,27.76,30.35,-2.59,20.1,18.96
2021-05-20,41.97,36.67,5.3,32.08,6.76
2021-07-19,44.88,38.99,5.89,32.97,5.96
2021-09-14,54.84,43.6,11.24,41.1,4.66
2021-11-09,59.39,49.14,10.25,39.59,-5.15
2022-01-06,62.37,49.24,13.13,43.97,-0.3
2022-03-07,56.0,37.68,18.32,51.84,25.56
2022-05-03,59.17,36.93,22.24,57.8,14.58
2022-06-30,53.39,27.61,25.78,63.17,4.02
2022-08-26,70.25,34.27,35.98,78.65,12.08
2022-10-24,62.22,27.92,34.3,76.1,-8.13
2022-12-20,57.76,28.33,29.43,68.71,-1.78
2023-02-17,55.15,34.71,20.44,55.06,-0.2
2023-04-18,64.67,36.36,28.31,67.01,7.64
2023-06-14,61.98,41.83,20.15,54.62,-17.07
2023-08-11,60.63,43.86,16.77,49.49,-9.19
2023-10-09,57.48,40.69,16.79,49.52,5.87
2023-12-05,71.67,46.52,25.15,62.21,-2.34
2024-02-02,85.45,55.53,29.92,69.45,3.21
2024-04-02,106.28,61.42,44.86,92.14,3.56
2024-05-29,99.96,63.18,36.78,79.87,-14.12
2024-07-26,93.41,67.5,25.91,63.37,-20.29
