Date,rate_BTC-USD_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-03-03,1.8,4.16,-2.36,83.38,29.98,3.87,1.45,0.0
2015-04-29,-18.31,3.8,-22.11,28.88,-21.61,6.23,1.54,0.0
2015-06-25,-11.83,3.4,-15.23,46.15,8.63,6.23,1.23,0.0
2015-08-21,-15.52,-2.77,-12.75,52.37,-37.79,6.23,1.38,0.0
2015-10-19,-4.0,0.19,-4.19,73.85,24.92,6.23,1.3,0.0
2015-12-15,68.82,0.99,67.83,100.0,33.94,67.83,1.32,-0.0
2016-02-12,38.64,-8.03,46.67,77.41,-13.92,70.1,1.17,0.49
2016-04-12,52.49,1.51,50.98,81.57,0.97,70.1,1.08,1.64
2016-06-08,107.05,4.64,102.41,98.61,9.84,104.33,1.07,0.21
2016-08-04,103.96,6.55,97.41,64.31,-12.89,170.12,1.15,7.52
2016-09-30,114.13,6.55,107.58,69.3,6.65,170.12,1.12,8.15
2016-11-28,155.99,8.53,147.46,88.88,5.37,170.12,1.15,3.69
2017-01-26,215.77,12.65,203.12,74.05,-25.95,286.1,1.12,12.08
2017-03-24,218.9,14.65,204.25,67.9,-31.88,316.72,1.18,20.76
2017-05-22,630.41,17.16,613.25,100.0,2.87,613.25,1.08,0.0
2017-07-19,653.78,20.55,633.23,76.61,-17.91,836.87,1.08,40.26
2017-09-14,931.69,21.78,909.91,62.39,-37.61,1478.77,1.1,99.62
2017-11-09,2202.86,25.33,2177.53,95.61,-4.39,2278.95,1.09,17.32
2018-01-09,4537.59,32.87,4504.72,75.39,-17.04,5986.32,1.07,178.92
2018-03-08,2774.46,32.18,2742.28,46.11,7.4,5986.32,1.33,105.89
2018-05-04,2186.54,27.87,2158.67,36.42,1.74,5986.32,1.2,592.96
2018-07-02,2024.8,30.25,1994.55,33.69,-0.85,5986.32,1.03,879.22
2018-08-28,2031.16,38.61,1992.55,33.66,-0.78,5986.32,1.02,984.38
2018-10-24,1970.65,26.38,1944.27,32.86,-0.02,5986.32,1.01,1097.98
2018-12-21,1716.06,14.29,1701.77,28.83,-0.49,5986.32,1.06,1258.23
2019-02-21,1697.44,31.47,1665.97,28.23,0.15,5986.32,1.02,1352.75
2019-04-18,2000.0,36.81,1963.19,33.17,5.08,5986.32,1.11,1069.47
2019-06-17,2989.26,36.1,2953.16,49.61,7.99,5986.32,1.19,863.84
2019-08-13,3343.63,37.04,3306.59,55.49,5.62,5986.32,1.14,828.79
2019-10-09,2735.02,35.98,2699.04,45.39,-6.73,5986.32,1.06,1334.93
2019-12-05,2374.39,45.14,2329.25,39.25,-8.85,5986.32,1.07,1412.17
2020-02-04,2388.7,52.49,2336.21,39.37,0.42,5986.32,1.06,1369.3
2020-04-01,1845.23,13.74,1831.49,30.98,-5.94,5986.32,1.09,1547.84
2020-05-29,2370.71,40.47,2330.24,39.27,2.13,5986.32,1.13,1092.76
2020-07-27,2632.97,48.57,2584.4,43.49,5.3,5986.32,1.03,1285.8
2020-09-22,2517.96,51.8,2466.16,41.52,-3.99,5986.32,1.08,1362.56
2020-11-17,3790.07,64.37,3725.7,62.45,17.04,5986.32,1.13,727.03
2021-01-15,7219.04,70.52,7148.52,90.93,17.83,7865.26,1.31,48.95
2021-03-16,10712.76,78.86,10633.9,98.34,-1.66,10814.02,1.1,54.27
2021-05-12,9237.11,82.17,9154.94,77.92,-21.49,11758.15,1.07,871.32
2021-07-09,6447.12,94.62,6352.5,54.16,-4.68,11758.15,1.28,1169.47
2021-09-03,9185.1,101.38,9083.72,77.32,10.17,11758.15,1.18,842.64
2021-11-01,10965.28,103.4,10861.88,92.2,16.54,11784.07,1.18,325.25
2021-12-29,8425.47,110.49,8314.98,69.48,-15.51,11981.96,1.12,1425.31
2022-02-25,6642.57,91.86,6550.71,54.8,0.23,11981.96,1.15,2259.4
2022-04-25,6632.59,86.8,6545.79,54.76,0.11,11981.96,1.01,2991.97
2022-06-22,4006.91,63.12,3943.79,33.1,-9.93,11981.96,1.14,3671.88
2022-08-18,4376.91,84.98,4291.93,36.0,-0.24,11981.96,1.18,3579.94
2022-10-14,3822.93,53.85,3769.08,31.65,-0.67,11981.96,1.07,4836.57
2022-12-12,3536.32,70.93,3465.39,29.12,0.03,11981.96,1.06,4932.93
2023-02-09,4072.47,73.66,3998.81,33.56,3.82,11981.96,1.14,3485.12
2023-04-10,4993.34,73.97,4919.37,41.22,9.43,11981.96,1.1,3552.15
2023-06-06,4650.4,81.01,4569.39,38.31,-0.71,11981.96,1.04,3610.33
2023-08-03,4838.27,88.91,4749.36,39.81,-0.96,11981.96,1.05,3376.66
2023-09-29,4528.27,79.47,4448.8,37.31,0.98,11981.96,1.06,3258.09
2023-11-27,5824.72,90.05,5734.67,48.01,3.24,11981.96,1.14,2000.17
2024-01-25,6112.69,103.14,6009.55,50.29,-3.07,11981.96,1.07,2364.23
2024-03-22,9087.19,115.96,8971.23,74.94,13.47,11981.96,1.25,734.58
2024-05-20,9968.05,118.46,9849.59,82.25,4.36,11981.96,1.06,924.19
2024-07-18,8942.5,126.6,8815.9,73.65,-1.57,11981.96,1.06,1476.69
2024-09-16,8145.15,129.63,8015.52,66.99,0.31,11981.96,1.07,1973.75
2024-10-18,9353.09,137.88,9215.21,76.97,4.36,11981.96,1.06,1430.87
