Date,rate_BTC-USD_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Daily_Divergence,Rolling_Divergence_480
2015-01-02,0.0,0.0,0.0,100.0,0.0,0.0,112.34,0.0,,,,,
2015-03-03,1.8,4.16,-2.36,83.38,29.98,3.87,112.34,0.0,,,,,
2015-04-29,-18.31,3.8,-22.11,28.88,-21.61,6.23,112.34,0.0,,,,,
2015-06-25,-11.83,3.4,-15.23,46.15,8.63,6.23,112.34,0.0,,,,,
2015-08-21,-15.52,-2.77,-12.75,52.37,-37.79,6.23,112.34,0.0,,,,,
2015-10-19,-4.0,0.19,-4.19,73.85,24.92,6.23,112.34,0.0,,,,,
2015-12-15,68.82,0.99,67.83,100.0,33.94,67.83,112.34,-0.0,,,,,
2016-02-12,38.64,-8.03,46.67,77.41,-13.92,70.1,112.34,0.011338401059284317,,,,,
2016-04-12,52.49,1.51,50.98,81.57,0.97,70.1,112.34,0.02678295646400808,,,,,
2016-06-08,107.05,4.64,102.41,98.61,9.84,104.33,112.34,0.0037318047890332936,,,,,
2016-08-04,103.96,6.55,97.41,64.31,-12.89,170.12,112.34,0.16590457105661383,,,,,
2016-09-30,114.13,6.55,107.58,69.3,6.65,170.12,112.34,0.19402706070856332,,,,,
2016-11-28,155.99,8.53,147.46,88.88,5.37,170.12,112.34,0.08782336092813488,,,,,
2017-01-26,215.77,12.65,203.12,74.05,-25.95,286.1,112.34,0.2558984961945879,,,,,
2017-03-24,218.9,14.65,204.25,67.9,-31.88,316.72,112.34,0.4152833919351966,,,,,
2017-05-22,630.41,17.16,613.25,100.0,2.87,613.25,112.34,0.0,,,,,
2017-07-19,653.78,20.55,633.23,76.61,-17.91,836.87,112.34,0.6081114582591537,,,,,
2017-09-14,931.69,21.78,909.91,62.39,-37.61,1478.77,112.34,1.5358133669366802,,,,,
2017-11-09,2202.86,25.33,2177.53,95.61,-4.39,2278.95,112.34,0.2737361105424011,,,,,
2018-01-09,4537.59,32.87,4504.72,75.39,-17.04,5986.32,112.34,2.9426794842294224,,,,,
2018-03-08,2774.46,32.18,2742.28,46.11,7.4,5986.32,112.34,8.72893616628835,,,,,
2018-05-04,2186.54,27.87,2158.67,36.42,1.74,5986.32,112.34,12.098823636950328,,,,,
2018-07-02,2024.8,30.25,1994.55,33.69,-0.85,5986.32,112.34,13.928942603703042,,,,,
2018-08-28,2031.16,38.61,1992.55,33.66,-0.78,5986.32,112.34,14.816027325826356,,,,,
2018-10-24,1970.65,26.38,1944.27,32.86,-0.02,5986.32,112.34,15.361008501646788,,,,,
2018-12-21,1716.06,14.29,1701.77,28.83,-0.49,5986.32,112.34,13.890333971611476,,,,,
2019-02-21,1697.44,31.47,1665.97,28.23,0.15,5986.32,112.34,12.458080358621151,,,,,
2019-04-18,2000.0,36.81,1963.19,33.17,5.08,5986.32,112.34,11.082476336678834,,,,,
2019-06-17,2989.26,36.1,2953.16,49.61,7.99,5986.32,112.34,8.638877291740847,,,,,
2019-08-13,3343.63,37.04,3306.59,55.49,5.62,5986.32,112.34,8.503118481655392,,,,,
2019-10-09,2735.02,35.98,2699.04,45.39,-6.73,5986.32,112.34,11.271660690611833,,,,,
2019-12-05,2374.39,45.14,2329.25,39.25,-8.85,5986.32,112.34,13.284384847338437,,,,,
2020-02-04,2388.7,52.49,2336.21,39.37,0.42,5986.32,112.34,13.853420021474985,,,,,
2020-04-01,1845.23,13.74,1831.49,30.98,-5.94,5986.32,112.34,16.11077877247641,,,,,
2020-05-29,2370.71,40.47,2330.24,39.27,2.13,5986.32,112.34,13.906629859429707,,,,,
2020-07-27,2632.97,48.57,2584.4,43.49,5.3,5986.32,112.34,12.095708369607141,,,,,
2020-09-22,2517.96,51.8,2466.16,41.52,-3.99,5986.32,112.34,12.187415194647201,,,,,
2020-11-17,3790.07,64.37,3725.7,62.45,17.04,5986.32,112.34,7.968080446449764,,,,,
2021-01-15,7219.04,70.52,7148.52,90.93,17.83,7865.26,112.34,2.285071241135539,,,,,
2021-03-16,10712.76,78.86,10633.9,98.34,-1.66,10814.02,112.34,0.5786720374161758,,,,,
2021-05-12,9237.11,82.17,9154.94,77.92,-21.49,11758.15,112.34,10.456157632188,,,,,
2021-07-09,6447.12,94.62,6352.5,54.16,-4.68,11758.15,112.34,24.88846633434218,,,,,
2021-09-03,9185.1,101.38,9083.72,77.32,10.17,11758.15,112.34,14.025446305412144,,,,,
2021-11-01,10965.28,103.4,10861.88,92.2,16.54,11784.07,112.34,5.58284019271853,,,,,
2021-12-29,8425.47,110.49,8314.98,69.48,-15.51,11981.96,112.34,24.02963101314462,,,,,
2022-02-25,6642.57,91.86,6550.71,54.8,0.23,11981.96,112.34,34.52377176873776,,,,,
2022-04-25,6632.59,86.8,6545.79,54.76,0.11,11981.96,112.34,31.842590532312627,,,,,
2022-06-22,4006.91,63.12,3943.79,33.1,-9.93,11981.96,112.34,45.390710577265445,,,,,
2022-08-18,4376.91,84.98,4291.93,36.0,-0.24,11981.96,112.34,40.08960251617115,,,,,
2022-10-14,3822.93,53.85,3769.08,31.65,-0.67,11981.96,112.34,37.184547472145574,,,,,
2022-12-12,3536.32,70.93,3465.39,29.12,0.03,11981.96,112.34,32.01468041243844,,,,,
