Date,rate_ABBV_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,30.27,0.0
2019-03-01,-1.93,4.45,-6.38,22.58,-3.19
2019-04-29,-1.72,7.58,-9.3,19.06,-3.59
2019-06-25,-16.9,7.2,-24.1,1.22,-18.91
2019-08-21,-14.99,7.24,-22.23,3.47,2.66
2019-10-17,-7.08,8.87,-15.95,11.04,4.89
2019-12-13,6.12,13.19,-7.07,21.75,-1.97
2020-02-12,16.47,18.03,-1.56,28.39,9.14
2020-04-09,-2.29,3.89,-6.18,22.82,-7.71
2020-06-08,13.14,14.68,-1.54,28.41,4.42
2020-08-04,12.83,16.26,-3.43,26.13,-11.04
2020-09-30,5.86,17.41,-11.55,16.35,-0.71
2020-11-25,23.14,24.05,-0.91,29.17,19.35
2021-01-26,27.92,29.15,-1.23,28.78,2.66
2021-03-24,21.95,30.35,-8.4,20.14,-6.21
2021-05-20,36.56,36.67,-0.11,30.14,7.98
2021-07-19,34.81,38.99,-4.18,25.23,0.42
2021-09-14,25.51,43.6,-18.09,8.46,-14.17
2021-11-09,35.0,49.14,-14.14,13.22,-0.88
2022-01-06,55.41,49.24,6.17,37.7,17.24
2022-03-07,70.2,37.68,32.52,69.47,19.46
2022-05-03,70.35,36.93,33.42,70.55,-3.79
2022-06-30,74.06,27.61,46.45,86.26,18.24
2022-08-26,56.57,34.27,22.3,57.15,-7.01
2022-10-24,71.7,27.92,43.78,83.04,8.46
2022-12-20,81.77,28.33,53.44,94.68,8.43
2023-02-17,72.13,34.71,37.42,75.37,-1.14
2023-04-18,80.74,36.36,44.38,83.76,-1.12
2023-06-14,56.45,41.83,14.62,47.89,-16.57
2023-08-11,73.04,43.86,29.18,65.44,21.33
2023-10-09,69.84,40.69,29.15,65.41,4.75
2023-12-05,65.12,46.52,18.6,52.69,-1.87
2024-02-02,90.19,55.53,34.66,72.05,1.26
2024-04-02,102.69,61.42,41.27,80.01,2.66
2024-05-29,75.75,63.18,12.57,45.42,-16.83
2024-07-26,107.34,67.5,39.84,78.29,21.38
