Date,rate_UBER_5D,rate_VOO_20D
2019-05,0.0,0.0
2019-06,7.8574,2.7986
2019-07,-2.773,3.2015
2019-08,-19.8272,1.1568
2019-09,-21.7382,2.9086
2019-10,-15.7919,4.5049
2019-11,-19.0059,7.4629
2019-12,-16.3158,9.611
2020-01,3.5337,8.5572
2020-02,-7.2234,-1.2278
2020-03,-12.9704,-11.1117
2020-04,-1.4391,1.8222
2020-05,18.8903,6.6216
2020-06,0.4504,8.0568
2020-07,-7.6085,13.6639
2020-08,2.5595,20.5756
2020-09,10.9426,15.0355
2020-10,1.7762,11.2849
2020-11,33.4076,19.152
2020-12,35.2434,22.5505
2021-01,27.488,19.8652
2021-02,18.737,18.5808
2021-03,23.6814,23.0233
2021-04,23.1016,28.4511
2021-05,13.813,25.2494
2021-06,11.6925,27.0985
2021-07,-3.5477,29.1591
2021-08,-12.8928,31.8501
2021-09,0.0242,24.733
2021-10,-2.3263,32.5069
2021-11,-14.803,30.4398
2021-12,-5.488,31.7823
2022-01,-15.6839,23.9753
2022-02,-22.0068,17.9224
2022-03,-23.2144,21.3359
2022-04,-31.2501,14.1093
2022-05,-37.3835,16.3057
2022-06,-47.8463,2.8898
2022-07,-39.0015,12.1914
2022-08,-25.6474,9.7397
2022-09,-29.3534,5.7121
2022-10,-31.3835,10.0114
2022-11,-26.5952,15.8341
2022-12,-30.3146,10.2227
2023-01,-14.9691,15.4073
2023-02,-6.805,12.3587
2023-03,-7.9275,15.1614
2023-04,-11.4594,16.6535
2023-05,3.8748,16.849
2023-06,11.2636,24.0598
2023-07,23.3865,27.6352
2023-08,15.8551,23.9573
2023-09,9.7644,17.6472
2023-10,1.018,14.7662
2023-11,28.8131,24.901
2023-12,40.2606,30.1319
2024-01,44.6411,28.1755
2024-02,75.187,34.2977
2024-03,70.147,38.0724
2024-04,60.4165,33.1393
2024-05,47.2096,36.9291
2024-06,64.8875,41.1606
2024-07,47.5452,39.9347
2024-08,58.5616,43.1843
2024-09,57.5931,40.7804
2024-10,50.4534,38.8515
2024-11,47.2645,42.1669
2024-12,27.1831,37.5279
2025-01,40.4268,38.1027
2025-02,56.8833,35.4419
2025-03,48.7495,31.0619
2025-04,42.674,22.5416
