Date,rate_GIS_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Mean_Relative_Divergence_240,Percentile_90_Relative_Divergence_240,Difference_Percentile_vs_Mean,Rolling_Divergence_480
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
2015-03-03,1.55,4.16,-2.61,19.16,-6.73,4.48,,0.0,,,,,,,
2015-04-29,5.45,3.8,1.65,59.16,-40.84,5.75,,0.0019275471604938274,,,,,,,
2015-06-25,7.07,3.4,3.67,79.28,16.83,5.75,,0.002042546776859504,,,,,,,
2015-08-21,6.35,-2.77,9.12,93.84,9.39,10.0,,0.0014648556521739122,,,,,,,
2015-10-19,7.11,0.19,6.92,62.56,-25.67,13.63,,0.014657853134328356,,,,,,,
2015-12-15,10.47,0.99,9.48,76.84,16.29,13.63,,0.010166182904564317,,,,,,,
2016-02-12,7.21,-8.03,15.24,99.29,20.33,15.38,,0.000374276120996438,,,,,,,
2016-04-12,19.28,1.51,17.77,86.54,-3.35,21.2,,0.008902804610591895,,,,,,,
2016-06-08,20.77,4.64,16.13,80.11,-3.1,21.2,,0.015006206094182826,,,,,,,
2016-08-04,31.58,6.55,25.03,79.83,-17.61,32.44,,0.018854423067331674,,,,,,,
2016-09-30,19.01,6.55,12.46,45.6,-30.41,32.44,,0.05644721632653061,,,,,,,
2016-11-28,15.38,8.53,6.85,30.33,-8.93,32.44,1.413268992004139,0.0716403546875,,,,,,,
2017-01-26,16.29,12.65,3.64,21.59,-1.72,32.44,1.4206637506054038,0.08357509539583333,,,,,,,
2017-03-24,9.52,14.65,-5.13,1.47,-6.75,32.44,1.4944528515711857,0.0,,,,,,,
2017-05-22,4.88,17.16,-12.28,3.12,2.37,32.44,1.6231115018974536,0.0,,,,,,,
2017-07-19,-0.47,20.55,-21.02,0.0,-0.17,32.44,1.785582034282984,0.0,,,,,,,
2017-09-14,1.72,21.78,-20.06,3.95,-9.05,32.44,1.9892647283133715,0.0,,,,,,,
2017-11-09,-4.26,25.33,-29.59,5.24,2.61,32.44,2.229364211254637,0.0,,,,,,,
2018-01-09,9.56,32.87,-23.31,14.83,3.28,32.44,2.572995913624617,0.0,,,,,,,
2018-03-08,-4.5,32.18,-36.68,3.67,-3.43,32.44,2.9057180338445807,0.0,,,,,,,
2018-05-04,-21.39,27.87,-49.26,0.0,-7.49,32.44,3.6233375114141007,0.0,,,,,,,
2018-07-02,-20.15,30.25,-50.4,4.88,3.46,32.44,2.7502318454325745,0.0,,,,,,,
2018-08-28,-18.22,38.61,-56.83,0.0,-4.59,32.44,2.9015804156691023,0.0,,,,,,,
2018-10-24,-18.76,26.38,-45.14,16.82,15.81,32.44,2.8020218715765606,0.0,,,,,,,
2018-12-21,-27.21,14.29,-41.5,20.72,5.76,32.44,2.6749876430482242,0.0,,,,,,,
2019-02-21,-14.94,31.47,-46.41,15.46,-2.23,32.44,2.544006906806082,0.0,,,,,,,
2019-04-18,-7.74,36.81,-44.55,17.45,0.26,32.44,2.2741164990878624,0.0,,,,,,,
2019-06-17,-5.75,36.1,-41.85,20.35,-0.57,32.44,2.0341751139052735,0.0,,,,,,,
2019-08-13,-3.61,37.04,-40.65,21.64,6.36,32.44,1.9459182321952724,0.0,,,,,,,
2019-10-09,-3.9,35.98,-39.88,22.46,4.57,32.44,1.8561347875763008,0.0,,,,,,,
2019-12-05,-4.2,45.14,-49.34,12.32,0.17,32.44,1.880300866704222,0.0,,,,,,,
2020-02-04,-6.16,52.49,-58.65,2.34,-2.44,32.44,1.910194862356715,0.0,,,,,,,
2020-04-01,-5.23,13.74,-18.97,45.65,31.06,32.44,1.7087754276182674,0.0,,,,,,,
2020-05-29,9.71,40.47,-30.76,33.19,-1.5,32.44,2.132754952364839,0.0,,,,,,,
2020-07-27,11.18,48.57,-37.39,26.18,-2.49,32.44,1.88901736007782,0.0,,,,,,,
2020-09-22,1.83,51.8,-49.97,12.88,-4.05,32.44,1.782078283506402,0.0,,,,,,,
2020-11-17,6.72,64.37,-57.65,4.76,-7.79,32.44,1.7754075960785878,0.0,,,,,,,
2021-01-15,-0.97,70.52,-71.49,3.89,3.89,32.44,1.8940456085065434,0.0,,,,,,,
2021-03-16,3.8,78.86,-75.06,3.69,3.69,32.44,2.023544413210374,0.0,,,,,,,
2021-05-12,9.16,82.17,-73.01,8.31,7.65,32.44,2.1991616810745604,0.0,,,,,,,
2021-07-09,4.12,94.62,-90.5,0.0,-1.1,32.44,2.4121044995358982,0.0,,,,,,,
2021-09-03,1.15,101.38,-100.23,0.34,0.25,32.44,2.738605514099014,0.0,,,,,,,
2021-11-01,7.95,103.4,-95.45,4.14,-9.07,32.44,2.8454460892444255,0.0,,,,,,,
2021-12-29,15.11,110.49,-95.38,4.19,-0.8,32.44,2.8558137549879445,0.0,,,,,,,
2022-02-25,16.41,91.86,-75.45,19.13,-2.18,32.44,2.6115420603060584,0.0,,,,,,,
2022-04-25,22.64,86.8,-64.16,27.59,13.75,32.44,2.4712833384655943,0.0,,,,,,,
2022-06-22,15.89,63.12,-47.23,40.28,7.54,32.44,2.481448830004283,0.0,,,,,,,
2022-08-18,30.21,84.98,-54.77,34.63,-4.29,32.44,3.0476603134723947,0.0,,,,,,,
2022-10-14,30.21,53.85,-23.64,57.96,12.46,32.44,2.7770017083485037,0.0,,,,,,,
2022-12-12,43.66,70.93,-27.27,55.24,10.83,32.44,2.602914535001174,0.0,,,,,,,
2023-02-09,25.73,73.66,-47.93,39.76,-13.43,32.44,2.3092958021583323,0.0,,,,,,,
2023-04-10,42.18,73.97,-31.79,51.86,1.47,32.44,2.0035318550944528,0.0,,,,,,,
2023-06-06,37.88,81.01,-43.13,43.36,-11.6,32.44,1.7749044976153852,0.0,,,,,,,
2023-08-03,23.69,88.91,-65.22,26.8,-4.85,32.44,1.6402028655726324,0.0,,,,,,,
2023-09-29,7.81,79.47,-71.66,21.97,3.4,32.44,1.5830737640941897,0.0,,,,,,,
2023-11-27,7.11,90.05,-82.94,13.51,-15.46,32.44,1.5247709000403058,0.0,,,,,,,
2024-01-25,8.35,103.14,-94.79,4.63,-3.83,32.44,1.5408947785494387,0.0,,,,,,,
2024-03-22,15.23,115.96,-100.73,3.32,2.05,32.44,1.6001417635728303,0.0,,,,,,,
2024-05-20,18.57,118.46,-99.89,3.93,-8.56,32.44,1.7130349872240405,0.0,,,,,,,
2024-07-18,9.59,126.6,-117.01,5.62,5.62,32.44,1.911919623175627,0.0,,,,,,,
2024-09-13,21.74,129.28,-107.54,11.6,2.72,32.44,2.1104835063688037,0.0,,,,,,,
2024-10-11,17.28,135.82,-118.54,4.65,-6.95,32.44,2.206381305569351,0.0,71.07,69.22,67.44,23.869854166666663,52.666000000000004,28.79614583333334,-73.57229166666667
