Date,rate_ES_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Mean_Relative_Divergence_240,Percentile_90_Relative_Divergence_240,Difference_Percentile_vs_Mean,Rolling_Divergence_480
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
2015-03-03,-5.92,4.16,-10.08,6.65,-86.85,5.08,,0.0,,,,,,,
2015-04-29,-6.96,3.8,-10.76,6.99,-17.2,5.08,,0.0,,,,,,,
2015-06-25,-15.18,3.4,-18.58,1.78,-4.64,5.08,,0.0,,,,,,,
2015-08-21,-4.66,-2.77,-1.89,71.07,51.56,5.08,,0.0,,,,,,,
2015-10-19,-2.72,0.19,-2.91,66.83,20.67,5.08,,0.0,,,,,,,
2015-12-15,-6.87,0.99,-7.86,46.28,-8.35,5.08,,0.0,,,,,,,
2016-02-12,0.24,-8.03,8.27,89.06,-0.94,11.62,,-0.007596136441281137,,,,,,,
2016-04-12,6.05,1.51,4.54,76.89,-6.23,11.62,,-0.012067595638629285,,,,,,,
2016-06-08,5.31,4.64,0.67,64.25,-13.81,11.62,,-0.01563859487534626,,,,,,,
2016-08-04,7.54,6.55,0.99,65.3,-21.71,11.62,,-0.01225134987531172,,,,,,,
2016-09-30,1.11,6.55,-5.44,44.3,4.96,11.62,,0.0,,,,,,,
2016-11-28,0.48,8.53,-8.05,35.78,-15.05,11.62,1.7664639921704839,0.0,,,,,,,
2017-01-26,1.76,12.65,-10.89,26.51,-9.96,11.62,1.7774079810761887,0.0,,,,,,,
2017-03-24,11.89,14.65,-2.76,53.05,10.84,11.62,1.71013881480195,0.0,,,,,,,
2017-05-22,13.08,17.16,-4.08,48.74,0.62,11.62,1.5969504227457931,0.0,,,,,,,
2017-07-19,12.73,20.55,-7.82,36.53,-17.63,11.62,1.5504664130843098,0.0,,,,,,,
2017-09-14,16.91,21.78,-4.87,46.16,-3.5,11.62,1.568836907240272,0.0,,,,,,,
2017-11-09,19.7,25.33,-5.63,43.68,12.73,11.62,1.6088890998277001,0.0,,,,,,,
2018-01-09,14.07,32.87,-18.8,0.69,-34.86,11.62,1.6348918503623247,0.0,,,,,,,
2018-03-08,4.89,32.18,-27.29,1.17,-0.74,11.62,1.6201570553185045,0.0,,,,,,,
2018-05-04,8.76,27.87,-19.11,24.53,-9.9,11.62,1.488530747686214,0.0,,,,,,,
2018-07-02,8.64,30.25,-21.61,30.63,30.63,11.62,1.5712277708941607,0.0,,,,,,,
2018-08-28,13.74,38.61,-24.87,23.82,-3.97,11.62,1.6365486098172648,0.0,,,,,,,
2018-10-24,19.1,26.38,-7.28,60.54,42.67,11.62,1.6697012543513672,0.0,,,,,,,
2018-12-21,21.75,14.29,7.46,91.32,24.43,11.62,1.621667470268824,-0.011774221083333343,,,,,,,
2019-02-21,28.87,31.47,-2.6,70.31,-5.54,11.62,1.9264889339329536,0.0,,,,,,,
2019-04-18,27.46,36.81,-9.35,56.22,-8.6,11.62,1.8642128922830035,0.0,,,,,,,
2019-06-17,38.91,36.1,2.81,81.61,7.73,11.62,1.8359742689911098,-0.0235873205,,,,,,,
2019-08-13,40.96,37.04,3.92,83.92,10.14,11.62,1.8280024625665692,-0.019908647999999994,,,,,,,
2019-10-09,55.09,35.98,19.11,100.0,7.77,19.11,1.8314273888025885,-0.0,,,,,,,
2019-12-05,47.4,45.14,2.26,69.58,-1.68,19.11,1.7459625973269943,-0.02831423887500001,,,,,,,
2020-02-04,61.81,52.49,9.32,82.33,18.78,19.11,1.5808594809064171,-0.012521551000000002,,,,,,,
2020-04-01,35.17,13.74,21.43,72.92,-27.08,42.86,1.4887144798919008,-0.009936103333333333,,,,,,,
2020-05-29,48.59,40.47,8.12,56.1,-1.38,42.86,1.3898830533860733,-0.0007167589583333331,,,,,,,
2020-07-27,56.82,48.57,8.25,56.27,2.69,42.86,1.343891018684214,0.010230997916666665,,,,,,,
2020-09-22,39.06,51.8,-12.74,29.74,-8.75,42.86,1.325843857614449,0.0,,,,,,,
2020-11-17,60.85,64.37,-3.52,41.39,-11.12,42.86,1.3524988709851824,0.0,,,,,,,
2021-01-15,54.65,70.52,-15.87,25.79,3.75,42.86,1.4336496109217385,0.0,,,,,,,
2021-03-16,43.91,78.86,-34.95,3.97,-2.11,42.86,1.539351267720998,0.0,,,,,,,
2021-05-12,43.29,82.17,-38.88,5.83,-1.45,42.86,1.6935678582928562,0.0,,,,,,,
2021-07-09,42.75,94.62,-51.87,2.63,-1.48,42.86,1.911349330073375,0.0,,,,,,,
2021-09-03,58.28,101.38,-43.1,11.65,0.77,42.86,1.9830647972374849,0.0,,,,,,,
2021-11-01,45.33,103.4,-58.07,0.0,-12.95,42.86,2.2158538397718623,0.0,,,,,,,
2021-12-29,55.12,110.49,-55.37,9.76,4.61,42.86,2.4097807989971805,0.0,,,,,,,
2022-02-25,39.54,91.86,-52.32,12.57,-8.48,42.86,2.263755097114581,0.0,,,,,,,
2022-04-25,54.17,86.8,-32.63,30.65,16.25,42.86,2.5204726706866367,0.0,,,,,,,
2022-06-22,36.48,63.12,-26.64,36.16,-8.19,42.86,2.3272459945079897,0.0,,,,,,,
2022-08-18,58.6,84.98,-26.38,36.4,5.47,42.86,2.159451944014504,0.0,,,,,,,
2022-10-14,22.09,53.85,-31.76,31.45,-13.3,42.86,2.166578877309327,0.0,,,,,,,
2022-12-12,43.82,70.93,-27.11,35.72,11.67,42.86,2.1380311133210887,0.0,,,,,,,
2023-02-09,30.83,73.66,-42.83,21.28,-16.1,42.86,1.9754468545257935,0.0,,,,,,,
2023-04-10,34.34,73.97,-39.63,24.22,2.61,42.86,1.8546467499142738,0.0,,,,,,,
2023-06-06,16.66,81.01,-64.35,1.52,-16.03,42.86,1.7681978720707914,0.0,,,,,,,
2023-08-03,13.36,88.91,-75.55,0.0,-2.43,42.86,1.8268356620964274,0.0,,,,,,,
2023-09-29,-3.25,79.47,-82.72,2.98,2.98,42.86,1.852576807767947,0.0,,,,,,,
2023-11-27,-1.69,90.05,-91.74,2.89,-2.6,42.86,1.886576453263075,0.0,,,,,,,
2024-01-25,-8.68,103.14,-111.82,1.26,1.09,42.86,1.9815743325017905,0.0,,,,,,,
2024-03-22,-3.59,115.96,-119.55,0.59,-2.15,42.86,2.150310629758141,0.0,,,,,,,
2024-05-20,1.22,118.46,-117.24,2.32,-6.9,42.86,2.4289466326976616,0.0,,,,,,,
2024-07-18,2.26,126.6,-124.34,5.11,5.11,42.86,2.8467354040635553,0.0,,,,,,,
2024-09-13,13.11,129.28,-116.17,9.74,1.18,42.86,2.671580462067311,0.0,,,,,,,
2024-10-11,6.15,135.82,-129.67,2.08,-7.66,42.86,2.7528605767656322,0.0,65.96,62.6,60.37,9.542437500000002,26.269000000000002,16.7265625,-83.39191666666667
