Date,rate_FMC_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,67.52,0.0
2019-03-01,9.96,4.45,5.51,71.45,5.41
2019-04-29,10.98,7.58,3.4,69.95,0.16
2019-06-25,14.84,7.2,7.64,72.97,7.28
2019-08-21,19.02,7.24,11.78,75.93,1.85
2019-10-17,16.93,8.87,8.06,73.27,-4.68
2019-12-13,34.47,13.19,21.28,82.7,0.66
2020-02-12,43.91,18.03,25.88,85.98,5.86
2020-04-09,22.54,3.89,18.65,80.82,6.23
2020-06-08,41.5,14.68,26.82,86.65,5.03
2020-08-04,45.34,16.26,29.08,88.26,2.49
2020-09-30,43.22,17.41,25.81,85.93,-0.9
2020-11-25,57.22,24.05,33.17,91.18,7.19
2021-01-26,48.95,29.15,19.8,81.64,-6.34
2021-03-24,47.9,30.35,17.55,80.04,4.71
2021-05-20,56.75,36.67,20.08,81.84,2.14
2021-07-19,39.58,38.99,0.59,67.95,-9.73
2021-09-14,31.44,43.6,-12.16,58.85,4.22
2021-11-09,44.62,49.14,-4.52,64.3,12.04
2022-01-06,45.81,49.24,-3.43,65.08,-0.51
2022-03-07,60.12,37.68,22.44,83.53,13.04
2022-05-03,66.09,36.93,29.16,88.32,-1.19
2022-06-30,44.65,27.61,17.04,79.68,-8.13
2022-08-26,53.63,34.27,19.36,81.33,3.77
2022-10-24,55.95,27.92,28.03,87.51,9.33
2022-12-20,66.96,28.33,38.63,95.07,-0.46
2023-02-17,72.2,34.71,37.49,94.26,-1.95
2023-04-18,67.63,36.36,31.27,89.82,2.17
2023-06-14,41.44,41.83,-0.39,67.25,-8.05
2023-08-11,21.31,43.86,-22.55,51.44,-5.1
2023-10-09,-12.11,40.69,-52.8,29.87,-7.0
2023-12-05,-24.55,46.52,-71.07,16.84,-5.1
2024-02-02,-14.61,55.53,-70.14,17.51,-3.53
2024-04-02,-16.02,61.42,-77.44,12.3,0.3
2024-05-29,-15.81,63.18,-78.99,11.2,-2.74
2024-07-26,-16.98,67.5,-84.48,7.28,2.99
