Date,rate_MMM_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,97.51,0.0
2019-03-01,4.96,4.45,0.51,98.01,-0.2
2019-04-29,-0.67,7.58,-8.25,89.5,-8.17
2019-06-25,-6.06,7.2,-13.26,84.63,0.88
2019-08-21,-10.79,7.24,-18.03,79.99,-5.65
2019-10-17,-9.75,8.87,-18.62,79.42,-1.05
2019-12-13,-7.47,13.19,-20.66,77.44,-2.7
2020-02-12,-9.64,18.03,-27.67,70.62,-9.75
2020-04-09,-16.6,3.89,-20.49,77.6,-1.37
2020-06-08,-8.3,14.68,-22.98,75.18,0.59
2020-08-04,-15.11,16.26,-31.37,67.03,-5.31
2020-09-30,-11.21,17.41,-28.62,69.7,2.17
2020-11-25,-3.85,24.05,-27.9,70.4,-0.52
2021-01-26,-4.36,29.15,-33.51,64.95,-2.85
2021-03-24,2.05,30.35,-28.3,70.01,6.21
2021-05-20,6.82,36.67,-29.85,68.51,-0.38
2021-07-19,5.04,38.99,-33.95,64.52,0.53
2021-09-14,-1.54,43.6,-45.14,53.65,-7.76
2021-11-09,-2.02,49.14,-51.16,47.8,-5.37
2022-01-06,-3.47,49.24,-52.71,46.29,1.23
2022-03-07,-18.56,37.68,-56.24,42.86,-0.59
2022-05-03,-16.47,36.93,-53.4,45.62,8.76
2022-06-30,-24.59,27.61,-52.2,46.79,0.3
2022-08-26,-24.71,34.27,-58.98,40.2,-4.37
2022-10-24,-29.39,27.92,-57.31,41.82,-0.69
2022-12-20,-28.33,28.33,-56.66,42.45,0.41
2023-02-17,-31.73,34.71,-66.44,32.95,-5.89
2023-04-18,-34.65,36.36,-71.01,28.51,-3.58
2023-06-14,-36.53,41.83,-78.36,21.37,-4.57
2023-08-11,-35.4,43.86,-79.26,20.49,1.8
2023-10-09,-42.14,40.69,-82.83,17.02,-4.2
2023-12-05,-34.94,46.52,-81.46,18.36,-0.59
2024-02-02,-38.65,55.53,-94.18,6.0,-13.3
2024-04-02,-29.86,61.42,-91.28,8.81,8.81
2024-05-29,-26.79,63.18,-89.97,10.09,-4.95
2024-07-26,-7.55,67.5,-75.05,24.58,16.05
