Date,rate_PEG_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,80.85,0.0
2019-03-01,11.76,4.45,7.31,94.13,9.54
2019-04-29,10.84,7.58,3.26,86.77,-7.05
2019-06-25,13.27,7.2,6.07,91.88,-4.41
2019-08-21,11.12,7.24,3.88,87.9,2.31
2019-10-17,16.5,8.87,7.63,94.71,1.83
2019-12-13,10.58,13.19,-2.61,76.11,-9.66
2020-02-12,10.01,18.03,-8.02,66.28,-4.85
2020-04-09,2.74,3.89,-1.15,78.76,14.82
2020-06-08,7.38,14.68,-7.3,67.59,8.85
2020-08-04,7.65,16.26,-8.61,65.21,10.63
2020-09-30,6.31,17.41,-11.1,60.68,20.65
2020-11-25,15.52,24.05,-8.53,65.35,-11.38
2021-01-26,12.53,29.15,-16.62,50.65,-2.55
2021-03-24,13.22,30.35,-17.13,49.73,10.09
2021-05-20,20.27,36.67,-16.4,51.05,-2.42
2021-07-19,15.92,38.99,-23.07,38.94,-0.89
2021-09-14,20.25,43.6,-23.35,38.43,-6.23
2021-11-09,19.5,49.14,-29.64,27.0,-5.56
2022-01-06,26.29,49.24,-22.95,39.15,7.3
2022-03-07,29.6,37.68,-8.08,66.17,16.24
2022-05-03,31.04,36.93,-5.89,70.15,11.61
2022-06-30,21.54,27.61,-6.07,69.82,-1.95
2022-08-26,27.75,34.27,-6.52,69.0,6.34
2022-10-24,6.87,27.92,-21.05,42.61,-24.0
2022-12-20,14.13,28.33,-14.2,55.05,10.65
2023-02-17,19.63,34.71,-15.08,53.45,1.0
2023-04-18,22.5,36.36,-13.86,55.67,6.61
2023-06-14,19.08,41.83,-22.75,39.52,-11.08
2023-08-11,17.15,43.86,-26.71,32.32,-8.23
2023-10-09,12.68,40.69,-28.01,29.96,-0.87
2023-12-05,20.3,46.52,-26.22,33.21,-10.58
2024-02-02,12.29,55.53,-43.24,2.29,-23.62
2024-04-02,27.25,61.42,-34.17,18.77,7.25
2024-05-29,39.59,63.18,-23.59,37.99,3.09
2024-07-26,44.71,67.5,-22.79,39.44,11.22
