Date,rate_C_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,88.74,0.0
2019-03-01,0.61,4.45,-3.84,84.38,-2.42
2019-04-29,10.0,7.58,2.42,91.49,11.27
2019-06-25,3.57,7.2,-3.63,84.61,1.2
2019-08-21,-1.13,7.24,-8.37,79.23,-13.44
2019-10-17,7.95,8.87,-0.92,87.69,0.29
2019-12-13,17.66,13.19,4.47,93.82,2.05
2020-02-12,21.86,18.03,3.83,93.09,-6.91
2020-04-09,-23.78,3.89,-27.67,57.3,-1.87
2020-06-08,-4.0,14.68,-18.68,67.51,15.86
2020-08-04,-19.88,16.26,-36.14,47.67,-4.73
2020-09-30,-29.93,17.41,-47.34,34.94,-8.32
2020-11-25,-9.98,24.05,-34.03,50.07,16.1
2021-01-26,-4.48,29.15,-33.63,50.52,-3.49
2021-03-24,8.64,30.35,-21.71,64.07,3.22
2021-05-20,17.39,36.67,-19.28,66.83,9.57
2021-07-19,1.49,38.99,-37.5,46.13,-6.42
2021-09-14,6.78,43.6,-36.82,46.9,-4.65
2021-11-09,5.65,49.14,-43.49,39.32,-13.45
2022-01-06,1.24,49.24,-48.0,34.19,4.45
2022-03-07,-12.14,37.68,-49.82,32.12,-9.18
2022-05-03,-19.93,36.93,-56.86,24.13,6.58
2022-06-30,-25.81,27.61,-53.42,28.03,-1.65
2022-08-26,-20.39,34.27,-54.66,26.63,-1.59
2022-10-24,-28.07,27.92,-55.99,25.11,-1.16
2022-12-20,-28.93,28.33,-57.26,23.67,-4.39
2023-02-17,-18.05,34.71,-52.76,28.78,-2.57
2023-04-18,-19.96,36.36,-56.32,24.74,4.59
2023-06-14,-22.59,41.83,-64.42,15.53,-2.47
2023-08-11,-27.84,43.86,-71.7,7.26,-0.91
2023-10-09,-33.32,40.69,-74.01,4.64,4.64
2023-12-05,-24.8,46.52,-71.32,7.69,1.83
2024-02-02,-12.16,55.53,-67.69,11.82,-4.46
2024-04-02,-1.72,61.42,-63.14,16.99,9.09
2024-05-29,-2.9,63.18,-66.08,13.65,-5.46
2024-07-26,1.63,67.5,-65.87,13.89,6.95
