Date,rate_APD_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,52.46,0.0
2019-03-01,8.18,4.45,3.73,57.08,4.43
2019-04-29,17.34,7.58,9.76,64.56,2.78
2019-06-25,25.58,7.2,18.38,75.25,7.31
2019-08-21,27.11,7.24,19.87,77.1,4.47
2019-10-17,21.55,8.87,12.68,68.18,-3.26
2019-12-13,27.93,13.19,14.74,70.73,-5.89
2020-02-12,37.04,18.03,19.01,76.03,6.5
2020-04-09,23.48,3.89,19.59,76.75,5.87
2020-06-08,35.28,14.68,20.6,78.0,-1.37
2020-08-04,46.98,16.26,30.72,90.55,2.16
2020-09-30,54.11,17.41,36.7,97.97,2.92
2020-11-25,46.41,24.05,22.36,80.18,-8.2
2021-01-26,46.36,29.15,17.21,73.8,0.26
2021-03-24,46.37,30.35,16.02,72.32,8.01
2021-05-20,53.8,36.67,17.13,73.7,5.07
2021-07-19,47.96,38.99,8.97,63.58,-7.66
2021-09-14,42.8,43.6,-0.8,51.46,-5.32
2021-11-09,60.34,49.14,11.2,66.34,10.05
2022-01-06,54.17,49.24,4.93,58.57,1.65
2022-03-07,24.33,37.68,-13.35,35.9,-11.45
2022-05-03,31.19,36.93,-5.74,45.34,5.41
2022-06-30,31.73,27.61,4.12,57.56,8.08
2022-08-26,38.49,34.27,4.22,57.69,6.66
2022-10-24,28.97,27.92,1.05,53.76,4.23
2022-12-20,64.65,28.33,36.32,97.5,14.61
2023-02-17,47.58,34.71,12.87,68.42,-19.3
2023-04-18,51.78,36.36,15.42,71.58,-0.08
2023-06-14,52.33,41.83,10.5,65.48,0.6
2023-08-11,52.3,43.86,8.44,62.92,-5.26
2023-10-09,49.95,40.69,9.26,63.94,-7.15
2023-12-05,38.38,46.52,-8.14,42.36,-25.15
2024-02-02,36.38,55.53,-19.15,28.71,-15.8
2024-04-02,26.85,61.42,-34.57,9.59,-1.03
2024-05-29,37.47,63.18,-25.71,20.57,8.24
2024-07-26,37.84,67.5,-29.66,15.67,-0.22
