Date,rate_KHC_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Mean_Relative_Divergence_240,Percentile_90_Relative_Divergence_240,Difference_Percentile_vs_Mean,Rolling_Divergence_480
2015-07-06,-0.25,0.0,-0.25,0.0,0.0,-0.25,,0.0,,,,,,,
2015-08-31,-4.8,-4.58,-0.22,40.88,-59.12,3.83,,0.0,,,,,,,
2015-10-27,1.23,-0.05,1.28,49.94,7.59,5.59,,0.0059324190123456804,,,,,,,
2015-12-23,-2.24,-0.42,-1.82,42.06,14.23,5.59,,0.0,,,,,,,
2016-02-23,-4.42,-7.08,2.66,61.09,-38.91,8.94,,0.0012690460248447203,,,,,,,
2016-04-20,2.22,1.69,0.53,47.89,-4.84,8.94,,0.004835341343283582,,,,,,,
2016-06-16,11.72,0.81,10.91,88.6,17.56,13.24,,0.002407197510373445,,,,,,,
2016-08-12,17.06,5.72,11.34,80.02,-1.98,15.97,,0.006790000355871888,,,,,,,
2016-10-10,15.39,4.48,10.91,78.16,-0.43,15.97,,0.00952394093457944,,,,,,,
2016-12-06,4.09,7.19,-3.1,17.7,-52.39,15.97,,0.0,,,,,,,
2017-02-03,15.96,10.75,5.21,53.56,8.67,15.97,,0.020930311122194515,,,,,,,
2017-04-03,17.97,13.4,4.57,50.8,4.4,15.97,,0.022386780952380954,,,,,,,
2017-05-31,19.31,16.24,3.07,44.32,12.21,15.97,1.4965677978962,0.024731663999999997,,,,,,,
2017-07-27,13.89,18.79,-4.9,18.19,2.87,15.97,1.5434368915340124,0.0,,,,,,,
2017-09-22,-0.02,19.54,-19.56,0.0,0.0,15.97,1.6351619823685304,0.0,,,,,,,
2017-11-17,2.69,23.33,-20.64,12.58,12.58,15.97,1.6775754347415965,0.0,,,,,,,
2018-01-18,2.19,33.28,-31.09,3.78,3.78,15.97,1.8367843733172031,0.0,,,,,,,
2018-03-16,-15.65,30.91,-46.56,0.0,0.0,15.97,2.0690398371012377,0.0,,,,,,,
2018-05-14,-24.47,29.34,-53.81,0.0,-2.11,15.97,2.403923073049018,0.0,,,,,,,
2018-07-11,-21.04,30.79,-51.83,6.55,5.35,15.97,2.8272226082927965,0.0,,,,,,,
2018-09-06,-26.69,35.71,-62.4,1.17,1.02,15.97,2.649799267792312,0.0,,,,,,,
2018-11-01,-26.9,28.26,-55.16,12.53,10.66,15.97,3.2052452825784474,0.0,,,,,,,
2019-01-02,-37.21,16.87,-54.08,13.86,8.88,15.97,3.6571406592561253,0.0,,,,,,,
2019-03-01,-43.52,30.82,-74.34,0.06,-5.83,15.97,3.4548428096997417,0.0,,,,,,,
2019-04-29,-42.67,36.76,-79.43,0.0,-1.13,15.97,2.3310349017344563,0.0,,,,,,,
2019-06-25,-44.01,35.55,-79.56,1.53,-2.87,15.97,2.672053217502241,0.0,,,,,,,
2019-08-21,-46.48,35.14,-81.62,1.39,0.93,15.97,2.679497237659994,0.0,,,,,,,
2019-10-17,-44.44,37.85,-82.29,1.21,1.21,15.97,2.716419282202105,0.0,,,,,,,
2019-12-13,-41.31,45.72,-87.03,0.75,0.75,15.97,2.7407997332987617,0.0,,,,,,,
2020-02-12,-42.72,54.48,-97.2,0.0,-1.0,15.97,2.839782047752287,0.0,,,,,,,
2020-04-09,-44.47,26.72,-71.19,25.7,-3.25,15.97,2.629463820926603,0.0,,,,,,,
2020-06-08,-36.18,47.1,-83.28,15.4,-6.71,15.97,3.491433724075744,0.0,,,,,,,
2020-08-04,-34.21,49.56,-83.77,14.98,-2.48,15.97,2.8811310225088365,0.0,,,,,,,
2020-09-30,-40.98,51.4,-92.38,7.64,2.08,15.97,2.763668713116069,0.0,,,,,,,
2020-11-25,-36.94,63.44,-100.38,0.82,-9.64,15.97,2.889036400239404,0.0,,,,,,,
2021-01-26,-33.94,72.34,-106.28,1.96,0.25,15.97,3.0747261719666112,0.0,,,,,,,
2021-03-24,-28.11,73.76,-101.87,6.12,2.27,15.97,2.944909402505782,0.0,,,,,,,
2021-05-20,-19.78,84.73,-104.51,5.5,3.73,15.97,2.931253208790845,0.0,,,,,,,
2021-07-19,-26.06,88.06,-114.12,4.07,2.31,15.97,2.937228425469301,0.0,,,,,,,
2021-09-14,-30.85,95.58,-126.43,3.08,3.0,15.97,2.985627853624525,0.0,,,,,,,
2021-11-09,-28.79,104.75,-133.54,0.64,-6.66,15.97,2.9069487976130195,0.0,,,,,,,
2022-01-06,-29.19,103.77,-132.96,4.6,4.6,15.97,2.8674513361793132,0.0,,,,,,,
2022-03-07,-23.74,81.55,-105.29,22.32,13.96,15.97,2.661112278279661,0.0,,,,,,,
2022-05-03,-20.02,79.27,-99.29,26.17,14.11,15.97,2.681453687753087,0.0,,,,,,,
2022-06-30,-26.49,61.92,-88.41,33.14,9.86,15.97,2.8746458329840574,0.0,,,,,,,
2022-08-26,-26.25,73.25,-99.5,26.03,3.54,15.97,2.9616710778433237,0.0,,,,,,,
2022-10-24,-28.44,61.1,-89.54,32.41,-0.71,15.97,2.7807901736281546,0.0,,,,,,,
2022-12-20,-22.96,61.15,-84.11,35.89,5.59,15.97,2.3792586561060016,0.0,,,,,,,
2023-02-17,-22.41,71.86,-94.27,29.38,-2.69,15.97,2.0946642720583974,0.0,,,,,,,
2023-04-18,-23.39,74.05,-97.44,27.35,-3.31,15.97,1.8366753850624824,0.0,,,,,,,
2023-06-14,-27.59,82.98,-110.57,18.94,-9.32,15.97,1.650026263415322,0.0,,,,,,,
2023-08-11,-30.7,85.69,-116.39,15.21,0.02,15.97,1.5518072946557242,0.0,,,,,,,
2023-10-09,-33.69,79.29,-112.98,17.4,3.53,15.97,1.4795945384767601,0.0,,,,,,,
2023-12-05,-27.93,88.66,-116.59,15.09,-2.62,15.97,1.4018101785797592,0.0,,,,,,,
2024-02-02,-24.74,103.41,-128.15,7.68,-6.95,15.97,1.4021754920388967,0.0,,,,,,,
2024-04-02,-25.22,112.55,-137.77,3.51,3.13,15.97,1.4813795104854781,0.0,,,,,,,
2024-05-29,-29.57,115.05,-144.62,0.56,-8.58,15.97,1.6242331382594106,0.0,,,,,,,
2024-07-26,-31.38,121.36,-152.74,5.06,5.06,15.97,1.7821746888715753,0.0,,,,,,,
2024-09-23,-29.48,131.25,-160.73,0.56,-2.6,15.97,1.9497549779790337,0.0,,,,,,,
2024-10-11,-28.51,133.98,-162.49,0.0,-3.36,15.97,2.035537258130918,0.0,34.89,34.72,35.33,15.18125,30.902,15.72075,-120.44722916666666
