Date,Period,rate,rate_vs
2025-10-01,3y,360.7629,35.5429
2025-11-01,3y,339.0404,37.1563
2025-12-01,3y,272.9763,35.6976
2026-01-01,3y,515.1033,35.3725
2026-02-01,3y,660.2216,36.3061
2026-03-01,3y,617.2193,34.2103
2026-03-11,3y,638.2606,31.3634
2021-04-26,max,0.0,0.0
2021-05-01,max,0.1019,-0.1754
2021-06-01,max,-1.1079,0.4508
2021-07-01,max,-0.6707,3.189
2021-08-01,max,-0.1228,4.2832
2021-09-01,max,0.0843,6.5718
2021-10-01,max,0.7625,1.6368
2021-11-01,max,3.0668,7.4673
2021-12-01,max,3.3763,4.3031
2022-01-01,max,-38.2662,9.7943
2022-02-01,max,-31.6784,3.7751
2022-03-01,max,-37.0264,-1.8055
2022-04-01,max,-34.7646,3.8969
2022-05-01,max,-39.0095,-5.7715
2022-06-01,max,-24.6934,-5.9161
2022-07-01,max,-43.1324,-11.7081
2022-08-01,max,-26.605,-4.0711
2022-09-01,max,-30.0336,-7.2445
2022-10-01,max,-22.9806,-15.6703
2022-11-01,max,-23.217,-8.31
2022-12-01,max,-16.3583,-2.4233
2023-01-01,max,-35.8026,-7.9276
2023-02-01,max,-25.7063,-0.6824
2023-03-01,max,-31.1969,-4.5383
2023-04-01,max,-38.507,0.3266
2023-05-01,max,-35.6877,1.8341
2023-06-01,max,-24.8189,3.3003
2023-07-01,max,-46.6163,8.8409
2023-08-01,max,-35.553,11.7453
2023-09-01,max,-41.9948,10.097
2023-10-01,max,-53.6203,4.3271
2023-11-01,max,-61.8851,3.0431
2023-12-01,max,-50.8177,11.8134
2024-01-01,max,-50.4836,15.8752
2024-02-01,max,-52.3053,18.8026
2024-03-01,max,-52.0912,23.9881
2024-04-01,max,-50.647,26.79
2024-05-01,max,-60.3264,20.7735
2024-06-01,max,-56.3973,26.6781
2024-07-01,max,-57.1334,31.7141
2024-08-01,max,-42.4448,30.3298
2024-09-01,max,-31.4776,34.5241
2024-10-01,max,-43.3483,36.1818
2024-11-01,max,-40.508,35.9063
2024-12-01,max,4.5871,42.4248
2025-01-01,max,7.4074,38.1819
2025-02-01,max,61.9281,41.0506
2025-03-01,max,21.6411,38.4017
2025-04-01,max,-10.027,30.3666
2025-05-01,max,-11.9276,29.1281
2025-06-01,max,1.2258,35.6575
2025-07-01,max,62.3413,41.8703
2025-08-01,max,61.6637,41.9771
2025-09-01,max,84.1316,46.5271
2025-10-01,max,254.5858,51.3691
2025-11-01,max,241.8226,53.4852
2025-12-01,max,193.5896,52.1586
2026-01-01,max,389.1091,52.0593
2026-02-01,max,510.8262,53.3505
2026-03-01,max,482.1505,51.2226
2026-03-11,max,505.0304,48.2015
