Date,Period,rate,rate_vs
2025-06-01,7y,76.4833,58.2967
2025-07-01,7y,87.5403,65.5655
2025-08-01,7y,75.9298,65.745
2025-09-01,7y,99.1782,71.1075
2025-10-01,7y,96.1833,76.8359
2025-11-01,7y,77.6116,79.404
2025-12-01,7y,83.3637,77.9523
2026-01-01,7y,86.1105,77.9208
2026-02-01,7y,99.6743,79.5098
2026-03-01,7y,106.9937,77.0959
2026-04-01,7y,90.5185,68.1104
2026-05-01,7y,95.5113,84.0286
2026-06-01,7y,97.5909,92.6374
2026-06-18,7y,102.9551,89.0056
2016-01-04,max,0.0,0.0
2016-02-01,max,-18.2694,-3.7423
2016-03-01,max,-10.1282,0.3764
2016-04-01,max,15.1887,5.1946
2016-05-01,max,18.9743,3.5695
2016-06-01,max,22.4013,4.8356
2016-07-01,max,16.4488,4.3651
2016-08-01,max,26.4898,7.2005
2016-09-01,max,30.6292,6.5176
2016-10-01,max,31.9689,5.8316
2016-11-01,max,27.2875,2.6321
2016-12-01,max,32.3481,6.5262
2017-01-01,max,30.0397,8.6002
2017-02-01,max,40.1883,9.8701
2017-03-01,max,38.2692,14.9815
2017-04-01,max,33.5399,12.5254
2017-05-01,max,41.493,13.1716
2017-06-01,max,46.6169,14.581
2017-07-01,max,55.1278,14.626
2017-08-01,max,50.389,16.4591
2017-09-01,max,52.4329,15.9061
2017-10-01,max,52.3894,17.2911
2017-11-01,max,52.4749,19.4181
2017-12-01,max,51.2584,21.7575
2018-01-01,max,56.3204,22.6249
2018-02-01,max,57.8816,28.3844
2018-03-01,max,49.4149,21.0506
2018-04-01,max,41.0352,18.8566
2018-05-01,max,44.0606,18.843
2018-06-01,max,47.0837,22.0592
2018-07-01,max,36.468,20.962
2018-08-01,max,35.4205,24.4135
2018-09-01,max,31.934,27.7869
2018-10-01,max,31.976,28.1445
2018-11-01,max,14.2089,19.3954
2018-12-01,max,16.1269,19.8359
2019-01-01,max,1.4975,8.7501
2019-02-01,max,15.6981,17.203
2019-03-01,max,16.4936,21.2677
2019-04-01,max,24.8896,23.6016
2019-05-01,max,17.9479,25.5902
2019-06-01,max,7.3819,17.8911
2019-07-01,max,18.4681,26.7327
2019-08-01,max,20.9727,25.8061
2019-09-01,max,21.0957,24.2046
2019-10-01,max,24.2226,24.595
2019-11-01,max,33.9455,29.5299
2019-12-01,max,33.9273,32.3145
2020-01-01,max,34.266,35.5516
2020-02-01,max,14.1953,34.7733
2020-03-01,max,7.8065,23.2161
2020-04-01,max,0.6069,2.6957
2020-05-01,max,13.6011,17.923
2020-06-01,max,22.7569,27.1545
2020-07-01,max,21.2846,29.2791
2020-08-01,max,16.9391,35.3897
2020-09-01,max,26.4636,45.4969
2020-10-01,max,31.0993,38.8421
2020-11-01,max,38.8562,33.8054
2020-12-01,max,59.2591,49.4413
2021-01-01,max,69.0298,52.4925
2021-02-01,max,63.9242,52.5474
2021-03-01,max,64.3916,57.1165
2021-04-01,max,66.5899,62.2404
2021-05-01,max,80.2952,68.0147
2021-06-01,max,81.6536,67.9506
2021-07-01,max,65.6603,71.7835
2021-08-01,max,70.6598,73.9065
2021-09-01,max,84.5313,78.108
2021-10-01,max,66.8843,70.559
2021-11-01,max,61.5142,79.7147
2021-12-01,max,53.6014,74.8714
2022-01-01,max,64.2333,83.8439
2022-02-01,max,79.3175,74.2485
2022-03-01,max,70.6832,64.4857
2022-04-01,max,85.9164,72.8765
2022-05-01,max,91.2015,56.3809
2022-06-01,max,85.6536,54.7432
2022-07-01,max,64.0794,43.9638
2022-08-01,max,63.3715,54.5402
2022-09-01,max,59.8146,48.4061
2022-10-01,max,33.794,33.808
2022-11-01,max,44.7213,43.6413
2022-12-01,max,62.7956,51.6237
2023-01-01,max,56.6913,42.3283
2023-02-01,max,73.388,52.4008
2023-03-01,max,68.3461,45.8599
2023-04-01,max,69.2265,52.4428
2023-05-01,max,67.6122,54.1535
2023-06-01,max,50.7641,55.8684
2023-07-01,max,60.5226,63.7729
2023-08-01,max,85.1831,67.9151
2023-09-01,max,79.9957,65.3142
2023-10-01,max,88.405,56.4671
2023-11-01,max,87.5201,54.158
2023-12-01,max,106.1686,66.8181
2024-01-01,max,101.3763,72.7134
2024-02-01,max,100.6085,77.0248
2024-03-01,max,120.4394,84.7703
2024-04-01,max,131.1568,89.0895
2024-05-01,max,112.1251,80.3005
2024-06-01,max,122.2672,89.1407
2024-07-01,max,121.453,96.817
2024-08-01,max,142.2146,94.9948
2024-09-01,max,154.8833,101.4737
2024-10-01,max,161.8728,104.2286
2024-11-01,max,178.1195,104.0979
2024-12-01,max,199.1241,114.1559
2025-01-01,max,173.423,108.1307
2025-02-01,max,156.7701,112.719
2025-03-01,max,155.8603,109.0154
2025-04-01,max,143.2185,97.097
2025-05-01,max,121.8953,95.2965
2025-06-01,max,132.6169,105.2137
2025-07-01,max,147.4245,114.7559
2025-08-01,max,132.3706,115.142
2025-09-01,max,163.3017,122.2543
2025-10-01,max,159.6701,129.8729
2025-11-01,max,135.3627,133.4127
2025-12-01,max,143.1741,131.7276
2026-01-01,max,147.0283,131.8756
2026-02-01,max,165.2631,134.1294
2026-03-01,max,175.2799,131.1612
2026-04-01,max,153.6577,119.5868
2026-05-01,max,160.5256,140.4983
2026-06-01,max,163.5323,151.9424
2026-06-18,max,170.9287,147.4099
