Date,Period,rate,rate_vs
2025-03-01,7y,37.5963,62.4725
2025-04-01,7y,27.0242,53.0971
2025-05-01,7y,31.3454,51.634
2025-06-01,7y,35.4778,59.2779
2025-07-01,7y,43.2872,66.5944
2025-08-01,7y,41.2182,66.7786
2025-09-01,7y,49.9327,72.1781
2025-10-01,7y,49.8571,77.9466
2025-11-01,7y,35.7954,80.5358
2025-12-01,7y,43.4468,79.08
2026-01-01,7y,33.908,79.0528
2026-02-01,7y,44.4702,80.6562
2026-03-01,7y,54.401,78.2312
2026-04-01,7y,45.033,69.1916
2026-05-01,7y,35.5422,85.2146
2026-05-21,7y,35.0753,89.8464
2016-01-04,max,0.0,0.0
2016-02-01,max,-8.7331,-3.7423
2016-03-01,max,-5.3445,0.3764
2016-04-01,max,2.6901,5.1946
2016-05-01,max,7.9263,3.5695
2016-06-01,max,8.7984,4.8356
2016-07-01,max,9.8677,4.3651
2016-08-01,max,15.3325,7.2005
2016-09-01,max,10.5608,6.5176
2016-10-01,max,10.461,5.8316
2016-11-01,max,-1.4576,2.6321
2016-12-01,max,-1.4776,6.5262
2017-01-01,max,2.4104,8.6002
2017-02-01,max,8.579,9.8701
2017-03-01,max,13.002,14.9815
2017-04-01,max,12.702,12.5254
2017-05-01,max,9.9831,13.1716
2017-06-01,max,10.2123,14.581
2017-07-01,max,18.9542,14.626
2017-08-01,max,22.7875,16.4591
2017-09-01,max,19.4826,15.9061
2017-10-01,max,13.5557,17.2911
2017-11-01,max,13.1893,19.4181
2017-12-01,max,16.4667,21.7575
2018-01-01,max,18.0107,22.6249
2018-02-01,max,27.2348,28.3844
2018-03-01,max,24.2146,21.0506
2018-04-01,max,17.0955,18.8566
2018-05-01,max,23.0562,18.843
2018-06-01,max,30.5141,22.0592
2018-07-01,max,27.4421,20.962
2018-08-01,max,23.2617,24.4135
2018-09-01,max,21.1372,27.7869
2018-10-01,max,20.877,28.1445
2018-11-01,max,13.9911,19.3954
2018-12-01,max,0.639,19.8359
2019-01-01,max,-12.7016,8.7501
2019-02-01,max,-2.2141,17.203
2019-03-01,max,3.2128,21.2677
2019-04-01,max,7.3298,23.6016
2019-05-01,max,11.5533,25.5902
2019-06-01,max,12.2702,17.8911
2019-07-01,max,20.5283,26.7327
2019-08-01,max,13.8551,25.8061
2019-09-01,max,14.6049,24.2046
2019-10-01,max,14.551,24.595
2019-11-01,max,13.2599,29.5299
2019-12-01,max,16.8833,32.3145
2020-01-01,max,14.4192,35.5516
2020-02-01,max,18.3257,34.7733
2020-03-01,max,18.1522,23.2161
2020-04-01,max,-22.1118,2.6957
2020-05-01,max,7.2039,17.923
2020-06-01,max,19.1777,27.1545
2020-07-01,max,12.1152,29.2791
2020-08-01,max,29.2367,35.3897
2020-09-01,max,16.1631,45.4969
2020-10-01,max,24.3968,38.8421
2020-11-01,max,32.5043,33.8054
2020-12-01,max,33.0679,49.4413
2021-01-01,max,33.8899,52.4925
2021-02-01,max,53.5471,52.5474
2021-03-01,max,57.2999,57.1165
2021-04-01,max,63.6416,62.2404
2021-05-01,max,71.1222,68.0147
2021-06-01,max,68.6643,67.9506
2021-07-01,max,76.6792,71.7835
2021-08-01,max,87.0001,73.9065
2021-09-01,max,91.2504,78.108
2021-10-01,max,74.052,70.559
2021-11-01,max,78.7492,79.7147
2021-12-01,max,75.5903,74.8714
2022-01-01,max,92.1244,83.8439
2022-02-01,max,65.8045,74.2485
2022-03-01,max,62.5516,64.4857
2022-04-01,max,58.182,72.8765
2022-05-01,max,43.7235,56.3809
2022-06-01,max,46.8601,54.7432
2022-07-01,max,43.3775,43.9638
2022-08-01,max,52.9046,54.5402
2022-09-01,max,34.4586,48.4061
2022-10-01,max,20.8816,33.808
2022-11-01,max,31.0798,43.6413
2022-12-01,max,42.4086,51.6237
2023-01-01,max,38.2103,42.3283
2023-02-01,max,46.3359,52.4008
2023-03-01,max,39.0698,45.8599
2023-04-01,max,33.6893,52.4428
2023-05-01,max,33.4448,54.1535
2023-06-01,max,23.5076,55.8684
2023-07-01,max,40.0051,63.7729
2023-08-01,max,43.793,67.9151
2023-09-01,max,39.0824,65.3142
2023-10-01,max,34.9488,56.4671
2023-11-01,max,36.5171,54.158
2023-12-01,max,46.6377,66.8181
2024-01-01,max,51.7035,72.7134
2024-02-01,max,49.1742,77.0248
2024-03-01,max,44.9793,84.7703
2024-04-01,max,43.4296,89.0895
2024-05-01,max,33.0604,80.3005
2024-06-01,max,30.4047,89.1407
2024-07-01,max,35.5906,96.817
2024-08-01,max,55.3913,94.9948
2024-09-01,max,53.0131,101.4737
2024-10-01,max,45.4152,104.2286
2024-11-01,max,50.2111,104.0979
2024-12-01,max,59.4863,114.1559
2025-01-01,max,51.131,108.1307
2025-02-01,max,64.1162,112.719
2025-03-01,max,64.8155,109.0154
2025-04-01,max,52.1995,97.097
2025-05-01,max,57.361,95.2965
2025-06-01,max,62.3197,105.2137
2025-07-01,max,71.7066,114.7559
2025-08-01,max,69.2953,115.142
2025-09-01,max,79.7995,122.2543
2025-10-01,max,79.8056,129.8729
2025-11-01,max,63.0167,133.4127
2025-12-01,max,72.2179,131.7276
2026-01-01,max,60.8135,131.8756
2026-02-01,max,73.4988,134.1294
2026-03-01,max,85.4781,131.1612
2026-04-01,max,74.3123,119.5868
2026-05-01,max,62.9483,140.4983
2026-05-21,max,62.3868,146.6966
