Date,Period,rate,rate_vs
2025-06-01,7y,48.2056,58.2967
2025-07-01,7y,49.7949,65.5655
2025-08-01,7y,43.271,65.745
2025-09-01,7y,42.9621,71.1075
2025-10-01,7y,38.8867,76.8359
2025-11-01,7y,42.7724,79.404
2025-12-01,7y,49.5712,77.9523
2026-01-01,7y,44.7185,77.9208
2026-02-01,7y,54.2623,79.5098
2026-03-01,7y,67.4495,77.0959
2026-04-01,7y,58.6785,68.1104
2026-05-01,7y,63.158,84.0286
2026-06-01,7y,62.5289,92.6374
2026-06-18,7y,63.3351,89.0056
2016-01-04,max,0.0,0.0
2016-02-01,max,1.3138,-3.7423
2016-03-01,max,2.2213,0.3764
2016-04-01,max,11.1767,5.1946
2016-05-01,max,3.6587,3.5695
2016-06-01,max,2.6773,4.8356
2016-07-01,max,3.9751,4.3651
2016-08-01,max,-0.4345,7.2005
2016-09-01,max,-0.6219,6.5176
2016-10-01,max,-2.1237,5.8316
2016-11-01,max,-2.3855,2.6321
2016-12-01,max,-5.8937,6.5262
2017-01-01,max,-2.3741,8.6002
2017-02-01,max,-2.6709,9.8701
2017-03-01,max,-0.3602,14.9815
2017-04-01,max,1.1936,12.5254
2017-05-01,max,2.9703,13.1716
2017-06-01,max,8.9019,14.581
2017-07-01,max,7.0524,14.626
2017-08-01,max,8.6968,16.4591
2017-09-01,max,8.4465,15.9061
2017-10-01,max,7.0955,17.2911
2017-11-01,max,8.6416,19.4181
2017-12-01,max,9.538,21.7575
2018-01-01,max,8.9219,22.6249
2018-02-01,max,12.2759,28.3844
2018-03-01,max,2.3282,21.0506
2018-04-01,max,3.1563,18.8566
2018-05-01,max,1.0462,18.843
2018-06-01,max,2.2636,22.0592
2018-07-01,max,4.8627,20.962
2018-08-01,max,10.7413,24.4135
2018-09-01,max,6.0711,27.7869
2018-10-01,max,10.7543,28.1445
2018-11-01,max,14.0412,19.3954
2018-12-01,max,20.8972,19.8359
2019-01-01,max,13.0322,8.7501
2019-02-01,max,15.8898,17.203
2019-03-01,max,7.5973,21.2677
2019-04-01,max,11.5179,23.6016
2019-05-01,max,15.6785,25.5902
2019-06-01,max,16.5749,17.8911
2019-07-01,max,22.9646,26.7327
2019-08-01,max,23.4475,25.8061
2019-09-01,max,30.023,24.2046
2019-10-01,max,31.2572,24.595
2019-11-01,max,28.7809,29.5299
2019-12-01,max,29.8309,32.3145
2020-01-01,max,33.9227,35.5516
2020-02-01,max,40.5697,34.7733
2020-03-01,max,28.0063,23.2161
2020-04-01,max,3.2937,2.6957
2020-05-01,max,11.7542,17.923
2020-06-01,max,14.9303,27.1545
2020-07-01,max,12.3584,29.2791
2020-08-01,max,18.1832,35.3897
2020-09-01,max,22.547,45.4969
2020-10-01,max,23.3185,38.8421
2020-11-01,max,20.1146,33.8054
2020-12-01,max,30.7124,49.4413
2021-01-01,max,37.2031,52.4925
2021-02-01,max,20.7506,52.5474
2021-03-01,max,23.9413,57.1165
2021-04-01,max,33.1423,62.2404
2021-05-01,max,36.3325,68.0147
2021-06-01,max,39.0418,67.9506
2021-07-01,max,36.1947,71.7835
2021-08-01,max,43.3697,73.9065
2021-09-01,max,41.8796,78.108
2021-10-01,max,33.1722,70.559
2021-11-01,max,40.5795,79.7147
2021-12-01,max,31.4072,74.8714
2022-01-01,max,48.2725,83.8439
2022-02-01,max,50.9754,74.2485
2022-03-01,max,53.7842,64.4857
2022-04-01,max,56.3756,72.8765
2022-05-01,max,59.9387,56.3809
2022-06-01,max,55.3654,54.7432
2022-07-01,max,58.9454,43.9638
2022-08-01,max,58.541,54.5402
2022-09-01,max,51.6444,48.4061
2022-10-01,max,37.5125,33.808
2022-11-01,max,45.909,43.6413
2022-12-01,max,56.5415,51.6237
2023-01-01,max,55.4263,42.3283
2023-02-01,max,49.2255,52.4008
2023-03-01,max,42.6651,45.8599
2023-04-01,max,50.9417,52.4428
2023-05-01,max,55.863,54.1535
2023-06-01,max,44.8531,55.8684
2023-07-01,max,45.9896,63.7729
2023-08-01,max,49.2266,67.9151
2023-09-01,max,42.7688,65.3142
2023-10-01,max,35.4216,56.4671
2023-11-01,max,36.1523,54.158
2023-12-01,max,42.1695,66.8181
2024-01-01,max,42.429,72.7134
2024-02-01,max,46.93,77.0248
2024-03-01,max,42.9678,84.7703
2024-04-01,max,46.4475,89.0895
2024-05-01,max,48.988,80.3005
2024-06-01,max,50.8999,89.1407
2024-07-01,max,54.7138,96.817
2024-08-01,max,65.5807,94.9948
2024-09-01,max,75.8956,101.4737
2024-10-01,max,76.8518,104.2286
2024-11-01,max,59.6669,104.0979
2024-12-01,max,60.3932,114.1559
2025-01-01,max,55.2901,108.1307
2025-02-01,max,57.8149,112.719
2025-03-01,max,76.4416,109.0154
2025-04-01,max,81.1571,97.097
2025-05-01,max,78.9718,95.2965
2025-06-01,max,80.2975,105.2137
2025-07-01,max,82.3323,114.7559
2025-08-01,max,74.4912,115.142
2025-09-01,max,74.1763,122.2543
2025-10-01,max,69.2652,129.8729
2025-11-01,max,74.0309,133.4127
2025-12-01,max,82.3678,131.7276
2026-01-01,max,76.5281,131.8756
2026-02-01,max,88.2233,134.1294
2026-03-01,max,104.4172,131.1612
2026-04-01,max,93.8583,119.5868
2026-05-01,max,99.4418,140.4983
2026-06-01,max,98.7972,151.9424
2026-06-18,max,99.9007,147.4099
