Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,High_52W,Pct_From_52W_High,At_52W_High
1,AVGO,Semiconductors,1362.6,100.0,6.8,14.0,20.8,16.5,30.6,81.7,159.0,376.4,684.9,1362.6,1360.4,-16.4,1.2,925.8,147.5,1513.9,12.0,12.0,12.0,12.0,0.0,0.0,35.35,35.35,11,-24.564454284237883,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,12.0,12.0,12.0,12.0,0.0,0.0,71.0,0.0,0.0,-6.0,0.0,35.35,35.35,2115307652549.06,2115.308,7.0,cap10,equity,data_raw,448.9,-0.47,True
2,AMD,Semiconductors,2231.5,99.6,-0.4,84.0,106.0,109.6,179.6,214.8,222.6,281.9,436.5,2231.5,2241.5,-27.9,1.5,738.5,134.33206357988496,2382.8,5.0,5.0,5.0,5.0,15.89,15.89,38.69,38.69,3,1.4320635798849537,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,5.0,5.0,5.0,5.0,15.89,15.89,1.0,0.0,0.0,-6.0,0.0,38.69,38.69,841552949978.31,841.553,14.0,cap100,equity,data_raw,527.1999,-2.11,False
3,QUBT,Quantum Computing,1119.6,13.5,-0.5,44.7,35.3,15.0,-6.0,467.2,643.3,486.6,368.1,1119.6,9187.6,-139.9,1.6,9070.0,4748.980148784328,1270.9,17.0,17.0,18.0,18.0,20.53,20.53,40.88,40.88,-1,164.4152668579227,STRONG_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,17.0,17.0,18.0,18.0,20.53,20.53,70.0,0.0,0.0,0.0,0.0,40.88,40.88,2697398453.12,2.697,538.0,other,equity,data_raw,25.84,-53.72,False
4,SMCI,Computer Hardware,1007.2,27.7,7.3,77.1,58.8,40.8,13.6,-5.3,-6.6,297.6,674.9,1007.2,3831.2,-73.1,1.4,3227.1,3250.5535125207216,1158.5,24.0,24.0,27.0,27.0,26.33,26.33,43.03,43.03,4,-1023.7889693638308,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,24.0,24.0,27.0,27.0,26.33,26.33,40.0,0.0,0.0,-6.0,0.0,43.03,43.03,27719377927.15,27.719,340.0,other,equity,data_raw,58.78,-21.59,False
5,DELL,Computer Hardware & Services,1081.8,100.0,0.0,114.1,165.1,177.6,204.5,219.0,305.8,494.8,737.0,1081.8,1076.4,-23.7,1.5,229.8,46.2,1220.7,18.0,18.0,20.0,20.0,5.0,5.0,49.95,49.95,1,0.0,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,18.0,18.0,20.0,20.0,5.0,5.0,1.0,0.0,0.0,-6.0,0.0,49.95,49.95,136810141261.39,136.81,91.0,cap100,equity,data_raw,429.15,-1.92,False
6,NVDA,Semiconductors,3629.6,88.9,-2.0,3.0,4.0,2.5,8.7,25.4,104.8,423.1,1113.8,3629.6,4013.4,-12.1,1.1,3333.3,741.6218947354845,3780.8,1.0,1.0,1.0,1.0,4.44,4.44,49.99,49.99,-5,41.24645472737018,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,1.0,1.0,1.0,1.0,4.44,4.44,134.0,0.0,0.0,25.0,-12.0,49.99,49.99,5114021925216.67,5114.022,1.0,cap10,equity,data_raw,236.54,-10.74,False
7,KLAC,Semiconductor Equipment,1040.7,94.4,-1.0,8.7,14.6,29.7,63.7,97.3,131.4,231.2,449.8,1040.7,1100.6,-14.1,1.2,599.7,102.11749021538995,1192.0,20.0,20.0,22.0,22.0,4.44,4.44,52.09,52.09,12,1.8725642149208852,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,20.0,20.0,22.0,22.0,4.44,4.44,57.0,0.0,0.0,0.0,0.0,52.09,52.09,251028208278.27,251.028,47.0,cap100,equity,data_raw,2060.0801,-6.72,False
8,APP,Software,1117.4,72.2,17.0,35.4,30.5,10.5,20.4,169.2,640.2,1123.6,,1117.4,1542.2,-55.4,1.4,1271.3,316.3229230623937,1181.3,21.0,21.0,19.0,19.0,12.5,12.5,53.5,53.5,22,-160.0340055003296,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,21.0,21.0,19.0,19.0,12.5,12.5,63.0,0.0,11.0,-6.0,0.0,53.5,53.5,187441240090.58,187.441,62.0,cap100,equity,data_raw,745.61,-17.77,False
9,TRX-USD,Cryptocurrency,838.0,12.7,-1.4,-3.4,4.0,6.0,-0.2,34.3,87.9,166.4,502.4,838.0,6637.4,-26.9,1.2,5992.9,1478.7437063006414,954.2,30.0,30.0,30.0,30.0,9.1,9.1,53.6,53.6,-6,54.977619700281366,STRONG_UP,LOWER,MOMENTUM_DOWN,S0_NEUTRAL,,,,,30.0,30.0,30.0,30.0,9.1,9.1,150.0,0.0,0.0,0.0,0.0,53.6,53.6,32553557089.18,32.554,,crypto,crypto,data_raw,0.3763,-8.76,False
10,RGTI,Quantum Computing,1023.0,38.5,-1.5,57.3,45.5,18.6,40.5,743.1,1180.9,1038.8,,1023.0,2754.1,-93.0,1.5,2082.3,580.3647014988419,1086.9,26.0,26.0,24.0,24.0,12.5,12.5,55.5,55.5,-6,5.313985385000819,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,26.0,26.0,24.0,24.0,12.5,12.5,42.0,0.0,11.0,0.0,0.0,55.5,55.5,8489465835.1,8.489,517.0,other,equity,data_raw,58.15,-56.08,False
