Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,Grid_Score,Max_Divergence_Score,Y3_Beat_VOO_Score,Y3_Premium_Score,Y3_Premium_Wins,Y3_Premium_Total,Y3_Confidence,Beat_Score
1,AMD,Semiconductors,2249.0,94.3,-3.8,-0.3,24.8,85.1,103.1,156.1,221.1,285.4,430.8,2249.0,2386.6,-27.9,1.5,892.8,155.6,2390.0,7.0,7.0,7.0,7.0,0.0,0.0,1.0,1.0,1,15.0,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,7.0,7.0,7.0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,011111111,111101011,184.7,190.0,155.6,155.6,7,9,1.0,530.3
2,NVDA,Semiconductors,3270.4,80.1,-7.9,-6.0,-7.2,-3.4,-3.2,-2.1,74.9,359.3,958.3,3270.4,4013.4,-12.1,1.1,3773.6,972.8,3411.4,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,-1,191.0999999999999,STRONG_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,000001111,101111111,151.3,218.0,177.8,155.6,7,9,1.0,524.9
3,FTNT,Cybersecurity Software,572.3,100.0,4.1,7.2,40.5,60.3,69.0,60.6,63.3,68.1,169.7,572.3,572.6,-20.2,1.4,306.9,69.6,713.3,43.0,43.0,43.0,43.0,0.0,0.0,3.0,3.0,8,-7.400000000000006,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,43.0,43.0,43.0,43.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,3.0,,,,,,,111111111,111111101,206.9,110.0,177.8,177.8,8,9,1.0,494.7
4,PWR,Construction & Engineering,984.0,84.7,-1.6,0.5,-2.3,5.7,23.3,40.8,106.4,213.9,521.1,984.0,1124.7,-22.8,1.1,709.1,144.4,1125.0,18.0,18.0,18.0,18.0,0.0,0.0,4.0,4.0,9,7.300000000000011,EARLY_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,18.0,18.0,18.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,4.0,,,,,,,101111111,001111111,184.7,150.0,155.6,155.6,7,9,1.0,490.3
5,FIX,Engineering & Construction,2816.5,89.2,-6.1,-3.2,2.9,11.9,40.3,98.4,401.4,940.9,1756.4,2816.5,3110.6,-40.0,1.1,1597.1,222.1,2957.5,3.0,3.0,3.0,3.0,0.0,0.0,5.0,5.0,0,36.400000000000006,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,3.0,3.0,3.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,,,,,,,011111111,100111111,184.7,190.0,155.6,111.1,5,9,1.0,485.8
6,BNB-USD,Cryptocurrency,1859.8,33.2,-1.6,-2.0,-12.2,-15.0,-24.6,-34.1,-13.6,-17.3,577.9,1859.8,5605.5,-25.2,1.3,8322.4,4903.2,1967.1,8.0,8.0,8.0,8.0,0.0,0.0,6.0,6.0,4,306.89999999999964,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,8.0,8.0,8.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,6.0,,,,,,,000000011,--0111111,123.9,190.0,171.4,171.4,6,7,1.0,485.3
7,LLY,Pharmaceuticals,632.8,100.0,9.7,12.6,19.9,15.9,12.8,26.1,32.3,123.5,291.6,632.8,631.9,-21.4,1.2,453.3,100.5,773.8,34.0,34.0,36.0,36.0,0.0,0.0,7.0,7.0,8,-28.30000000000001,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,34.0,34.0,36.0,36.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,7.0,,,,,,,111111111,111111111,218.0,110.0,200.0,155.6,7,9,1.0,483.6
8,ANET,Networking Equipment,756.3,84.0,-7.6,-4.5,-6.8,3.3,6.8,11.7,59.5,178.7,359.9,756.3,904.1,-19.6,1.3,729.5,176.0,897.3,24.0,24.0,28.0,28.0,0.0,0.0,8.0,8.0,-1,32.80000000000001,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,24.0,24.0,28.0,28.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,8.0,,,,,,,001111111,100111111,173.6,150.0,155.6,155.6,7,9,1.0,479.2
9,AVGO,Semiconductors,1067.7,72.7,-10.7,-8.7,-15.6,-4.5,-3.9,2.3,97.5,271.9,516.0,1067.7,1473.1,-16.4,1.2,1315.8,318.8,1208.7,15.0,15.0,15.0,15.0,0.0,0.0,9.0,9.0,-5,84.9,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,15.0,15.0,15.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,9.0,,,,,,,000011111,111111111,173.6,150.0,200.0,155.6,7,9,1.0,479.2
10,LRCX,Semiconductor Equipment,1392.6,91.8,-8.2,0.0,34.9,46.3,70.7,150.1,284.6,400.6,601.7,1392.6,1502.3,-7.6,1.3,556.0,72.9,1533.6,11.0,11.0,11.0,11.0,0.0,0.0,10.0,10.0,-2,14.700000000000003,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,11.0,11.0,11.0,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,10.0,,,,,,,011111111,111111011,195.8,150.0,177.8,133.3,6,9,1.0,479.1
