Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,Grid_Score,Max_Divergence_Score,Y3_Beat_VOO_Score,Y3_Premium_Score,Y3_Premium_50p_Score,Y3_Premium_100p_Score,Y3_Premium_Wins,Y3_Premium_Total,Y3_Confidence,Beat_Score,Beat_Score_50p,Beat_Score_100p
1,NVDA,Semiconductors,3597.6,88.1,0.7,0.7,0.8,2.4,3.6,3.6,82.8,389.1,999.9,3597.6,4013.4,-12.1,1.1,3484.2,795.9,3745.9,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2,-171.0,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,111111111,101111111,206.9,218.0,177.8,155.6,155.6,133.3,7.0,9.0,1.0,580.5,580.5,558.2
2,AMD,Semiconductors,2258.7,89.5,-5.4,-5.1,0.4,44.8,83.4,129.0,214.6,278.7,414.2,2258.7,2526.1,-27.9,1.4,1027.1,178.7,2407.0,5.0,5.0,5.0,5.0,0.0,0.0,2.0,2.0,-1,20.0,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,5.0,5.0,5.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,011111111,111101011,184.7,190.0,155.6,155.6,155.6,155.6,7.0,9.0,1.0,530.3,530.3,530.3
3,BTC-USD,Cryptocurrency,1572.2,44.6,1.2,2.5,-0.9,-11.0,-17.2,-34.8,-30.0,-6.2,76.1,1572.2,3326.6,-9.6,1.3,5303.8,2809.3,1720.5,10.0,10.0,10.0,10.0,0.0,0.0,3.0,3.0,1,-24.0,EARLY_UP,MID_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,3.0,,,,,,,100000011,111110111,140.2,190.0,177.8,177.8,177.8,155.6,8.0,9.0,1.0,508.0,508.0,485.8
4,BNB-USD,Cryptocurrency,1895.7,33.8,0.7,1.9,-5.7,-10.6,-19.4,-32.2,-14.7,-18.0,577.2,1895.7,5605.5,-25.2,1.3,8116.6,4803.6,2009.2,7.0,7.0,6.0,6.0,0.0,0.0,4.0,4.0,2,119.80000000000018,EARLY_UP,MID_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,7.0,7.0,6.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,4.0,,,,,,,100000011,--0111111,135.0,190.0,171.4,171.4,171.4,171.4,6.0,7.0,1.0,496.4,496.4,496.4
5,FTNT,Cybersecurity Software,629.5,98.0,3.3,4.5,7.3,47.0,68.0,69.2,74.5,79.2,184.3,629.5,643.2,-20.2,1.4,321.6,73.5,777.8,29.0,29.0,29.0,29.0,0.0,0.0,5.0,5.0,2,3.700000000000003,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,29.0,29.0,29.0,29.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,,,,,,,111111111,111111101,206.9,110.0,177.8,177.8,177.8,111.1,8.0,9.0,1.0,494.7,494.7,428.0
6,ANET,Networking Equipment,831.9,90.0,-10.0,-8.0,1.6,5.1,10.3,13.7,66.5,193.4,393.3,831.9,926.6,-19.6,1.2,700.4,152.2,980.1,18.0,18.0,18.0,18.0,0.0,0.0,6.0,6.0,-1,13.399999999999977,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,18.0,18.0,18.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,6.0,,,,,,,011111111,100111111,184.7,150.0,155.6,155.6,155.6,111.1,7.0,9.0,1.0,490.3,490.3,445.8
7,AVGO,Semiconductors,1155.1,78.5,-1.4,-1.4,-4.1,-2.2,2.6,5.2,102.6,288.7,544.1,1155.1,1473.1,-16.4,1.2,1245.8,278.4,1303.3,13.0,13.0,13.0,13.0,0.0,0.0,7.0,7.0,4,-36.10000000000002,EARLY_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,13.0,13.0,13.0,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,7.0,,,,,,,000111111,111111111,184.7,150.0,200.0,155.6,155.6,111.1,7.0,9.0,1.0,490.3,490.3,445.8
8,AXON,Public Safety Technology,591.6,48.5,-3.0,-4.4,1.9,11.5,3.4,-16.0,8.1,69.4,155.3,591.6,1246.3,-25.7,1.5,1578.9,763.3,739.9,31.0,31.0,31.0,31.0,0.0,0.0,8.0,8.0,-6,221.69999999999993,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,31.0,31.0,31.0,31.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,8.0,,,,,,,011101111,111111111,195.8,110.0,200.0,177.8,177.8,133.3,8.0,9.0,1.0,483.6,483.6,439.1
9,HWM,Aerospace & Defense,791.7,97.0,3.6,3.1,6.5,6.7,10.7,20.8,157.0,338.1,573.6,791.7,783.4,-54.6,1.1,574.4,87.6,922.9,21.0,21.0,22.0,22.0,0.0,0.0,9.0,9.0,1,0.5,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,21.0,21.0,22.0,22.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,9.0,,,,,,,111111111,-01111111,204.5,150.0,175.0,125.0,125.0,75.0,5.0,8.0,1.0,479.5,479.5,429.5
10,LLY,Pharmaceuticals,582.5,90.7,-3.4,-2.7,1.6,6.1,3.6,13.8,18.0,98.8,255.1,582.5,643.8,-21.4,1.2,506.3,127.3,730.7,32.0,32.0,32.0,32.0,0.0,0.0,10.0,10.0,3,14.700000000000003,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,32.0,32.0,32.0,32.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,10.0,,,,,,,011111111,111111111,206.9,110.0,200.0,155.6,155.6,111.1,7.0,9.0,1.0,472.5,472.5,428.0
