Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,High_52W,Pct_From_52W_High,At_52W_High
1,KLAC,Semiconductor Equipment,1184.1,100.0,0.0,3.0,17.4,24.0,40.5,73.9,155.9,271.2,507.5,1184.1,1181.6,-14.1,1.2,583.2,90.2,1327.8,11.0,11.0,12.0,12.0,4.44,4.44,36.54,36.54,5,-11.022962170223522,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,11.0,11.0,12.0,12.0,4.44,4.44,29.0,0.0,0.0,-6.0,0.0,36.54,36.54,,,,,,,111111111,011111111,2262.8188,-5.46,False
2,SMCI,Computer Hardware,857.9,23.9,-4.1,-10.7,18.6,30.8,28.6,1.1,-24.7,232.3,559.6,857.9,3831.2,-73.1,1.4,3742.8,3246.703986841769,1001.5,21.0,21.0,22.0,22.0,23.33,23.33,45.68,45.68,2,-372.1899070291788,STRONG_UP,MID_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,21.0,21.0,22.0,22.0,23.33,23.33,58.0,0.0,0.0,0.0,0.0,45.68,45.68,,,,,,,011110111,001111110,58.78,-30.86,False
3,DELL,Computer Hardware & Services,956.9,79.3,-9.6,-6.9,32.0,81.8,133.1,154.4,247.7,427.0,644.6,956.9,1206.8,-23.7,1.6,315.3,77.37861300452656,1088.6,19.0,19.0,19.0,19.0,5.0,5.0,47.65,47.65,7,31.178613004526554,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,19.0,19.0,19.0,19.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,47.65,47.65,,,,,,,011111111,-01111111,469.47,-18.68,False
4,LLY,Pharmaceuticals,584.3,96.2,3.2,4.4,12.6,8.5,5.4,17.8,22.1,107.1,264.6,584.3,607.2,-21.4,1.2,468.3,111.2553332068268,727.9,39.0,39.0,39.0,39.0,0.0,0.0,53.4,53.4,8,-9.007074201904771,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,39.0,39.0,39.0,39.0,0.0,0.0,95.0,0.0,0.0,-6.0,0.0,53.4,53.4,,,,,,,111111111,111111111,1182.73,-3.22,False
5,NVDA,Semiconductors,3553.3,87.0,-4.5,-2.2,-0.9,3.6,3.9,5.5,90.5,399.4,1049.2,3553.3,4013.4,-12.1,1.1,3435.4,785.2795213174358,3697.0,1.0,1.0,1.0,1.0,5.0,5.0,54.7,54.7,0,64.17705729890633,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,1.0,1.0,1.0,1.0,5.0,5.0,179.0,0.0,0.0,25.0,-12.0,54.7,54.7,,,,,,,001111111,101111111,236.54,-11.99,False
6,FIX,Engineering & Construction,2776.5,88.4,-4.1,-1.7,0.5,9.4,37.3,94.6,393.4,925.7,1730.6,2776.5,3095.3,-40.0,1.1,1515.2,214.11118289911244,2920.2,2.0,2.0,2.0,2.0,8.89,8.89,58.14,58.14,8,11.766803066231148,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,2.0,2.0,2.0,2.0,8.89,8.89,33.0,0.0,0.0,25.0,0.0,58.14,58.14,,,,,,,011111111,100111111,2073.9883,-11.69,False
7,LRCX,Semiconductor Equipment,1166.2,94.7,-2.7,-0.1,15.6,24.6,45.5,113.3,225.7,322.6,492.0,1166.2,1218.7,-7.6,1.3,494.5,64.9088440311137,1309.8,12.0,12.0,13.0,13.0,11.44,11.44,65.24,65.24,6,6.70924256879816,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,12.0,12.0,13.0,13.0,11.44,11.44,18.0,0.0,0.0,12.0,0.0,65.24,65.24,,,,,,,011111111,111111011,349.09,-6.28,False
8,AMD,Semiconductors,2026.4,86.7,-9.4,-6.5,12.8,67.3,83.6,131.4,188.2,244.7,374.4,2026.4,2340.5,-27.9,1.5,894.7,183.47014255595266,2170.0,4.0,4.0,4.0,4.0,15.89,15.89,65.39,65.39,-7,50.47014255595266,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,4.0,4.0,4.0,4.0,15.89,15.89,8.0,0.0,0.0,25.0,0.0,65.39,65.39,,,,,,,011111111,111101011,546.44,-12.98,False
9,MPWR,Semiconductors,612.2,88.2,-8.7,-4.7,-1.7,11.9,27.9,48.9,83.3,120.9,236.2,612.2,693.2,-5.3,1.4,371.2,76.6850936689739,755.8,33.0,33.0,34.0,34.0,0.67,0.67,68.82,68.82,-2,13.948082713426864,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,33.0,33.0,34.0,34.0,0.67,0.67,54.0,0.0,0.0,12.0,0.0,68.82,68.82,,,,,,,001111111,111111111,1714.0898,-10.62,False
10,SMH,Unknown,605.8,90.8,-6.8,-3.2,6.8,22.5,35.0,58.6,119.5,194.2,299.7,605.8,667.5,-5.3,1.2,318.8,58.30560186503443,749.5,36.0,36.0,36.0,36.0,0.0,0.0,70.6,70.6,12,11.229231835963844,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,36.0,36.0,36.0,36.0,0.0,0.0,38.0,0.0,0.0,12.0,0.0,70.6,70.6,,,,,,,011111111,111111111,642.77,-8.05,False
