Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,Grid_Score,Max_Divergence_Score,Y3_Beat_VOO_Score,Y3_Premium_Score,Y3_Premium_Wins,Y3_Premium_Total,Y3_Confidence,Beat_Score,High_52W,Pct_From_52W_High,At_52W_High
1,NVDA,Semiconductors,3386.4,82.9,-5.1,-3.7,-4.9,-0.9,-0.6,0.7,80.9,375.3,995.2,3386.4,4013.4,-12.1,1.1,3641.0,899.9,3529.4,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,8,86.75920519903661,STRONG_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,000011111,101111111,162.5,218.0,177.8,155.6,7,9,1.0,536.1,236.54,-15.87,False
2,AMD,Semiconductors,2238.3,93.8,-4.3,-1.5,23.6,83.6,101.5,154.3,218.8,282.5,427.1,2238.3,2386.6,-27.9,1.5,888.9,157.4,2381.2,7.0,7.0,7.0,7.0,0.0,0.0,2.0,2.0,3,-7.538159589543909,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,7.0,7.0,7.0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,011111111,111101011,184.7,190.0,155.6,155.6,7,9,1.0,530.3,562.9899,-7.68,False
3,FIX,Engineering & Construction,2979.9,94.3,-1.0,1.1,7.6,17.3,47.2,108.7,429.3,998.9,1859.8,2979.9,3110.6,-40.0,1.1,1499.8,193.6,3122.8,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,-2,-6.689884055681375,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,3.0,3.0,3.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,3.0,,,,,,,111111111,100111111,195.8,190.0,155.6,111.1,5,9,1.0,496.9,2073.9883,-5.76,False
4,FTNT,Cybersecurity Software,537.7,97.2,1.3,2.2,34.1,52.9,61.2,52.9,54.3,57.9,154.0,537.7,554.3,-20.2,1.4,315.2,74.6,680.7,44.0,44.0,44.0,44.0,0.0,0.0,4.0,4.0,14,1.284045271400018,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,44.0,44.0,44.0,44.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,4.0,,,,,,,111111111,111111101,206.9,110.0,177.8,177.8,8,9,1.0,494.7,150.065,-3.19,False
5,PWR,Construction & Engineering,1007.0,86.6,0.3,1.8,-1.1,7.1,25.1,43.0,110.2,220.2,534.0,1007.0,1124.7,-22.8,1.1,690.3,136.9,1150.0,17.0,17.0,17.0,17.0,0.0,0.0,5.0,5.0,-3,6.999409230165497,EARLY_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,17.0,17.0,17.0,17.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,,,,,,,101111111,001111111,184.7,150.0,155.6,155.6,7,9,1.0,490.3,788.72,-11.01,False
6,TRX-USD,Cryptocurrency,785.2,12.0,0.3,3.1,-1.9,-1.0,2.9,-2.8,72.9,154.0,461.2,785.2,6637.4,-26.9,1.2,6395.7,4318.7,894.1,26.0,26.0,25.0,25.0,0.0,0.0,6.0,6.0,56,2575.698490106024,EARLY_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,26.0,26.0,25.0,25.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,6.0,,,,,,,100101111,--0111111,168.4,150.0,171.4,171.4,6,7,1.0,489.8,0.3763,-13.21,False
7,BNB-USD,Cryptocurrency,1852.8,33.1,-1.0,-1.1,-13.2,-16.1,-25.6,-35.2,-15.0,-18.9,574.5,1852.8,5605.5,-25.2,1.3,8357.4,4919.7,1961.8,9.0,9.0,9.0,9.0,0.0,0.0,7.0,7.0,103,565.5999999999995,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,9.0,9.0,9.0,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,7.0,,,,,,,000000011,--0111111,123.9,190.0,171.4,171.4,6,7,1.0,485.3,1193.7739,-52.9,False
8,LLY,Pharmaceuticals,565.2,93.2,2.9,3.5,10.2,6.1,3.1,15.0,18.7,101.2,254.3,565.2,607.2,-21.4,1.2,486.0,119.4,708.1,40.0,40.0,41.0,41.0,0.0,0.0,8.0,8.0,9,0.7316628288542262,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,40.0,40.0,41.0,41.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,8.0,,,,,,,111111111,111111111,218.0,110.0,200.0,155.6,7,9,1.0,483.6,1182.73,-5.54,False
9,HWM,Aerospace & Defense,792.8,97.1,-0.2,1.2,12.3,6.6,15.9,24.8,169.4,346.3,586.0,792.8,783.4,-54.6,1.1,555.1,83.6,919.1,24.0,24.0,24.0,24.0,0.0,0.0,9.0,9.0,-5,7.199999999999989,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,24.0,24.0,24.0,24.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,9.0,,,,,,,111111111,-01111111,204.5,150.0,175.0,125.0,5,8,1.0,479.5,290.6326,-5.01,False
10,ANET,Networking Equipment,780.5,86.7,-4.9,-2.9,-5.2,5.2,8.9,14.0,63.5,186.2,372.7,780.5,904.1,-19.6,1.3,705.1,163.5,923.5,23.0,23.0,26.0,26.0,0.0,0.0,10.0,10.0,-4,13.214344298853973,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,23.0,23.0,26.0,26.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,10.0,,,,,,,001111111,100111111,173.6,150.0,155.6,155.6,7,9,1.0,479.2,179.79,-10.04,False
