Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,High_52W,Pct_From_52W_High,At_52W_High
1,LRCX,Semiconductor Equipment,1318.4,100.0,13.6,19.5,27.9,38.5,61.8,137.5,264.7,374.4,565.1,1318.4,1304.4,-7.6,1.3,472.7,57.3,1462.2,11.0,11.0,11.0,11.0,11.44,11.44,48.04,48.04,20,37.93020963729607,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,11.0,11.0,11.0,11.0,11.44,11.44,13.0,0.0,0.0,-6.0,0.0,48.04,48.04,458721945456.85,458.722,24.0,cap100,equity,data_raw,111111111,111111011,373.82,-1.88,False
2,LLY,Pharmaceuticals,595.8,98.1,3.4,2.6,14.1,10.0,6.9,19.5,24.2,110.7,270.8,595.8,607.2,-21.4,1.2,459.8,108.33116171328317,739.7,36.0,36.0,37.0,37.0,0.0,0.0,51.9,51.9,8,-40.52471084149411,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,36.0,36.0,37.0,37.0,0.0,0.0,90.0,0.0,0.0,-6.0,0.0,51.9,51.9,1010343012998.0,1010.343,12.0,cap100,equity,data_raw,111111111,111111111,1182.73,-4.2,False
3,FIX,Engineering & Construction,2795.9,89.0,-0.1,-0.1,1.1,10.0,38.2,95.8,396.7,932.6,1742.9,2795.9,3095.3,-40.0,1.1,1515.0,214.1733275293166,2939.7,2.0,2.0,2.0,2.0,8.89,8.89,58.99,58.99,-1,-11.183668574851708,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,2.0,2.0,2.0,2.0,8.89,8.89,36.0,0.0,0.0,25.0,0.0,58.99,58.99,66061767763.48,66.062,192.0,large,equity,data_raw,011111111,100111111,2073.9883,-9.47,False
4,DELL,Computer Hardware & Services,986.8,81.7,-0.8,-0.8,35.3,86.4,139.1,161.0,257.4,441.7,665.5,986.8,1206.8,-23.7,1.6,310.0,73.28217463327954,1118.7,16.0,16.0,17.0,17.0,5.0,5.0,60.15,60.15,3,62.26699786160521,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,16.0,16.0,17.0,17.0,5.0,5.0,3.0,0.0,0.0,12.0,0.0,60.15,60.15,128510268154.25,128.51,93.0,cap100,equity,data_raw,011111111,-01111111,469.47,-15.74,False
5,NVDA,Semiconductors,3492.6,85.5,-0.1,-0.1,-2.5,1.8,2.1,3.5,86.8,390.4,1029.3,3492.6,4013.4,-12.1,1.1,3499.4,828.8039776958499,3636.4,1.0,1.0,1.0,1.0,5.06,5.06,61.16,61.16,-4,-272.282386861674,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,1.0,1.0,1.0,1.0,5.06,5.06,217.0,0.0,0.0,25.0,-12.0,61.16,61.16,4969907049133.3,4969.907,1.0,cap10,equity,data_raw,001111111,101111111,236.54,-13.25,False
6,HWM,Aerospace & Defense,749.6,95.3,5.7,5.0,7.3,1.6,10.5,18.7,156.3,324.8,553.3,749.6,755.5,-54.6,1.1,553.8,90.56123233724742,876.8,26.0,26.0,27.0,27.0,5.0,5.0,62.85,62.85,31,2.2476802013923844,EARLY_DOWN,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,26.0,26.0,27.0,27.0,5.0,5.0,115.0,0.0,0.0,0.0,0.0,62.85,62.85,105896452898.15,105.896,116.0,large,equity,data_raw,111111111,-01111111,280.74,-5.72,False
7,AMD,Semiconductors,2088.0,89.3,4.4,4.7,15.8,71.9,88.6,137.9,196.9,255.5,389.6,2088.0,2340.5,-27.9,1.5,876.2,189.96797521925978,2231.8,6.0,6.0,6.0,6.0,15.89,15.89,66.34,66.34,2,152.12427939993484,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,6.0,6.0,6.0,6.0,15.89,15.89,7.0,0.0,0.0,25.0,0.0,66.34,66.34,834166380836.11,834.166,15.0,cap100,equity,data_raw,111111111,111101011,546.44,-6.38,False
8,WSM,Specialty Retail,369.1,89.5,10.8,8.5,17.0,12.1,12.5,11.5,50.7,98.9,193.1,369.1,417.3,-40.6,1.2,332.0,86.63160168642109,514.3,54.0,54.0,56.0,56.0,4.44,4.44,68.29,68.29,16,-53.129992021334246,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,54.0,54.0,56.0,56.0,4.44,4.44,89.0,0.0,0.0,-6.0,0.0,68.29,68.29,26321076632.4,26.321,348.0,other,equity,data_raw,111111111,011111111,224.33,-0.35,True
9,AMAT,Semiconductor Equipment & Materials,702.9,100.0,12.2,22.0,31.6,37.0,61.2,117.7,160.3,215.9,354.9,702.9,702.6,-21.2,1.6,225.1,35.3,846.7,29.0,29.0,30.0,30.0,15.89,15.89,69.69,69.69,26,15.67151456079165,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,29.0,29.0,30.0,30.0,15.89,15.89,15.0,0.0,0.0,-6.0,0.0,69.69,69.69,450373486667.5,450.373,25.0,cap100,equity,data_raw,111111111,011111011,569.92,-0.47,True
10,VRT,Electrical Equipment & Parts,1375.0,78.1,0.6,0.2,-7.4,-0.1,27.5,62.6,277.9,868.2,1210.6,1375.0,1741.3,-60.9,1.3,976.0,207.23264558360046,1475.1,10.0,10.0,10.0,10.0,12.27,12.27,70.62,70.62,-2,-21.281842116466294,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,10.0,10.0,10.0,10.0,12.27,12.27,57.0,0.0,0.0,25.0,0.0,70.62,70.62,116335035226.39,116.335,105.0,large,equity,data_raw,100111111,---101111,379.93,-20.28,False
