Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,High_52W,Pct_From_52W_High,At_52W_High
1,FIX,Engineering & Construction,2908.0,92.5,3.5,2.1,3.3,12.6,41.9,101.9,414.7,971.7,1813.6,2908.0,3095.3,-40.0,1.1,1484.1,200.28988405568137,3056.0,2.0,2.0,2.0,2.0,8.89,8.89,33.54,33.54,10,2.2431610877144976,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,2.0,2.0,2.0,2.0,8.89,8.89,27.0,0.0,0.0,0.0,0.0,33.54,33.54,,,,,,,111111111,100111111,2073.9883,-7.72,False
2,PWR,Construction & Engineering,1033.0,88.8,5.0,3.6,-0.7,7.7,26.1,44.5,113.5,226.2,548.0,1033.0,1124.7,-22.8,1.1,660.5,129.9005907698345,1181.0,16.0,16.0,16.0,16.0,9.29,9.29,49.79,49.79,26,2.4861687960817846,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,16.0,16.0,16.0,16.0,9.29,9.29,54.0,0.0,0.0,0.0,0.0,49.79,49.79,,,,,,,101111111,001111111,788.72,-8.8,False
3,LRCX,Semiconductor Equipment,1343.6,94.2,-5.8,0.2,28.6,39.5,63.2,140.3,270.0,381.7,576.1,1343.6,1411.5,-7.6,1.3,514.5,66.298476980777,1491.6,11.0,11.0,12.0,12.0,11.44,11.44,51.79,51.79,6,6.201913005673845,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,11.0,11.0,12.0,12.0,11.44,11.44,12.0,0.0,0.0,0.0,0.0,51.79,51.79,,,,,,,111111111,111111011,393.07,-6.04,False
4,HWM,Aerospace & Defense,793.1,100.0,4.7,3.1,10.8,4.9,14.3,23.1,168.1,345.5,585.9,793.1,759.3,-54.6,1.1,531.8,76.4,924.1,24.0,24.0,25.0,25.0,5.0,5.0,54.2,54.2,47,-21.23121977690235,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,24.0,24.0,25.0,25.0,5.0,5.0,86.0,0.0,0.0,-6.0,0.0,54.2,54.2,,,,,,,111111111,-01111111,280.74,-1.18,False
5,AMD,Semiconductors,2173.8,92.1,2.8,2.2,18.5,76.9,94.3,145.6,207.5,268.7,408.6,2173.8,2363.0,-27.9,1.5,870.2,164.93815958954391,2321.8,6.0,6.0,6.0,6.0,15.89,15.89,54.24,54.24,2,20.689000748942703,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,6.0,6.0,6.0,6.0,15.89,15.89,9.0,0.0,0.0,12.0,0.0,54.24,54.24,,,,,,,111111111,111101011,558.37,-9.15,False
6,ANET,Networking Equipment,815.2,90.4,7.5,5.7,-3.6,7.3,11.2,16.5,68.4,196.3,390.4,815.2,904.1,-19.6,1.3,669.8,150.28565570114603,963.2,21.0,21.0,22.0,22.0,9.79,9.79,54.64,54.64,8,-7.799073478098904,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,21.0,21.0,22.0,22.0,9.79,9.79,114.0,0.0,0.0,-6.0,0.0,54.64,54.64,,,,,,,101111111,100111111,179.79,-6.55,False
7,SMH,Unknown,637.4,93.7,-1.0,-0.6,9.6,26.0,39.1,63.8,127.9,206.3,316.9,637.4,680.5,-5.3,1.2,315.9,55.261666839411085,785.4,33.0,33.0,33.0,33.0,0.0,0.0,57.4,57.4,6,6.05754219462154,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,33.0,33.0,33.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,57.4,57.4,,,,,,,011111111,111111111,649.24,-5.12,False
8,MPWR,Semiconductors,589.3,84.9,-7.9,-7.4,-5.6,7.5,23.1,43.5,76.1,112.1,223.7,589.3,693.2,-5.3,1.4,392.8,83.88041353789863,737.3,36.0,36.0,36.0,36.0,0.78,0.78,58.08,58.08,-2,19.813899012822063,EARLY_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,36.0,36.0,36.0,36.0,0.78,0.78,66.0,0.0,0.0,0.0,0.0,58.08,58.08,,,,,,,001111111,111111111,1714.0898,-12.56,False
9,NVDA,Semiconductors,3534.8,86.6,1.1,-0.5,-3.0,1.3,1.6,3.1,87.2,394.5,1041.2,3534.8,4013.4,-12.1,1.1,3465.2,813.1407948009634,3682.8,1.0,1.0,1.0,1.0,5.05,5.05,58.75,58.75,-8,92.0253890748022,STRONG_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,1.0,1.0,1.0,1.0,5.05,5.05,197.0,0.0,0.0,25.0,-12.0,58.75,58.75,,,,,,,001111111,101111111,236.54,-12.32,False
10,JBL,Electronic Manufacturing Services,686.1,96.4,-2.3,-2.1,5.5,16.7,34.2,48.1,116.2,231.8,412.6,686.1,662.0,-28.8,1.1,350.6,52.376578656900975,834.1,32.0,32.0,32.0,32.0,0.0,0.0,58.95,58.95,2,0.5235461847052534,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,32.0,32.0,32.0,32.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,58.95,58.95,,,,,,,011111111,111111111,398.89,-5.86,False
