Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank.1,Divergence_Rank,Divergence_Rank.1,Penalty,Penalty.1,Average_Rank,Average_Rank.1,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank.2,Total_Return_Rank.3,Divergence_Rank.2,Divergence_Rank.3,Penalty.2,Penalty.3,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank.2,Average_Rank.3,Interval_Dice,Alpha_Dice,Grid_Score,Max_Divergence_Score,Y3_Beat_VOO_Score,Y3_Premium_Score,Y3_Premium_50p_Score,Y3_Premium_100p_Score,Y3_Premium_Wins,Y3_Premium_Total,Y3_Confidence,Beat_Score,Beat_Score_50p,Beat_Score_100p,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,High_52W,Pct_From_52W_High,At_52W_High
1,NVDA,Semiconductors,3768.9,92.3,1.4,0.6,6.0,5.5,7.8,7.2,76.1,388.8,947.1,3768.9,4013.4,-12.1,1.1,3552.1,752.3,3919.8,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,2.2999999999999545,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,111111111,101111111,206.9,218.0,177.8,155.6,155.6,133.3,7.0,9.0,1.0,580.5,580.5,558.2,5445389837356.57,5445.39,1.0,cap10,equity,data_raw,,,True
2,BTC-USD,Cryptocurrency,2085.3,58.8,2.6,3.5,19.0,23.1,16.0,-3.6,-4.8,36.5,140.8,2085.3,3326.6,-9.6,1.4,3784.8,1741.1,2236.1,8.0,8.0,8.0,8.0,0.0,0.0,2.0,2.0,0,-370.8000000000002,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,8.0,8.0,8.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,111100111,111110111,184.7,190.0,177.8,177.8,177.8,155.6,8.0,9.0,1.0,552.5,552.5,530.3,1694743671293.16,1694.744,,crypto,crypto,data_raw,,,True
3,AMD,Semiconductors,2617.9,98.5,4.8,9.0,29.3,22.0,74.4,127.1,251.3,333.5,468.1,2617.9,2658.5,-27.9,1.3,1193.0,156.1,2768.8,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,1,-126.29999999999998,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,3.0,3.0,3.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,3.0,111111111,111101011,195.8,190.0,155.6,155.6,155.6,155.6,7.0,9.0,1.0,541.4,541.4,541.4,1003335461650.41,1003.335,13.0,cap100,equity,data_raw,,,True
4,BNB-USD,Cryptocurrency,2517.1,44.9,0.3,-0.2,20.2,21.3,17.1,-3.7,15.7,23.0,766.5,2517.1,5605.5,-25.2,1.4,6011.4,3112.5,2632.6,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,-1,-678.5999999999999,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,4.0,4.0,4.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.0,4.0,011101111,--0111111,179.5,190.0,171.4,171.4,171.4,171.4,6.0,7.0,1.0,540.9,540.9,540.9,101971238069.97,101.971,,crypto,crypto,data_raw,,,True
5,ANET,Networking Equipment,1009.4,95.3,2.2,1.2,8.1,13.2,21.4,25.8,85.8,233.0,474.9,1009.4,1060.4,-19.6,1.2,745.4,141.0,1160.2,16.0,16.0,18.0,18.0,0.0,0.0,5.0,5.0,2,-37.5,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,16.0,16.0,18.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,5.0,111111111,100111111,195.8,150.0,155.6,155.6,155.6,111.1,7.0,9.0,1.0,501.4,501.4,456.9,256621380668.14,256.621,49.0,cap100,equity,data_raw,,,True
6,TRX-USD,Cryptocurrency,794.2,12.1,0.1,-0.2,2.2,1.5,0.3,-0.6,54.5,144.7,449.6,794.2,6637.4,-26.9,1.2,6477.6,4714.0,909.8,25.0,25.0,24.0,24.0,0.0,0.0,6.0,6.0,4,-293.1999999999998,STRONG_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,25.0,25.0,24.0,24.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,6.0,011101111,--0111111,179.5,150.0,171.4,171.4,171.4,171.4,6.0,7.0,1.0,500.9,500.9,500.9,32317268589.98,32.317,,crypto,crypto,data_raw,,,True
7,LEU,Energy/Nuclear,1825.9,29.7,1.2,3.4,-14.3,-15.6,-24.0,-39.6,53.9,119.8,493.8,1825.9,6294.9,-65.3,1.6,10106.7,4554.7,1976.8,9.0,9.0,10.0,10.0,0.0,0.0,7.0,7.0,-2,1009.2999999999996,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,9.0,9.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,7.0,100001111,001111111,151.39999999999998,190.0,155.6,155.6,155.6,133.3,7.0,9.0,1.0,497.0,497.0,474.7,2985937571.3,2.986,560.0,other,equity,data_raw,,,True
8,FTNT,Cybersecurity Software,689.8,100.0,2.7,4.4,8.3,11.5,51.8,75.6,87.6,91.9,193.1,689.8,690.1,-20.2,1.4,345.6,71.1,840.7,29.0,29.0,29.0,29.0,0.0,0.0,8.0,8.0,4,-31.80000000000001,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,29.0,29.0,29.0,29.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,8.0,111111111,111111101,206.9,110.0,177.8,177.8,177.8,111.1,8.0,9.0,1.0,494.7,494.7,428.0,131143982367.63,131.144,93.0,cap100,equity,data_raw,,,True
9,AXON,Public Safety Technology,685.6,55.9,-2.5,-3.3,6.0,20.8,17.8,-1.4,20.6,92.8,187.2,685.6,1246.3,-25.7,1.6,1344.6,606.2,836.4,30.0,30.0,30.0,30.0,0.0,0.0,9.0,9.0,-3,0.0,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,30.0,30.0,30.0,30.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,9.0,011101111,111111111,195.8,110.0,200.0,177.8,177.8,133.3,8.0,9.0,1.0,483.6,483.6,439.1,49350103277.53,49.35,250.0,large,equity,data_raw,,,True
10,LRCX,Semiconductor Equipment,1044.7,64.6,4.8,5.8,3.3,-5.6,4.4,44.2,173.2,270.9,390.9,1044.7,1603.7,-7.6,1.2,1058.5,197.8,1195.6,15.0,15.0,16.0,16.0,0.0,0.0,10.0,10.0,6,-18.299999999999983,EARLY_UP,UPPER_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,15.0,15.0,16.0,16.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,10.0,110111111,111111011,195.8,150.0,177.8,133.3,133.3,88.9,6.0,9.0,1.0,479.1,479.1,434.7,384505915352.51,384.506,31.0,cap100,equity,data_raw,,,True
