Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank.1,Divergence_Rank,Divergence_Rank.1,Penalty,Penalty.1,Average_Rank,Average_Rank.1,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank.2,Total_Return_Rank.3,Divergence_Rank.2,Divergence_Rank.3,Penalty.2,Penalty.3,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank.2,Average_Rank.3,Interval_Dice,Alpha_Dice,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,High_52W,Pct_From_52W_High,At_52W_High
1,FIX,Engineering & Construction,2940.4,93.6,2.8,3.0,5.5,15.0,44.6,105.2,421.6,984.1,1834.5,2940.4,3095.3,-40.0,1.1,1472.1,196.1435719137318,3085.4,2.0,2.0,2.0,2.0,8.89,8.89,34.34,34.34,3,-18.3852570250547,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,2.0,2.0,2.0,2.0,8.89,8.89,29.0,0.0,0.0,0.0,0.0,34.34,34.34,111111111,100111111,67967332618.78,67.967,187.0,large,equity,data_raw,2073.9883,-6.86,False
2,VRT,Electrical Equipment & Parts,1451.7,82.3,4.2,4.9,-2.8,5.1,34.1,71.1,298.1,918.2,1278.7,1451.7,1741.3,-60.9,1.3,937.9,190.52905764651368,1551.6,11.0,11.0,10.0,10.0,12.07,12.07,44.92,44.92,9,-22.04961160365633,STRONG_DOWN,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,11.0,11.0,10.0,10.0,12.07,12.07,44.0,0.0,0.0,0.0,0.0,44.92,44.92,101111111,---101111,121985272627.57,121.985,101.0,large,equity,data_raw,379.93,-16.41,False
3,PWR,Construction & Engineering,1028.1,88.4,1.1,1.1,-0.1,8.3,26.6,44.9,113.6,225.8,545.7,1028.1,1124.7,-22.8,1.1,665.0,130.46606019605096,1173.1,17.0,17.0,17.0,17.0,9.29,9.29,51.44,51.44,10,-13.897960554639551,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,17.0,17.0,17.0,17.0,9.29,9.29,58.0,0.0,0.0,0.0,0.0,51.44,51.44,101111111,001111111,107270493849.07,107.27,115.0,large,equity,data_raw,788.72,-9.37,False
4,HWM,Aerospace & Defense,817.3,100.0,4.9,7.1,14.3,8.6,18.2,27.4,176.2,358.1,604.5,817.3,783.4,-54.6,1.1,532.8,76.5,945.6,22.0,22.0,23.0,23.0,5.0,5.0,51.65,51.65,3,-9.402570321602624,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,22.0,22.0,23.0,23.0,5.0,5.0,73.0,0.0,0.0,-6.0,0.0,51.65,51.65,111111111,-01111111,113322446805.8,113.322,110.0,large,equity,data_raw,285.625,-0.84,False
5,LRCX,Semiconductor Equipment,1367.5,95.9,-4.1,2.1,31.6,42.7,66.7,145.0,277.0,390.8,588.4,1367.5,1411.5,-7.6,1.3,507.9,63.4192095838294,1512.5,12.0,12.0,12.0,12.0,11.44,11.44,53.24,53.24,-3,6.119209583829402,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,12.0,12.0,12.0,12.0,11.44,11.44,14.0,0.0,0.0,0.0,0.0,53.24,53.24,111111111,111111011,467938647620.54,467.939,25.0,cap100,equity,data_raw,397.54,-5.88,False
6,AMD,Semiconductors,2201.6,93.2,-0.7,0.3,21.0,80.1,97.7,149.6,212.7,275.1,417.0,2201.6,2363.0,-27.9,1.5,864.0,158.62080656792278,2346.6,6.0,6.0,6.0,6.0,15.89,15.89,55.09,55.09,2,-19.380504130684105,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,6.0,6.0,6.0,6.0,15.89,15.89,8.0,0.0,0.0,12.0,0.0,55.09,55.09,111111111,111101011,835650183627.05,835.65,16.0,cap100,equity,data_raw,558.37,-8.22,False
7,JBL,Electronic Manufacturing Services,687.7,96.7,-3.3,-2.5,6.5,17.8,35.3,49.3,117.5,233.2,414.0,687.7,662.0,-28.8,1.1,350.5,51.70793537937914,832.7,29.0,29.0,32.0,32.0,0.0,0.0,57.55,57.55,12,2.163818871653895,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,29.0,29.0,32.0,32.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,57.55,57.55,011111111,111111111,39561374356.65,39.561,272.0,large,equity,data_raw,428.9322,-12.58,False
8,NVDA,Semiconductors,3487.4,85.4,-0.2,-0.2,-3.1,1.2,1.5,2.9,85.9,389.1,1027.2,3487.4,4013.4,-12.1,1.1,3516.0,835.6216387979747,3632.4,1.0,1.0,1.0,1.0,5.07,5.07,57.77,57.77,-2,5.237943459897224,STRONG_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,1.0,1.0,1.0,1.0,5.07,5.07,193.0,0.0,0.0,25.0,-12.0,57.77,57.77,001111111,101111111,4956827502166.75,4956.828,1.0,cap10,equity,data_raw,236.54,-13.48,False
9,SMH,Unknown,651.8,95.8,-1.0,0.7,12.2,29.0,42.3,67.4,133.0,212.9,325.8,651.8,680.5,-5.3,1.2,310.0,52.385738715878816,796.8,33.0,33.0,33.0,33.0,0.0,0.0,58.25,58.25,9,-2.087478304371551,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,33.0,33.0,33.0,33.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,58.25,58.25,111111111,111111111,67822489600.0,67.822,,etf,etf,data_raw,649.24,-3.89,False
10,ANET,Networking Equipment,798.7,88.6,1.2,1.1,-4.2,6.5,10.3,15.5,66.3,191.7,382.1,798.7,904.1,-19.6,1.3,684.1,156.04757539145686,943.7,23.0,23.0,25.0,25.0,9.83,9.83,62.88,62.88,23,-24.380551022688053,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,23.0,23.0,25.0,25.0,9.83,9.83,120.0,0.0,0.0,0.0,0.0,62.88,62.88,101111111,100111111,207674806186.91,207.675,59.0,cap100,equity,data_raw,179.79,-8.27,False
