Date,rate_CTSH_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,7.1181,-3.7423
2016-03,-3.3328,0.3764
2016-04,5.9896,5.1946
2016-05,-3.3943,3.5695
2016-06,1.8637,4.8356
2016-07,-4.9913,4.3651
2016-08,-2.201,7.2005
2016-09,-3.3812,6.5176
2016-10,-19.6548,5.8316
2016-11,-11.1615,2.6321
2016-12,-5.655,6.5262
2017-01,-1.7735,8.6002
2017-02,-7.9291,9.8701
2017-03,6.4054,14.9815
2017-04,4.6878,12.5254
2017-05,5.8442,13.1716
2017-06,18.063,14.581
2017-07,15.3341,14.626
2017-08,19.8857,16.4591
2017-09,21.9137,15.9061
2017-10,23.7827,17.2911
2017-11,24.3886,19.4181
2017-12,20.4227,21.7575
2018-01,18.9972,22.6249
2018-02,29.0211,28.3844
2018-03,33.4297,21.0506
2018-04,31.9417,18.8566
2018-05,32.9421,18.843
2018-06,24.151,22.0592
2018-07,26.744,20.962
2018-08,30.8182,24.4135
2018-09,24.3789,27.7869
2018-10,21.3511,28.1445
2018-11,7.8609,19.3954
2018-12,11.7804,19.8359
2019-01,-0.6759,8.7501
2019-02,9.7618,17.203
2019-03,12.9213,21.2677
2019-04,15.2719,23.6016
2019-05,12.2896,25.5902
2019-06,-3.6052,17.8911
2019-07,0.1389,26.7327
2019-08,3.4514,25.8061
2019-09,-4.1319,24.2046
2019-10,-5.2462,24.595
2019-11,-4.1797,29.5299
2019-12,0.7315,32.3145
2020-01,-2.5695,35.5516
2020-02,-3.525,34.7733
2020-03,-2.7801,23.2161
2020-04,-32.1354,2.6957
2020-05,-8.9824,17.923
2020-06,-14.3504,27.1545
2020-07,-8.2835,29.2791
2020-08,11.2414,35.3897
2020-09,9.2023,45.4969
2020-10,12.8812,38.8421
2020-11,16.0535,33.8054
2020-12,27.8733,49.4413
2021-01,32.7355,52.4925
2021-02,27.1804,52.5474
2021-03,20.6799,57.1165
2021-04,26.8633,62.2404
2021-05,28.8785,68.0147
2021-06,14.1038,67.9506
2021-07,11.7285,71.7835
2021-08,17.4458,73.9065
2021-09,22.8296,78.108
2021-10,20.0097,70.559
2021-11,24.0647,79.7147
2021-12,22.2968,74.8714
2022-01,40.8084,83.8439
2022-02,36.6122,74.2485
2022-03,35.5649,64.4857
2022-04,41.7174,72.8765
2022-05,26.8795,56.3809
2022-06,16.4412,54.7432
2022-07,6.5926,43.9638
2022-08,5.866,54.5402
2022-09,-0.3258,48.4061
2022-10,-9.7506,33.808
2022-11,-1.6251,43.6413
2022-12,-1.0402,51.6237
2023-01,-9.6115,42.3283
2023-02,8.9359,52.4008
2023-03,-0.9393,45.8599
2023-04,-3.2174,52.4428
2023-05,-4.914,54.1535
2023-06,-0.6625,55.8684
2023-07,4.2793,63.7729
2023-08,5.1413,67.9151
2023-09,15.856,65.3142
2023-10,9.2482,56.4671
2023-11,4.6694,54.158
2023-12,14.5238,66.8181
2024-01,21.9775,72.7134
2024-02,25.5379,77.0248
2024-03,28.3809,84.7703
2024-04,16.9132,89.0895
2024-05,6.3623,80.3005
2024-06,9.0302,89.1407
2024-07,11.5577,96.817
2024-08,25.5438,94.9948
2024-09,28.187,101.4737
2024-10,25.1538,104.2286
2024-11,22.4859,104.0979
2024-12,32.4029,114.1559
2025-01,26.2095,108.1307
2025-02,35.3216,112.719
2025-03,36.6828,109.0154
2025-04,25.0933,97.097
2025-05,22.8757,95.2965
2025-06,32.5703,105.2137
2025-07,31.3849,114.7559
2025-08,15.0564,115.142
2025-09,18.133,122.2543
2025-10,8.6365,129.8729
2025-11,18.9243,133.4127
2025-12,26.6842,131.7276
2026-01,35.5576,131.8756
2026-02,4.7821,131.1612
