Date,Period,rate,rate_vs
2026-01-01,1m,0.0,0.0
2026-02-01,1m,8.3649,1.3481
2026-02-27,1m,13.4325,-0.1825
2025-11-01,3m,0.0,0.0
2025-12-01,3m,10.7143,-0.3421
2026-01-01,3m,27.8731,0.3183
2026-02-01,3m,28.5937,1.6308
2026-02-27,3m,32.2642,0.3869
2025-08-01,6m,0.0,0.0
2025-09-01,6m,0.1118,3.6814
2025-10-01,6m,-8.3432,5.7777
2025-11-01,6m,-6.0027,5.9249
2025-12-01,6m,5.8076,4.1656
2026-01-01,6m,27.0459,3.8709
2026-02-01,6m,32.9033,4.7048
2026-02-27,6m,39.6368,3.1846
2025-02-01,1y,0.0,0.0
2025-03-01,1y,4.2864,-1.3637
2025-04-01,1y,20.5631,-5.9499
2025-05-01,1y,18.2691,-4.4561
2025-06-01,1y,22.0875,1.9809
2025-07-01,1y,39.4863,6.768
2025-08-01,1y,25.7659,6.3077
2025-09-01,1y,22.3289,9.3815
2025-10-01,1y,9.5465,12.4342
2025-11-01,1y,8.0068,13.2943
2025-12-01,1y,18.7995,11.6835
2026-01-01,1y,42.1702,11.2102
2026-02-01,1y,50.3957,11.8657
2026-02-27,1y,59.5961,10.0559
2024-02-01,2y,0.0,0.0
2024-03-01,2y,9.6242,4.7367
2024-04-01,2y,10.4404,5.1983
2024-05-01,2y,-6.1068,-0.9076
2024-06-01,2y,-5.0699,4.6246
2024-07-01,2y,-8.511,8.389
2024-08-01,2y,-14.1019,6.4931
2024-09-01,2y,-39.3068,9.5721
2024-10-01,2y,-33.22,10.3747
2024-11-01,2y,-31.3084,9.6696
2024-12-01,2y,-32.1317,14.5959
2025-01-01,2y,-30.5479,10.6198
2025-02-01,2y,-31.9699,12.6831
2025-03-01,2y,-26.4243,10.2867
2025-04-01,2y,-10.8931,3.7865
2025-05-01,2y,-6.5436,3.0354
2025-06-01,2y,0.8033,8.5308
2025-07-01,2y,19.4499,13.5572
2025-08-01,2y,12.0196,13.5293
2025-09-01,2y,11.6172,17.082
2025-10-01,2y,1.7617,20.7752
2025-11-01,2y,1.2344,22.2112
2025-12-01,2y,12.1253,20.9033
2026-01-01,2y,35.5067,20.6387
2026-02-01,2y,45.3792,21.5103
2026-02-27,2y,56.3811,19.6788
2023-02-01,3y,0.0,0.0
2023-03-01,3y,-9.3517,-4.003
2023-04-01,3y,-6.2098,2.7412
2023-05-01,3y,0.4848,3.3417
2023-06-01,3y,-26.2118,4.0328
2023-07-01,3y,-17.1234,8.8745
2023-08-01,3y,-14.6648,10.5685
2023-09-01,3y,-32.3935,7.8302
2023-10-01,3y,-41.8143,1.5533
2023-11-01,3y,-29.8582,0.2593
2023-12-01,3y,-15.3654,8.8574
2024-01-01,3y,-13.1729,12.3307
2024-02-01,3y,-11.6567,14.5711
2024-03-01,3y,-2.0823,18.9348
2024-04-01,3y,3.3742,20.8845
2024-05-01,3y,-9.4299,14.4718
2024-06-01,3y,-9.291,19.6572
2024-07-01,3y,-12.9693,23.8772
2024-08-01,3y,-18.8598,21.9939
2024-09-01,3y,-43.2915,25.434
2024-10-01,3y,-40.0676,26.4622
2024-11-01,3y,-39.7163,25.7231
2024-12-01,3y,-41.3255,31.3137
2025-01-01,3y,-40.6677,26.9188
2025-02-01,3y,-42.3336,29.1825
2025-03-01,3y,-38.0386,26.3918
2025-04-01,3y,-25.1059,18.7826
2025-05-01,3y,-21.1158,17.522
2025-06-01,3y,-14.4734,23.3618
2025-07-01,3y,1.9883,28.8313
2025-08-01,3y,-3.544,28.6953
2025-09-01,3y,-3.2288,32.6025
2025-10-01,3y,-11.2183,36.7343
2025-11-01,3y,-11.2658,38.3695
2025-12-01,3y,-1.2969,36.9054
2026-01-01,3y,19.8953,36.5824
2026-02-01,3y,29.4519,37.528
2026-02-27,3y,40.1429,35.4167
2021-02-01,5y,0.0,0.0
2021-03-01,5y,-0.0222,3.4683
2021-04-01,5y,4.8608,5.6108
2021-05-01,5y,9.7189,8.0473
2021-06-01,5y,0.6059,6.6351
2021-07-01,5y,8.6398,8.3562
2021-08-01,5y,15.3077,8.9491
2021-09-01,5y,8.2683,10.9516
2021-10-01,5y,0.7319,5.5981
2021-11-01,5y,6.2581,11.2581
2021-12-01,5y,6.7335,7.829
2022-01-01,5y,12.3231,13.2783
2022-02-01,5y,-1.1184,6.9785
2022-03-01,5y,-4.8591,1.0534
2022-04-01,5y,7.4724,6.6803
2022-05-01,5y,12.5357,-3.3712
2022-06-01,5y,2.9437,-3.7293
2022-07-01,5y,15.9519,-9.8271
2022-08-01,5y,18.5067,-2.2436
2022-09-01,5y,13.1861,-5.5982
2022-10-01,5y,11.1731,-14.2904
2022-11-01,5y,17.4766,-6.9789
2022-12-01,5y,8.5054,-1.1167
2023-01-01,5y,13.4202,-6.7587
2023-02-01,5y,8.2319,0.4895
2023-03-01,5y,-2.0942,-3.4593
2023-04-01,5y,-3.5436,1.4
2023-05-01,5y,1.2787,2.8848
2023-06-01,5y,-25.5568,4.3341
2023-07-01,5y,-20.9934,9.9031
2023-08-01,5y,-20.6491,12.8244
2023-09-01,5y,-38.1182,11.1558
2023-10-01,5y,-48.7772,5.3223
2023-11-01,5y,-41.1607,4.0061
2023-12-01,5y,-30.4949,12.8349
2024-01-01,5y,-28.9682,16.9284
2024-02-01,5y,-27.8176,19.8835
2024-03-01,5y,-19.9697,25.1213
2024-04-01,5y,-15.0808,27.9606
2024-05-01,5y,-25.0946,21.9019
2024-06-01,5y,-24.8379,27.8663
2024-07-01,5y,-27.7375,32.9611
2024-08-01,5y,-32.5689,31.5793
2024-09-01,5y,-52.9179,35.8268
2024-10-01,5y,-50.8446,37.5167
2024-11-01,5y,-50.9789,37.2547
2024-12-01,5y,-52.626,43.853
2025-01-01,5y,-52.4184,39.5864
2025-02-01,5y,-54.0053,42.4985
2025-03-01,5y,-50.8378,39.8374
2025-04-01,5y,-40.7455,31.7301
2025-05-01,5y,-37.5218,30.4828
2025-06-01,5y,-32.1264,37.0833
2025-07-01,5y,-18.8123,43.3688
2025-08-01,5y,-22.836,43.4874
2025-09-01,5y,-22.2586,48.096
2025-10-01,5y,-28.3863,53.0024
2025-11-01,5y,-28.2011,55.1559
2025-12-01,5y,-19.8924,53.8294
2026-01-01,5y,-2.3191,53.7419
2026-02-01,5y,5.9978,55.0595
2026-02-27,5y,15.3553,52.9195
2019-02-01,7y,0.0,0.0
2019-03-01,7y,3.7731,3.7678
2019-04-01,7y,0.8396,4.265
2019-05-01,7y,5.4622,4.9674
2019-06-01,7y,6.9797,-2.1685
2019-07-01,7y,12.6881,5.9986
2019-08-01,7y,7.7902,4.7303
2019-09-01,7y,25.9857,3.1989
2019-10-01,7y,25.0444,3.5599
2019-11-01,7y,23.1576,7.703
2019-12-01,7y,18.9122,9.7555
2020-01-01,7y,16.1562,12.095
2020-02-01,7y,13.1455,11.0369
2020-03-01,7y,9.8533,1.256
2020-04-01,7y,11.2192,-15.3739
2020-05-01,7y,25.0336,-1.605
2020-06-01,7y,36.6652,6.5063
2020-07-01,7y,34.0811,8.3207
2020-08-01,7y,32.0852,13.4194
2020-09-01,7y,36.8969,21.6915
2020-10-01,7y,42.8972,15.7219
2020-11-01,7y,39.2183,11.3363
2020-12-01,7y,44.7597,24.2998
2021-01-01,7y,36.6121,26.4539
2021-02-01,7y,24.0407,26.1056
2021-03-01,7y,23.1706,29.5241
2021-04-01,7y,28.2975,33.3424
2021-05-01,7y,35.274,37.6318
2021-06-01,7y,25.6921,37.0873
2021-07-01,7y,34.9582,39.7623
2021-08-01,7y,43.9308,41.0252
2021-09-01,7y,36.4144,43.9746
2021-10-01,7y,27.0849,37.4279
2021-11-01,7y,33.3101,44.4618
2021-12-01,7y,33.7197,40.1701
2022-01-01,7y,40.5236,47.028
2022-02-01,7y,23.8555,38.9827
2022-03-01,7y,18.4532,30.9537
2022-04-01,7y,32.7803,37.4949
2022-05-01,7y,38.8052,24.1932
2022-06-01,7y,26.9753,22.8679
2022-07-01,7y,42.5243,14.3072
2022-08-01,7y,45.7484,22.8124
2022-09-01,7y,39.3377,17.9473
2022-10-01,7y,36.782,6.4049
2022-11-01,7y,44.3686,14.4227
2022-12-01,7y,33.3577,20.8917
2023-01-01,7y,39.1339,13.5221
2023-02-01,7y,32.6482,21.6789
2023-03-01,7y,19.7569,16.4978
2023-04-01,7y,17.5006,21.8499
2023-05-01,7y,22.8501,23.2649
2023-06-01,7y,-9.9817,24.6749
2023-07-01,7y,-5.3814,31.0291
2023-08-01,7y,-5.702,34.3278
2023-09-01,7y,-26.9922,32.213
2023-10-01,7y,-40.316,25.1236
2023-11-01,7y,-32.5727,23.3153
2023-12-01,7y,-21.304,33.5003
2024-01-01,7y,-20.2051,38.206
2024-02-01,7y,-19.481,41.6171
2024-03-01,7y,-11.2951,47.7564
2024-04-01,7y,-6.2969,51.1216
2024-05-01,7y,-17.6323,44.0014
2024-06-01,7y,-17.7612,51.0057
2024-07-01,7y,-21.3043,57.0426
2024-08-01,7y,-26.9314,55.4742
2024-09-01,7y,-49.2702,60.5357
2024-10-01,7y,-47.6169,62.6077
2024-11-01,7y,-48.2602,62.3779
2024-12-01,7y,-50.4517,70.2558
2025-01-01,7y,-50.6856,65.3193
2025-02-01,7y,-52.7339,68.8407
2025-03-01,7y,-49.9063,65.7723
2025-04-01,7y,-40.049,56.2151
2025-05-01,7y,-37.0721,54.7252
2025-06-01,7y,-31.8939,62.5268
2025-07-01,7y,-18.7636,69.9982
2025-08-01,7y,-22.8914,70.195
2025-09-01,7y,-22.4393,75.7136
2025-10-01,7y,-28.6586,81.6112
2025-11-01,7y,-28.6153,84.2665
2025-12-01,7y,-20.503,82.7934
2026-01-01,7y,-3.1694,82.7773
2026-02-01,7y,5.075,84.4252
2026-02-27,7y,14.3927,81.9604
2016-01-04,max,0.0,0.0
2016-01-31,max,4.8023,1.4254
2016-02-29,max,0.7317,0.6142
2016-03-31,max,16.381,6.1243
2016-04-30,max,8.5957,4.6014
2016-05-31,max,18.7702,6.4274
2016-06-30,max,17.8288,5.4172
2016-07-31,max,15.8359,8.241
2016-08-31,max,-8.6705,7.1734
2016-09-30,max,-11.1101,6.0946
2016-10-31,max,-12.2463,4.2256
2016-11-30,max,-0.3863,7.4378
2016-12-31,max,-3.7976,8.6808
2017-01-31,max,-4.3914,10.584
2017-02-28,max,-4.9855,13.7336
2017-03-31,max,-8.6119,12.6481
2017-04-30,max,-3.6303,13.8106
2017-05-31,max,-2.4058,14.2838
2017-06-30,max,-4.4099,14.9288
2017-07-31,max,0.7442,17.2682
2017-08-31,max,-2.7381,16.4998
2017-09-30,max,8.5193,17.7963
2017-10-31,max,9.259,20.5148
2017-11-30,max,18.1885,22.8734
2017-12-31,max,23.7247,23.1768
2018-01-31,max,36.013,28.6051
2018-02-28,max,23.4109,22.6019
2018-03-31,max,20.9904,18.5388
2018-04-30,max,25.2081,18.9468
2018-05-31,max,12.4508,20.8823
2018-06-30,max,25.763,20.8028
2018-07-31,max,25.5591,25.0769
2018-08-31,max,36.5911,27.9767
2018-09-30,max,38.5798,28.7132
