Date,Period,rate,rate_vs
2023-09-01,7y,-13.9622,27.8802
2023-10-01,7y,-16.9271,21.0321
2023-11-01,7y,-24.5969,19.3044
2023-12-01,7y,-14.3476,29.1846
2024-01-01,7y,-10.7756,33.7473
2024-02-01,7y,-4.3844,37.0509
2024-03-01,7y,-9.1854,42.9907
2024-04-01,7y,-4.5535,46.2381
2024-05-01,7y,-11.2064,39.3363
2024-06-01,7y,-10.4901,46.1119
2024-07-01,7y,-12.6866,51.9433
2024-08-01,7y,-8.6582,50.4104
2024-09-01,7y,0.6744,55.2944
2024-10-01,7y,4.6623,57.2817
2024-11-01,7y,4.6669,57.0418
2024-12-01,7y,0.4943,64.6441
2025-01-01,7y,-4.8095,59.8481
2025-02-01,7y,8.3046,63.2363
2025-03-01,7y,9.6103,60.2517
2025-04-01,7y,7.7684,50.9993
2025-05-01,7y,1.6559,49.555
2025-06-01,7y,0.9258,57.0937
2025-07-01,7y,10.5187,64.3067
2025-08-01,7y,11.1044,64.4832
2025-09-01,7y,15.2624,69.8033
2025-10-01,7y,20.1776,75.4856
2025-11-01,7y,14.7102,78.0311
2025-12-01,7y,30.4771,76.5873
2026-01-01,7y,20.921,76.5533
2026-02-01,7y,29.3216,78.1275
2026-03-01,7y,22.3157,75.7296
2026-04-01,7y,7.5433,66.8116
2026-05-01,7y,-0.1161,82.6062
2026-06-01,7y,-7.6322,91.1456
2026-07-01,7y,1.6807,86.8161
2026-07-28,7y,11.5147,84.5738
2016-01-04,max,0.0,0.0
2016-02-01,max,1.324,-3.7423
2016-03-01,max,-2.8835,0.3764
2016-04-01,max,0.1195,5.1946
2016-05-01,max,5.0827,3.5695
2016-06-01,max,5.8471,4.8356
2016-07-01,max,13.3335,4.3651
2016-08-01,max,13.2835,7.2005
2016-09-01,max,10.2413,6.5176
2016-10-01,max,8.9041,5.8316
2016-11-01,max,1.153,2.6321
2016-12-01,max,-10.2485,6.5262
2017-01-01,max,-9.6801,8.6002
2017-02-01,max,-2.8459,9.8701
2017-03-01,max,5.1254,14.9815
2017-04-01,max,3.3983,12.5254
2017-05-01,max,7.252,13.1716
2017-06-01,max,9.8044,14.581
2017-07-01,max,12.643,14.626
2017-08-01,max,5.9542,16.4591
2017-09-01,max,1.2615,15.9061
2017-10-01,max,-1.1041,17.2911
2017-11-01,max,2.1724,19.4181
2017-12-01,max,3.2938,21.7575
2018-01-01,max,3.0762,22.6249
2018-02-01,max,8.3415,28.3844
2018-03-01,max,-0.4741,21.0506
2018-04-01,max,2.5654,18.8566
2018-05-01,max,3.4788,18.843
2018-06-01,max,12.0566,22.0592
2018-07-01,max,8.8292,20.962
2018-08-01,max,15.0453,24.4135
2018-09-01,max,22.405,27.7869
2018-10-01,max,25.6117,28.1445
2018-11-01,max,14.8911,19.3954
2018-12-01,max,21.9395,19.8359
2019-01-01,max,13.7762,8.7501
2019-02-01,max,10.0968,17.203
2019-03-01,max,14.5295,21.2677
2019-04-01,max,13.0388,23.6016
2019-05-01,max,9.7518,25.5902
2019-06-01,max,14.8067,17.8911
2019-07-01,max,21.2759,26.7327
2019-08-01,max,28.0304,25.8061
2019-09-01,max,34.2582,24.2046
2019-10-01,max,34.5712,24.595
2019-11-01,max,34.2496,29.5299
2019-12-01,max,36.9868,32.3145
2020-01-01,max,39.3935,35.5516
2020-02-01,max,41.0178,34.7733
2020-03-01,max,22.2581,23.2161
2020-04-01,max,2.4341,2.6957
2020-05-01,max,15.8112,17.923
2020-06-01,max,17.9028,27.1545
2020-07-01,max,12.4725,29.2791
2020-08-01,max,17.301,35.3897
2020-09-01,max,30.3772,45.4969
2020-10-01,max,24.2392,38.8421
2020-11-01,max,21.7249,33.8054
2020-12-01,max,35.3162,49.4413
2021-01-01,max,41.4298,52.4925
2021-02-01,max,33.5871,52.5474
2021-03-01,max,41.0374,57.1165
2021-04-01,max,41.4684,62.2404
2021-05-01,max,55.9854,68.0147
2021-06-01,max,47.8593,67.9506
2021-07-01,max,49.4554,71.7835
2021-08-01,max,54.8226,73.9065
2021-09-01,max,57.3694,78.108
2021-10-01,max,49.268,70.559
2021-11-01,max,40.3001,79.7147
2021-12-01,max,22.5771,74.8714
2022-01-01,max,20.6508,83.8439
2022-02-01,max,20.5287,74.2485
2022-03-01,max,20.3312,64.4857
2022-04-01,max,31.0501,72.8765
2022-05-01,max,21.1655,56.3809
2022-06-01,max,13.2671,54.7432
2022-07-01,max,6.4798,43.9638
2022-08-01,max,8.3751,54.5402
2022-09-01,max,2.9766,48.4061
2022-10-01,max,-5.3169,33.808
2022-11-01,max,2.9475,43.6413
2022-12-01,max,-7.0472,51.6237
2023-01-01,max,-7.9624,42.3283
2023-02-01,max,1.6718,52.4008
2023-03-01,max,-2.722,45.8599
2023-04-01,max,-3.6166,52.4428
2023-05-01,max,8.4545,54.1535
2023-06-01,max,-1.1176,55.8684
2023-07-01,max,6.112,63.7729
2023-08-01,max,5.5374,67.9151
2023-09-01,max,-1.2003,65.3142
2023-10-01,max,-4.8941,56.4671
2023-11-01,max,-13.9636,54.158
2023-12-01,max,-2.6998,66.8181
2024-01-01,max,1.0749,72.7134
2024-02-01,max,8.0669,77.0248
2024-03-01,max,2.4795,84.7703
2024-04-01,max,7.4904,89.0895
2024-05-01,max,-0.153,80.3005
2024-06-01,max,0.4401,89.1407
2024-07-01,max,-2.219,96.817
2024-08-01,max,2.0727,94.9948
2024-09-01,max,12.3089,101.4737
2024-10-01,max,16.649,104.2286
2024-11-01,max,16.579,104.0979
2024-12-01,max,11.8603,114.1559
2025-01-01,max,5.8612,108.1307
2025-02-01,max,20.2942,112.719
2025-03-01,max,21.6958,109.0154
2025-04-01,max,19.6113,97.097
2025-05-01,max,12.7787,95.2965
2025-06-01,max,11.8827,105.2137
2025-07-01,max,22.4192,114.7559
2025-08-01,max,23.0331,115.142
2025-09-01,max,27.6046,122.2543
2025-10-01,max,33.0356,129.8729
2025-11-01,max,26.9971,133.4127
2025-12-01,max,44.436,131.7276
2026-01-01,max,33.916,131.8756
2026-02-01,max,43.2338,134.1294
2026-03-01,max,35.5238,131.1612
2026-04-01,max,19.1711,119.5868
2026-05-01,max,10.6351,140.4983
2026-06-01,max,2.2304,151.9424
2026-07-01,max,12.4082,146.4571
2026-07-28,max,23.1971,143.6927
