Date,Period,rate,rate_vs
2023-12-01,7y,24.7952,33.5003
2024-01-01,7y,35.1737,38.206
2024-02-01,7y,28.7961,41.6171
2024-03-01,7y,34.1188,47.7564
2024-04-01,7y,40.0368,51.1216
2024-05-01,7y,32.8203,44.0014
2024-06-01,7y,24.4071,51.0057
2024-07-01,7y,21.1673,57.0426
2024-08-01,7y,35.7335,55.4742
2024-09-01,7y,35.2552,60.5357
2024-10-01,7y,38.3893,62.6077
2024-11-01,7y,28.7184,62.3779
2024-12-01,7y,29.3379,70.2558
2025-01-01,7y,25.9947,65.3193
2025-02-01,7y,41.6982,68.8407
2025-03-01,7y,19.1446,65.7723
2025-04-01,7y,6.2247,56.2151
2025-05-01,7y,-0.9234,54.7252
2025-06-01,7y,4.1693,62.5268
2025-07-01,7y,12.2796,69.9982
2025-08-01,7y,5.6513,70.195
2025-09-01,7y,16.8898,75.7136
2025-10-01,7y,28.9041,81.6112
2025-11-01,7y,35.7625,84.2665
2025-12-01,7y,38.7832,82.7934
2026-01-01,7y,25.3863,82.7773
2026-02-01,7y,23.2765,84.4252
2026-02-27,7y,11.542,81.9604
2016-01-04,max,0.0,0.0
2016-01-31,max,-7.296,-3.28
2016-02-29,max,-4.4691,-1.8027
2016-03-31,max,2.321,4.5695
2016-04-30,max,4.9535,3.6217
2016-05-31,max,16.4863,4.6859
2016-06-30,max,10.2256,4.2011
2016-07-31,max,17.846,7.3141
2016-08-31,max,12.9659,6.5393
2016-09-30,max,12.0553,5.8417
2016-10-31,max,3.0924,3.4057
2016-11-30,max,3.7934,7.0013
2016-12-31,max,7.648,8.6582
2017-01-31,max,15.0595,9.9058
2017-02-28,max,19.3513,13.4199
2017-03-31,max,21.8706,12.5861
2017-04-30,max,26.0609,12.9516
2017-05-31,max,36.3664,13.7442
2017-06-30,max,32.3133,14.6714
2017-07-31,max,31.6682,16.2352
2017-08-31,max,40.7709,15.7466
2017-09-30,max,37.7408,17.3266
2017-10-31,max,44.3996,19.2474
2017-11-30,max,44.9999,22.0133
2017-12-31,max,39.3971,22.6523
2018-01-31,max,51.4224,28.4864
2018-02-28,max,39.6458,22.6807
2018-03-31,max,34.8458,18.8927
2018-04-30,max,31.5864,18.6249
2018-05-31,max,22.8932,20.8091
2018-06-30,max,21.9266,20.9812
2018-07-31,max,29.7348,24.5763
2018-08-31,max,31.7787,27.7899
2018-09-30,max,36.6156,27.6747
2018-10-31,max,24.7237,18.1983
2018-11-30,max,38.4492,19.8597
2018-12-31,max,29.0371,8.8011
2019-01-31,max,44.5493,17.1215
2019-02-28,max,49.7558,20.4441
2019-03-31,max,50.1745,22.1999
2019-04-30,max,45.6973,26.5012
2019-05-31,max,23.5585,17.9266
2019-06-30,max,36.9494,25.7011
2019-07-31,max,26.754,26.9004
2019-08-31,max,29.2396,24.2426
2019-09-30,max,38.8589,26.142
2019-10-31,max,36.4882,28.3311
2019-11-30,max,44.6607,32.3256
2019-12-31,max,52.1181,35.5485
2020-01-31,max,46.1882,34.7719
2020-02-29,max,35.613,23.2511
2020-03-31,max,25.6973,7.5779
2020-04-30,max,34.0866,21.2186
2020-05-31,max,53.4789,26.5774
2020-06-30,max,53.1609,28.3766
2020-07-31,max,65.8913,35.3325
2020-08-31,max,71.6969,44.0777
2020-09-30,max,71.308,37.914
2020-10-31,max,72.3118,33.7633
2020-11-30,max,95.8862,47.7098
2020-12-31,max,96.9481,52.3667
2021-01-31,max,98.4461,49.9654
2021-02-28,max,99.9578,53.2453
2021-03-31,max,106.5732,60.4049
2021-04-30,max,115.6753,67.83
2021-05-31,max,121.0724,67.8968
2021-06-30,max,134.6051,70.6358
2021-07-31,max,142.3342,73.7106
2021-08-31,max,175.0716,77.7187
2021-09-30,max,144.6884,68.3779
2021-10-31,max,142.8716,79.119
2021-11-30,max,130.7931,76.6949
2021-12-31,max,142.2735,83.6042
2022-01-31,max,110.0619,72.9303
2022-02-28,max,95.1497,66.8181
2022-03-31,max,96.7925,72.1992
2022-04-30,max,76.5309,56.2223
2022-05-31,max,87.7241,55.8933
2022-06-30,max,73.7983,42.4002
2022-07-31,max,96.4138,54.8512
2022-08-31,max,86.7068,47.8158
2022-09-30,max,75.9445,33.7039
2022-10-31,max,99.496,44.0824
2022-11-30,max,122.0755,51.4429
2022-12-31,max,113.6702,42.1877
2023-01-31,max,116.4184,50.5828
2023-02-28,max,100.7497,46.2373
2023-03-31,max,94.5289,52.2586
2023-04-30,max,89.7049,54.0684
2023-05-31,max,61.1806,54.1996
2023-06-30,max,67.1578,63.548
2023-07-31,max,69.144,68.1942
2023-08-31,max,67.4165,64.7317
2023-09-30,max,53.9631,56.2636
2023-10-31,max,42.119,52.2886
2023-11-30,max,75.1385,65.5989
2023-12-31,max,90.6142,72.448
2024-01-31,max,77.808,74.4576
2024-02-29,max,86.8575,82.7177
2024-03-31,max,96.9912,89.0282
2024-04-30,max,84.919,80.6052
2024-05-31,max,75.1721,88.8335
2024-06-30,max,73.3927,96.0415
2024-07-31,max,88.6783,97.3583
2024-08-31,max,89.8296,101.128
2024-09-30,max,96.3185,105.7758
2024-10-31,max,71.8051,102.865
2024-11-30,max,81.1359,113.7798
2024-12-31,max,75.9662,107.7813
2025-01-31,max,98.0183,112.3595
2025-02-28,max,66.4471,108.6721
2025-03-31,max,51.6757,96.0839
2025-04-30,max,39.42,93.6359
2025-05-31,max,44.658,104.9003
2025-06-30,max,52.1085,114.5225
2025-07-31,max,47.8328,118.4064
2025-08-31,max,61.3485,121.8959
2025-09-30,max,64.5808,128.6764
2025-10-31,max,86.9321,133.0211
2025-11-30,max,95.2795,132.409
2025-12-31,max,72.4391,131.4906
2026-01-31,max,69.3606,133.7386
2026-02-27,max,53.0816,130.7823
