Date,Period,rate,rate_vs
2026-02-01,1m,0.0,0.0
2026-03-01,1m,-5.3098,-0.9007
2026-03-02,1m,-4.3611,-0.5003
2025-12-01,3m,0.0,0.0
2026-01-01,3m,-16.5383,0.4401
2026-02-01,3m,-34.7895,1.6219
2026-03-01,3m,-27.2301,0.2379
2026-03-02,3m,-21.8018,0.1535
2025-09-01,6m,0.0,0.0
2025-10-01,6m,6.3696,3.813
2025-11-01,6m,-22.5663,3.9231
2025-12-01,6m,-44.0561,2.3335
2026-01-01,6m,-44.0808,2.275
2026-02-01,6m,-53.9694,3.2753
2026-03-01,6m,-47.8599,1.8894
2026-03-02,6m,-42.0408,1.6052
2025-03-01,1y,0.0,0.0
2025-04-01,1y,-19.7869,-5.3512
2025-05-01,1y,0.0692,-3.1878
2025-06-01,1y,-7.6337,3.2563
2025-07-01,1y,-17.2318,7.6642
2025-08-01,1y,3.6508,6.7989
2025-09-01,1y,1.5913,9.648
2025-10-01,1y,7.9131,12.4957
2025-11-01,1y,-19.7309,13.1716
2025-12-01,1y,-45.6847,11.4262
2026-01-01,1y,-50.8138,10.8696
2026-02-01,1y,-61.7357,11.4647
2026-03-01,1y,-58.8628,9.6152
2026-03-02,1y,-55.1198,8.8679
2024-03-01,2y,0.0,0.0
2024-04-01,2y,77.7105,2.7119
2024-05-01,2y,18.087,-2.9445
2024-06-01,2y,105.0898,3.2648
2024-07-01,2y,51.0909,7.0758
2024-08-01,2y,7.4067,5.1656
2024-09-01,2y,-30.7534,8.2607
2024-10-01,2y,-10.0994,9.054
2024-11-01,2y,-15.7847,8.363
2024-12-01,2y,64.0306,13.2569
2025-01-01,2y,80.566,9.3123
2025-02-01,2y,59.4116,11.3791
2025-03-01,2y,17.749,9.0256
2025-04-01,2y,-6.5578,2.6295
2025-05-01,2y,4.3438,1.9477
2025-06-01,2y,-3.9076,7.4457
2025-07-01,2y,-15.4046,12.4545
2025-08-01,2y,2.8104,12.4397
2025-09-01,2y,1.2196,15.9727
2025-10-01,2y,7.7006,19.6361
2025-11-01,2y,-19.4312,21.0564
2025-12-01,2y,-46.3178,19.758
2026-01-01,2y,-53.396,19.4978
2026-02-01,2y,-65.2034,20.3651
2026-03-01,2y,-64.4469,18.5544
2026-03-02,2y,-62.5221,17.8082
2024-01-18,3y,0.0,0.0
2024-02-01,3y,-5.5624,2.5759
2024-03-01,3y,136.207,6.1394
2024-04-01,3y,239.3597,6.9885
2024-05-01,3y,137.777,0.8016
2024-06-01,3y,284.8277,6.0229
2024-07-01,3y,185.0735,9.7717
2024-08-01,3y,97.2098,7.8741
2024-09-01,3y,20.7078,10.9488
2024-10-01,3y,44.5673,11.758
2024-11-01,3y,29.4409,11.0366
2024-12-01,3y,141.8825,15.9998
2025-01-01,3y,163.5451,11.9854
2025-02-01,3y,130.9348,14.0482
2025-03-01,3y,68.9211,11.6076
2025-04-01,3y,31.9378,5.0015
2025-05-01,3y,44.3818,4.185
2025-06-01,3y,30.9264,9.6849
2025-07-01,3y,13.4632,14.7327
2025-08-01,3y,35.5835,14.6903
2025-09-01,3y,31.9365,18.264
2025-10-01,3y,38.8563,21.9874
2025-11-01,3y,2.9239,23.438
2025-12-01,3y,-32.2841,22.1178
2026-01-01,3y,-42.3063,21.8472
2026-02-01,3y,-57.7629,22.7223
2026-03-01,3y,-57.8635,20.8678
2026-03-02,3y,-56.4778,20.0913
2024-01-18,5y,0.0,0.0
2024-02-01,5y,-5.5624,2.5759
2024-03-01,5y,136.207,6.1394
2024-04-01,5y,239.3597,6.9885
2024-05-01,5y,137.777,0.8016
2024-06-01,5y,284.8277,6.0229
2024-07-01,5y,185.0735,9.7717
2024-08-01,5y,97.2098,7.8741
2024-09-01,5y,20.7078,10.9488
2024-10-01,5y,44.5673,11.758
2024-11-01,5y,29.4409,11.0366
2024-12-01,5y,141.8825,15.9998
2025-01-01,5y,163.5451,11.9854
2025-02-01,5y,130.9348,14.0482
2025-03-01,5y,68.9211,11.6076
2025-04-01,5y,31.9378,5.0015
2025-05-01,5y,44.3818,4.185
2025-06-01,5y,30.9264,9.6849
2025-07-01,5y,13.4632,14.7327
2025-08-01,5y,35.5835,14.6903
2025-09-01,5y,31.9365,18.264
2025-10-01,5y,38.8563,21.9874
2025-11-01,5y,2.9239,23.438
2025-12-01,5y,-32.2841,22.1178
2026-01-01,5y,-42.3063,21.8472
2026-02-01,5y,-57.7629,22.7223
2026-03-01,5y,-57.8635,20.8678
2026-03-02,5y,-56.4778,20.0913
2024-01-18,7y,0.0,0.0
2024-02-01,7y,-5.5624,2.5759
2024-03-01,7y,136.207,6.1394
2024-04-01,7y,239.3597,6.9885
2024-05-01,7y,137.777,0.8016
2024-06-01,7y,284.8277,6.0229
2024-07-01,7y,185.0735,9.7717
2024-08-01,7y,97.2098,7.8741
2024-09-01,7y,20.7078,10.9488
2024-10-01,7y,44.5673,11.758
2024-11-01,7y,29.4409,11.0366
2024-12-01,7y,141.8825,15.9998
2025-01-01,7y,163.5451,11.9854
2025-02-01,7y,130.9348,14.0482
2025-03-01,7y,68.9211,11.6076
2025-04-01,7y,31.9378,5.0015
2025-05-01,7y,44.3818,4.185
2025-06-01,7y,30.9264,9.6849
2025-07-01,7y,13.4632,14.7327
2025-08-01,7y,35.5835,14.6903
2025-09-01,7y,31.9365,18.264
2025-10-01,7y,38.8563,21.9874
2025-11-01,7y,2.9239,23.438
2025-12-01,7y,-32.2841,22.1178
2026-01-01,7y,-42.3063,21.8472
2026-02-01,7y,-57.7629,22.7223
2026-03-01,7y,-57.8635,20.8678
2026-03-02,7y,-56.4778,20.0913
2024-01-18,max,0.0,0.0
2024-01-31,max,-2.6718,2.3135
2024-02-29,max,99.9288,10.5736
2024-03-31,max,267.4526,16.8841
2024-04-30,max,130.3399,8.4611
2024-05-31,max,239.6127,16.6894
2024-06-30,max,187.72,23.8974
2024-07-31,max,101.7248,25.2143
2024-08-31,max,28.7653,28.9839
2024-09-30,max,50.2316,33.6317
2024-10-31,max,34.1767,30.7209
2024-11-30,max,133.7201,41.6357
2024-12-31,max,142.9017,35.6372
2025-01-31,max,155.6388,40.2155
2025-02-28,max,63.4204,36.528
2025-03-31,max,25.1661,23.9398
2025-04-30,max,43.6369,21.4918
2025-05-31,max,29.2164,32.7563
